time,in,out
2022-07-05 03:11:16,4509.046,-101.91317
2022-07-05 03:11:15,99.92179,-562.3025
2022-07-05 03:11:14,0,-790.6742
2022-07-05 03:11:13,0,-69.70219
2022-07-05 03:11:12,0,-38.2785
2022-07-05 03:11:11,0,-25.14328
2022-07-05 03:11:10,0,-32.58032
2022-07-05 03:11:09,0,-45.14506
2022-07-05 03:11:08,0,-49.14751
2022-07-05 03:11:07,0,-56.58175
2022-07-05 03:11:06,0,-61.12952
2022-07-05 03:11:05,0,-45.14303
2022-07-05 03:11:04,0,-52.58126
2022-07-05 03:11:03,0,-52.54883
2022-07-05 03:11:02,0,-30.8634
2022-07-05 03:11:01,32.05251,-44.56804
2022-07-05 03:11:00,79.94749,-39.44129
2022-07-05 03:10:59,0,-69.74905
2022-07-05 03:10:58,0,-98.80993
2022-07-05 03:10:57,0,-34.86055
2022-07-05 03:10:56,0,-33.14476
2022-07-05 03:10:55,0,-38.28752
2022-07-05 03:10:54,0,-62.32192
2022-07-05 03:10:53,0,-85.09717
2022-07-05 03:10:52,0,-34.87796
2022-07-05 03:10:51,0,-53.14554
2022-07-05 03:10:50,0,-54.84778
2022-07-05 03:10:49,0,-57.72721
2022-07-05 03:10:48,0,-75.42568
2022-07-05 03:10:47,0,-71.4142
2022-07-05 03:10:46,0,-35.41892
2022-07-05 03:10:45,0,-25.14187
2022-07-05 03:10:44,0,-62.3619
2022-07-05 03:10:43,0,-119.36638
2022-07-05 03:10:42,0,-46.85557
2022-07-05 03:10:41,0,-53.16276
2022-07-05 03:10:40,0,-75.99675
2022-07-05 03:10:39,0,-77.14756
2022-07-05 03:10:38,0,-82.29298
2022-07-05 03:10:37,0,-70.81844
2022-07-05 03:10:36,0,-21.12906
2022-07-05 03:10:35,0,-12.018017
2022-07-05 03:10:34,0,-35.43465
2022-07-05 03:10:33,0,-50.87103
2022-07-05 03:10:32,16.029922,-69.14087
2022-07-05 03:10:31,39.97008,-74.29473
2022-07-05 03:10:30,0,-73.12946
2022-07-05 03:10:29,0,-151.04005
2022-07-05 03:10:28,0,-284.9412
2022-07-05 03:10:27,0,-29.14576
2022-07-05 03:10:26,0,-26.27383
2022-07-05 03:10:25,0,-24.59195
2022-07-05 03:10:24,0,-54.86199
2022-07-05 03:10:23,0,-62.30919
2022-07-05 03:10:22,0,-86.84354
2022-07-05 03:10:21,0,-87.43793
2022-07-05 03:10:20,0,-78.82847
2022-07-05 03:10:19,0,-34.85395
2022-07-05 03:10:18,0,-38.87342
2022-07-05 03:10:17,0,-39.96458
2022-07-05 03:10:16,0,-11.450722
2022-07-05 03:10:15,0,-46.87265
2022-07-05 03:10:14,0,-67.42953
2022-07-05 03:10:13,0,-77.1478
2022-07-05 03:10:12,0,-82.29232
2022-07-05 03:10:11,0,-78.84285
2022-07-05 03:10:10,0,-54.8461
2022-07-05 03:10:09,0,-38.2631
2022-07-05 03:10:08,0,-50.94069
2022-07-05 03:10:07,0,-135.94408
2022-07-05 03:10:06,0,-43.4043
2022-07-05 03:10:05,0,-36.04691
2022-07-05 03:10:04,0,-102.86864
2022-07-05 03:10:03,0,-108.55025
2022-07-05 03:10:02,0,-82.29075
2022-07-05 03:10:01,0,-71.97054
2022-07-05 03:10:00,0,-23.98399
2022-07-05 03:09:59,200.4356,-13.162889
2022-07-05 03:09:58,499.5644,-35.99874
2022-07-05 03:09:57,0,-46.3109
2022-07-05 03:09:56,0,-68.5617
2022-07-05 03:09:55,0,-63.43008
2022-07-05 03:09:54,0,-101.7699
2022-07-05 03:09:53,332.1259,-151.96159
2022-07-05 03:09:52,827.8741,-81.6916
2022-07-05 03:09:51,111.07595,-43.40272
2022-07-05 03:09:50,276.9241,-8.564661
2022-07-05 03:09:49,81.31685,-8.017155
2022-07-05 03:09:48,202.6831,-19.98285
2022-07-05 03:09:47,84.74399,-11.45189
2022-07-05 03:09:46,211.256,-65.18752
2022-07-05 03:09:45,109.90449,-97.08478
2022-07-05 03:09:44,274.0955,-40.61
2022-07-05 03:09:43,0,-70.24527
2022-07-05 03:09:42,0,-34.32545
2022-07-05 03:09:41,72.16461,-58.24055
2022-07-05 03:09:40,179.8354,-6.290362
2022-07-05 03:09:39,72.16365,-8.564168
2022-07-05 03:09:38,179.8363,-26.34167
2022-07-05 03:09:37,529.05,-65.65833
2022-07-05 03:09:36,1318.95,0
2022-07-05 03:09:35,0,0
2022-07-05 03:09:34,0,-1.1450824
2022-07-05 03:09:33,0,-333.5898
2022-07-05 03:09:32,0,-841.2847
2022-07-05 03:09:31,0,-39.9804
2022-07-05 03:09:30,106.40864,0
2022-07-05 03:09:29,265.5914,0
2022-07-05 03:09:28,0,0
2022-07-05 03:09:27,0,-6.8653
2022-07-05 03:09:26,0,-25.14493
2022-07-05 03:09:25,0,-19.98978
2022-07-05 03:09:24,107.56914,0
2022-07-05 03:09:23,268.4309,0
2022-07-05 03:09:22,81.26766,-6.867689
2022-07-05 03:09:21,202.7323,-17.13231
2022-07-05 03:09:20,0,0
2022-07-05 03:09:19,0,-3.433615
2022-07-05 03:09:18,0,-8.566385
2022-07-05 03:09:17,0,0
2022-07-05 03:09:16,0,0
2022-07-05 03:09:15,0,0
2022-07-05 03:09:14,0,-3.433592
2022-07-05 03:09:13,0,-8.566408
2022-07-05 03:09:12,0,0
2022-07-05 03:09:11,0,0
2022-07-05 03:09:10,0,0
2022-07-05 03:09:09,0,0
2022-07-05 03:09:08,0,0
2022-07-05 03:09:07,0,-10.301985
