time,received,sent
2022-06-22 21:22:21,1.1941195,-2.941033
2022-06-22 21:22:20,154.27405,-213.641
2022-06-22 21:22:19,158.21985,-219.442
2022-06-22 21:22:18,0.7840178,-2.736062
2022-06-22 21:22:17,1.1665765,-4.751424
2022-06-22 21:22:16,1.1774116,-4.808535
2022-06-22 21:22:15,0.7839726,-2.735904
2022-06-22 21:22:14,1.166498,-4.751046
2022-06-22 21:22:13,1.1775162,-4.809004
2022-06-22 21:22:12,0.7839905,-2.735967
2022-06-22 21:22:11,1.1665288,-4.751184
2022-06-22 21:22:10,1.1774792,-4.808844
2022-06-22 21:22:09,0.8628435,-2.735908
2022-06-22 21:22:08,1.6420165,-7.353923
2022-06-22 21:22:07,75.20014,-100.64703
2022-06-22 21:22:06,53307.25,-192.9005
2022-06-22 21:22:05,270816.8,-44394.95
2022-06-22 21:22:04,219310.3,-76637.05
2022-06-22 21:22:03,495.7954,-173262.7
2022-06-22 21:22:02,811.5505,-276676.1
2022-06-22 21:22:01,625.2965,-179906.4
2022-06-22 21:22:00,15070.074,-174920.7
2022-06-22 21:21:59,269798.5,-263879
2022-06-22 21:21:58,259047.5,-134348.24
2022-06-22 21:21:57,134.79926,-1789.118
2022-06-22 21:21:56,48.22754,-61.4902
2022-06-22 21:21:55,9.44915,-32.05983
2022-06-22 21:21:54,6.335349,-33.54819
2022-06-22 21:21:53,5.744213,-27.77351
2022-06-22 21:21:52,183.4805,-85766.6
2022-06-22 21:21:51,266.6405,-89094.7
2022-06-22 21:21:50,266308.3,-129724.93
2022-06-22 21:21:49,274654.7,-134357.11
2022-06-22 21:21:48,2231.615,-3430.832
2022-06-22 21:21:47,175.4708,-43713.98
2022-06-22 21:21:46,4372.601,-88396.67
2022-06-22 21:21:45,269471.3,-88885.39
2022-06-22 21:21:44,484533.9,-199801.9
2022-06-22 21:21:43,288358.1,-265594.4
2022-06-22 21:21:42,324713.1,-196174
2022-06-22 21:21:41,528154.1,-219699.1
2022-06-22 21:21:40,301253.7,-235738.7
2022-06-22 21:21:39,269816.8,-222476.5
2022-06-22 21:21:38,428872.5,-232381.4
2022-06-22 21:21:37,272722,-177259.8
2022-06-22 21:21:36,88467,-196336.4
2022-06-22 21:21:35,335.3475,-175698
