time,guest_nice,guest,steal,softirq,irq,user,system,nice,iowait
2022-06-22 19:57:13,0,0,0,0,0,0.2496879,0.6242197,0.2496879,0.1248439
2022-06-22 19:57:12,0,0,0,0.2496879,0,2.122347,0.9987516,0.1248439,0
2022-06-22 19:57:11,0,0,0.1239157,1.1152416,0,19.7026,2.354399,0.1239157,0.4956629
2022-06-22 19:57:10,0,0,0,0,0,0,0.5,0.125,0
2022-06-22 19:57:09,0,0,0,0,0,0.5006258,0.2503129,0.1251564,0.3754693
2022-06-22 19:57:08,0,0,0,0,0,0.1248439,0.2496879,0.2496879,0
2022-06-22 19:57:07,0,0,0,0,0,0.5006258,0.2503129,0.2503129,0.1251564
2022-06-22 19:57:06,0,0,0,0.125,0,0.25,0.25,0.125,0.125
2022-06-22 19:57:05,0,0,0.125,0,0,0.25,0.375,0.125,0
2022-06-22 19:57:04,0,0,0,0.1248439,0,0.9987516,0.2496879,0.1248439,0.1248439
2022-06-22 19:57:03,0,0,0,0,0,0.375,0.25,0.375,0.125
2022-06-22 19:57:02,0,0,0.1253133,0,0,0.2506266,0.3759398,0.2506266,0.1253133
2022-06-22 19:57:01,0,0,0,0,0,0.2506266,0.2506266,0,0
2022-06-22 19:57:00,0,0,0,0,0,0.5,0.5,0.25,0.125
2022-06-22 19:56:59,0,0,0,0,0,0.1257862,0.1257862,0.1257862,0.1257862
2022-06-22 19:56:58,0,0,0,0,0,0.25,0.25,0.125,0.125
2022-06-22 19:56:57,0,0,0,0,0,0.125,0.5,0.25,0
2022-06-22 19:56:56,0,0,0.125,0,0,0.375,0.125,0.125,0.125
2022-06-22 19:56:55,0,0,0,0.125,0,1.25,0.25,0.125,0.125
2022-06-22 19:56:54,0,0,0,0.1253133,0,0.1253133,0.2506266,0,0
2022-06-22 19:56:53,0,0,0,0,0,0.5,0.375,0.25,0
2022-06-22 19:56:52,0,0,0,0.125,0,0.625,0.375,0.25,0.125
2022-06-22 19:56:51,0,0,0,0,0,0.1251564,0.1251564,0.2503129,0
2022-06-22 19:56:50,0,0,0,0,0,0,0.1253133,0.2506266,0
2022-06-22 19:56:49,0,0,0,0,0,0.2506266,0.3759398,0.1253133,0
2022-06-22 19:56:48,0,0,0.2496879,0.1248439,0,0.4993758,0.6242197,0.1248439,0
2022-06-22 19:56:47,0,0,0,0,0,0.1251564,0.3754693,0.2503129,0
2022-06-22 19:56:46,0,0,0,0,0,0.8739076,0.2496879,0.1248439,0
2022-06-22 19:56:45,0,0,0,0,0,0.6257822,0.1251564,0.1251564,0
2022-06-22 19:56:44,0,0,0,0,0,0.1251564,0.2503129,0.1251564,0
2022-06-22 19:56:43,0,0,0,0,0,0.1253133,0.2506266,0.1253133,0
2022-06-22 19:56:42,0,0,0,0,0,1.6270338,0.2503129,0.2503129,0
2022-06-22 19:56:41,0,0,0.1253133,0,0,0.2506266,0.2506266,0.1253133,0
2022-06-22 19:56:40,0,0,0,0,0,0.4993758,0.3745318,0.1248439,0
2022-06-22 19:56:39,0,0,0,0.1246883,0,0.4987531,0.3740648,0.2493766,0
2022-06-22 19:56:38,0,0,0,0,0,0.7528231,0.1254705,0.250941,0
2022-06-22 19:56:37,0,0,0,0,0,0.1253133,0.2506266,0.1253133,0
2022-06-22 19:56:36,0,0,0,0,0,0.1253133,0.2506266,0.1253133,0
2022-06-22 19:56:35,0,0,0,0,0,0.7453416,0.2484472,0.2484472,0
2022-06-22 19:56:34,0,0,0.1253133,0,0,0,0.1253133,0.2506266,0
