time,free,used
2022-06-23 11:36:53,31575.6,536.637
2022-06-23 11:36:52,31576.5,535.766
2022-06-23 11:36:51,31586.5,525.781
2022-06-23 11:36:50,31586.5,525.781
2022-06-23 11:36:49,31586.5,525.781
2022-06-23 11:36:48,31586.2,526.004
2022-06-23 11:36:47,31586,526.258
2022-06-23 11:36:46,31586,526.25
2022-06-23 11:36:45,31586,526.258
2022-06-23 11:36:44,31586,526.227
2022-06-23 11:36:43,31585.8,526.48
2022-06-23 11:36:42,31585.8,526.48
2022-06-23 11:36:41,31585.8,526.488
2022-06-23 11:36:40,31585.5,526.734
2022-06-23 11:36:39,31585.3,526.98
2022-06-23 11:36:38,31585.3,526.988
2022-06-23 11:36:37,31585.2,526.996
2022-06-23 11:36:36,31585.5,526.703
2022-06-23 11:36:35,31585.3,526.988
2022-06-23 11:36:34,31585.3,526.965
2022-06-23 11:36:33,31585.7,526.527
2022-06-23 11:36:32,31585.2,527.02
2022-06-23 11:36:31,31585,527.258
2022-06-23 11:36:30,31585.2,527.012
2022-06-23 11:36:29,31585,527.25
2022-06-23 11:36:28,31585,527.258
2022-06-23 11:36:27,31585.5,526.75
2022-06-23 11:36:26,31585.5,526.742
2022-06-23 11:36:25,31585.5,526.75
2022-06-23 11:36:24,31585.5,526.781
2022-06-23 11:36:23,31585.2,527.027
2022-06-23 11:36:22,31585.7,526.52
2022-06-23 11:36:21,31585.7,526.52
2022-06-23 11:36:20,31585.4,526.789
2022-06-23 11:36:19,31586,526.273
2022-06-23 11:36:18,31585.5,526.781
2022-06-23 11:36:17,31585.7,526.512
2022-06-23 11:36:16,31585.7,526.504
2022-06-23 11:36:15,31585.7,526.512
2022-06-23 11:36:14,31585.7,526.512
2022-06-23 11:36:13,31585.7,526.512
2022-06-23 11:36:12,31585.7,526.512
2022-06-23 11:36:11,31586,526.242
2022-06-23 11:36:10,31586,526.25
2022-06-23 11:36:09,31586,526.258
2022-06-23 11:36:08,31586,526.242
2022-06-23 11:36:07,31586,526.266
2022-06-23 11:36:06,31585.8,526.48
2022-06-23 11:36:05,31586.3,525.988
2022-06-23 11:36:04,31586.2,526.027
2022-06-23 11:36:03,31586.5,525.734
2022-06-23 11:36:02,31586.8,525.48
2022-06-23 11:36:01,31586.5,525.711
2022-06-23 11:36:00,31586.5,525.711
2022-06-23 11:35:59,31586.5,525.719
2022-06-23 11:35:58,31586.3,525.98
2022-06-23 11:35:57,31586.3,525.98
2022-06-23 11:35:56,31586.3,525.957
2022-06-23 11:35:55,31586.3,525.949
2022-06-23 11:35:54,31586.3,525.941
2022-06-23 11:35:53,31586.3,525.941
2022-06-23 11:35:52,31586.3,525.949
2022-06-23 11:35:51,31586.5,525.695
2022-06-23 11:35:50,31586.3,525.934
2022-06-23 11:35:49,31586.3,525.934
2022-06-23 11:35:48,31586.3,525.926
2022-06-23 11:35:47,31586.3,525.934
2022-06-23 11:35:46,31585.6,526.68
2022-06-23 11:35:45,31585.8,526.484
2022-06-23 11:35:44,31586.6,525.684
2022-06-23 11:35:43,31586.6,525.684
2022-06-23 11:35:42,31586.6,525.676
2022-06-23 11:35:41,31586.3,525.938
2022-06-23 11:35:40,31586.3,525.938
2022-06-23 11:35:39,31586.3,525.93
2022-06-23 11:35:38,31586.3,525.922
2022-06-23 11:35:37,31586.3,525.914
2022-06-23 11:35:36,31585.9,526.34
2022-06-23 11:35:35,31585.6,526.609
2022-06-23 11:35:34,31585.6,526.617
2022-06-23 11:35:33,31585.9,526.371
2022-06-23 11:35:32,31585.9,526.371
2022-06-23 11:35:31,31586.4,525.856
2022-06-23 11:35:30,31586.1,526.117
2022-06-23 11:35:29,31586.1,526.102
2022-06-23 11:35:28,31585.9,526.332
2022-06-23 11:35:27,31585.9,526.332
2022-06-23 11:35:26,31585.6,526.594
2022-06-23 11:35:25,31585.7,526.586
2022-06-23 11:35:24,31585.7,526.578
2022-06-23 11:35:23,31585.9,526.332
2022-06-23 11:35:22,31585.6,526.594
2022-06-23 11:35:21,31585.7,526.57
2022-06-23 11:35:20,31585.7,526.562
2022-06-23 11:35:19,31585.7,526.562
2022-06-23 11:35:18,31585.7,526.57
2022-06-23 11:35:17,31585.4,526.832
2022-06-23 11:35:16,31585.7,526.555
2022-06-23 11:35:15,31585.7,526.547
2022-06-23 11:35:14,31585.7,526.531
2022-06-23 11:35:13,31585.4,526.793
2022-06-23 11:35:12,31585.5,526.777
2022-06-23 11:35:11,31585.2,527.031
2022-06-23 11:35:10,31585.2,527
2022-06-23 11:35:09,31585,527.285
2022-06-23 11:35:08,31584.5,527.769
