time,in,out
2022-06-23 02:36:52,0,0
2022-06-23 02:36:51,0,0
2022-06-23 02:36:50,0,0
2022-06-23 02:36:49,0,0
2022-06-23 02:36:48,0,0
2022-06-23 02:36:47,1.0807802,-1.1292767
2022-06-23 02:36:46,1.4152198,-1.4787233
2022-06-23 02:36:45,0,0
2022-06-23 02:36:44,0,0
2022-06-23 02:36:43,0,0
2022-06-23 02:36:42,0,0
2022-06-23 02:36:41,0,0
2022-06-23 02:36:40,0,0
2022-06-23 02:36:39,0,0
2022-06-23 02:36:38,0,0
2022-06-23 02:36:37,0,0
2022-06-23 02:36:36,0,0
2022-06-23 02:36:35,0,0
2022-06-23 02:36:34,0,0
2022-06-23 02:36:33,0,0
2022-06-23 02:36:32,0,0
2022-06-23 02:36:31,0,0
2022-06-23 02:36:30,0,0
2022-06-23 02:36:29,0,0
2022-06-23 02:36:28,0,0
2022-06-23 02:36:27,0,0
2022-06-23 02:36:26,0,0
2022-06-23 02:36:25,0.2704839,-0.4646774
2022-06-23 02:36:24,0.3535161,-0.6073226
2022-06-23 02:36:23,0,0
2022-06-23 02:36:22,0,0
2022-06-23 02:36:21,0,0
2022-06-23 02:36:20,0,0
2022-06-23 02:36:19,0,0
2022-06-23 02:36:18,0,0
2022-06-23 02:36:17,0,0
2022-06-23 02:36:16,0,0
2022-06-23 02:36:15,0,0
2022-06-23 02:36:14,0,0
2022-06-23 02:36:13,0,0
2022-06-23 02:36:12,0,0
2022-06-23 02:36:11,0,0
2022-06-23 02:36:10,0,0
2022-06-23 02:36:09,0,0
2022-06-23 02:36:08,0,0
2022-06-23 02:36:07,0,0
2022-06-23 02:36:06,0,0
2022-06-23 02:36:05,0,0
2022-06-23 02:36:04,0,0
2022-06-23 02:36:03,0,0
2022-06-23 02:36:02,0,0
2022-06-23 02:36:01,0,0
2022-06-23 02:36:00,0,0
2022-06-23 02:35:59,0,0
2022-06-23 02:35:58,0,0
2022-06-23 02:35:57,0,0
2022-06-23 02:35:56,0,0
2022-06-23 02:35:55,0,0
2022-06-23 02:35:54,0,0
2022-06-23 02:35:53,0,0
2022-06-23 02:35:52,0,0
2022-06-23 02:35:51,0,0
2022-06-23 02:35:50,0,0
2022-06-23 02:35:49,0,0
2022-06-23 02:35:48,0,0
2022-06-23 02:35:47,0,0
2022-06-23 02:35:46,0,0
2022-06-23 02:35:45,0,0
2022-06-23 02:35:44,0,0
2022-06-23 02:35:43,0,0
2022-06-23 02:35:42,0,0
2022-06-23 02:35:41,0,0
2022-06-23 02:35:40,0.269992,-0.4638325
2022-06-23 02:35:39,0.354008,-0.6081675
2022-06-23 02:35:38,0,0
2022-06-23 02:35:37,1.077582,-1.1328426
2022-06-23 02:35:36,1.418418,-1.4911574
2022-06-23 02:35:35,0,0
2022-06-23 02:35:34,0,0
2022-06-23 02:35:33,0,0
2022-06-23 02:35:32,0,0
2022-06-23 02:35:31,0,0
2022-06-23 02:35:30,0,0
2022-06-23 02:35:29,0,0
2022-06-23 02:35:28,0,0
2022-06-23 02:35:27,0,0
2022-06-23 02:35:26,0,0
2022-06-23 02:35:25,0,0
2022-06-23 02:35:24,0,0
2022-06-23 02:35:23,0,0
2022-06-23 02:35:22,0,0
2022-06-23 02:35:21,0,0
2022-06-23 02:35:20,0,0
2022-06-23 02:35:19,0,0
2022-06-23 02:35:18,0,0
2022-06-23 02:35:17,0,0
2022-06-23 02:35:16,0,0
2022-06-23 02:35:15,0,0
2022-06-23 02:35:14,0,0
2022-06-23 02:35:13,0,0
2022-06-23 02:35:12,0,0
2022-06-23 02:35:11,0,0
2022-06-23 02:35:10,0,0
2022-06-23 02:35:09,0,0
2022-06-23 02:35:08,0,0
2022-06-23 02:35:07,0,0
2022-06-23 02:35:06,0,0
2022-06-23 02:35:05,0,0
2022-06-23 02:35:04,0,0
2022-06-23 02:35:03,0,0
2022-06-23 02:35:02,0,0
2022-06-23 02:35:01,0,0
2022-06-23 02:35:00,0,0
2022-06-23 02:34:59,0,0
2022-06-23 02:34:58,0,0
2022-06-23 02:34:57,0,0
2022-06-23 02:34:56,0,0
2022-06-23 02:34:55,0,0
2022-06-23 02:34:54,0.2680051,-0.4604191
2022-06-23 02:34:53,0.3559949,-0.6115809
2022-06-23 02:34:52,0,0
2022-06-23 02:34:51,0,0
2022-06-23 02:34:50,0,0
2022-06-23 02:34:49,0,0
2022-06-23 02:34:48,0,0
2022-06-23 02:34:47,0,0
2022-06-23 02:34:46,0,0
2022-06-23 02:34:45,0,0
2022-06-23 02:34:44,0,0
2022-06-23 02:34:43,0,0
2022-06-23 02:34:42,0,0
2022-06-23 02:34:41,0,0
2022-06-23 02:34:40,0,0
2022-06-23 02:34:39,0,0
2022-06-23 02:34:38,0,0
2022-06-23 02:34:37,0,0
