time,free,used,cached,buffers
2022-07-07 20:02:27,3157.992,2867.191,9931.629,52.36719
2022-07-07 20:02:26,3157.469,2866.949,9932.395,52.36719
2022-07-07 20:02:25,3158.359,2866.699,9931.754,52.36719
2022-07-07 20:02:24,3157.531,2867.02,9932.27,52.35938
2022-07-07 20:02:23,3158.516,2866.551,9931.754,52.35938
2022-07-07 20:02:22,3157.777,2866.773,9932.27,52.35938
2022-07-07 20:02:21,3157.777,2867.289,9931.754,52.35938
2022-07-07 20:02:20,3157.531,2867.02,9932.27,52.35938
2022-07-07 20:02:19,3157.277,2867.789,9931.754,52.35938
2022-07-07 20:02:18,3156.547,2868.004,9932.27,52.35938
2022-07-07 20:02:17,3157.164,2867.707,9931.957,52.35156
2022-07-07 20:02:16,3156.602,2867.754,9932.473,52.35156
2022-07-07 20:02:15,3157.586,2867.285,9931.957,52.35156
2022-07-07 20:02:14,3156.848,2867.508,9932.473,52.35156
2022-07-07 20:02:13,3156.832,2868.035,9931.973,52.33984
2022-07-07 20:02:12,2737.195,3286.324,9933.328,52.33203
2022-07-07 20:02:11,2707.531,3271.609,9977.707,52.33203
2022-07-07 20:02:10,2728.949,3249.926,9977.973,52.33203
2022-07-07 20:02:09,2874.93,3120.512,9961.406,52.33203
2022-07-07 20:02:08,2896.656,3127.465,9932.73,52.32812
2022-07-07 20:02:07,2920.281,3113.719,9922.859,52.32031
2022-07-07 20:02:06,2937.832,3107.691,9911.336,52.32031
2022-07-07 20:02:05,2941.266,3106.539,9909.066,52.30859
2022-07-07 20:02:04,2945.387,3110.418,9901.07,52.30469
2022-07-07 20:02:03,2527.332,3528.723,9900.82,52.30469
2022-07-07 20:02:02,2583.605,3439.887,9933.391,52.29688
2022-07-07 20:02:01,2620.297,3419.18,9917.406,52.29688
2022-07-07 20:02:00,2708.906,3344.477,9903.512,52.28516
2022-07-07 20:01:59,2112.172,3949.277,9895.449,52.28125
2022-07-07 20:01:58,1820.77,4233.426,9902.707,52.27734
2022-07-07 20:01:57,1425.3555,4631.719,9899.844,52.26172
2022-07-07 20:01:56,284.1406,5710.602,9962.176,52.26172
2022-07-07 20:01:55,196.5742,5678.102,10082.246,52.25781
2022-07-07 20:01:54,184.0625,5609.469,10163.336,52.3125
2022-07-07 20:01:53,184.4727,5562.688,10209.664,52.35547
2022-07-07 20:01:52,180.1719,5515.191,10261.422,52.39453
2022-07-07 20:01:51,162.46094,5364.266,10429.941,52.51172
2022-07-07 20:01:50,174.5039,5285.43,10496.68,52.56641
2022-07-07 20:01:49,180.3594,5247.852,10528.383,52.58594
2022-07-07 20:01:48,184.2383,5175.891,10596.414,52.63672
2022-07-07 20:01:47,175.0391,5132.977,10648.48,52.68359
2022-07-07 20:01:46,170.6953,5033.68,10752.07,52.73438
2022-07-07 20:01:45,240.9492,4973.254,10742.242,52.73438
2022-07-07 20:01:44,347.6523,4880.895,10727.898,52.73438
2022-07-07 20:01:43,420.9727,4826.988,10708.5,52.71875
2022-07-07 20:01:42,587.7148,4674.902,10693.844,52.71875
2022-07-07 20:01:41,501.418,4812.848,10642.211,52.70312
2022-07-07 20:01:40,351.3477,4955.781,10649.352,52.69922
2022-07-07 20:01:39,458.6992,4907.457,10590.324,52.69922
2022-07-07 20:01:38,513.668,4903.863,10538.973,52.67578
2022-07-07 20:01:37,616.0938,4868.688,10471.723,52.67578
2022-07-07 20:01:36,707.6953,4821.676,10427.148,52.66016
2022-07-07 20:01:35,800.6016,4736.242,10419.676,52.66016
2022-07-07 20:01:34,854.2695,4689.945,10412.305,52.66016
2022-07-07 20:01:33,958.6602,4595.492,10402.379,52.64844
2022-07-07 20:01:32,1089.9648,4477.465,10389.105,52.64453
2022-07-07 20:01:31,797.0391,4774.133,10385.367,52.64062
2022-07-07 20:01:30,843.4492,4738.152,10374.941,52.63672
2022-07-07 20:01:29,905.5039,4651.531,10399.508,52.63672
2022-07-07 20:01:28,997.8086,4588.23,10370.516,52.625
2022-07-07 20:01:27,1124.1914,4481.867,10350.496,52.625
2022-07-07 20:01:26,1258.6172,4362.508,10335.438,52.61719
2022-07-07 20:01:25,1336.0938,4301.535,10318.938,52.61328
2022-07-07 20:01:24,1454.7656,4202.93,10298.871,52.61328
2022-07-07 20:01:23,1521.9414,4152.773,10281.871,52.59375
2022-07-07 20:01:22,1227.4844,4458.934,10270.168,52.59375
2022-07-07 20:01:21,1303.1055,4394.32,10259.172,52.58203
2022-07-07 20:01:20,932.0664,4729.836,10294.699,52.57812
2022-07-07 20:01:19,954.3242,4670.875,10331.402,52.57812
2022-07-07 20:01:18,1064.0859,4571.828,10320.691,52.57422
2022-07-07 20:01:17,756.5195,4890.91,10309.188,52.5625
2022-07-07 20:01:16,909.2852,4752.375,10294.965,52.55469
2022-07-07 20:01:15,981.0391,4643.574,10332.012,52.55469
2022-07-07 20:01:14,1120.3398,4513.152,10323.133,52.55469
2022-07-07 20:01:13,1223.293,4428.922,10304.418,52.54688
2022-07-07 20:01:12,614.5234,5066.555,10275.566,52.53516
2022-07-07 20:01:11,231.5625,5425.809,10299.293,52.51562
2022-07-07 20:01:10,215.6055,5376.957,10364.105,52.51172
2022-07-07 20:01:09,164.22266,5284.922,10507.461,52.57422
2022-07-07 20:01:08,181.8516,5207.188,10567.512,52.62891
2022-07-07 20:01:07,181.8711,5120.523,10654.098,52.6875
2022-07-07 20:01:06,265.1055,5040.098,10651.305,52.67188
2022-07-07 20:01:05,414.8906,4910.371,10631.246,52.67188
2022-07-07 20:01:04,562.5742,4786.461,10607.473,52.67188
2022-07-07 20:01:03,210.7617,5162.133,10583.617,52.66797
2022-07-07 20:01:02,179.0586,5153.75,10623.676,52.69531
2022-07-07 20:01:01,176.1836,5148.938,10631.363,52.69531
2022-07-07 20:01:00,177.3203,5130.383,10648.762,52.71484
2022-07-07 20:00:59,300.5547,5023.102,10632.812,52.71094
2022-07-07 20:00:58,423.3242,4922.109,10611.035,52.71094
2022-07-07 20:00:57,506.3984,4847.652,10602.418,52.71094
2022-07-07 20:00:56,599.4805,4769.723,10587.285,52.69141
2022-07-07 20:00:55,707.1914,4668.105,10581.195,52.6875
2022-07-07 20:00:54,797.4727,4594.242,10564.777,52.6875
2022-07-07 20:00:53,921.9648,4478.414,10556.117,52.68359
2022-07-07 20:00:52,565.9609,4850.438,10540.102,52.67969
2022-07-07 20:00:51,574.0508,4824.824,10557.652,52.65234
2022-07-07 20:00:50,691.4453,4752.297,10512.785,52.65234
2022-07-07 20:00:49,847.1055,4632.266,10477.156,52.65234
2022-07-07 20:00:48,999.9531,4495.715,10460.867,52.64453
2022-07-07 20:00:47,1198.457,4309.309,10448.773,52.64062
2022-07-07 20:00:46,912.207,4627.125,10417.242,52.60547
2022-07-07 20:00:45,948.2891,4623.094,10385.191,52.60547
2022-07-07 20:00:44,616.8008,4931.098,10408.684,52.59766
2022-07-07 20:00:43,180.9766,5312.59,10463.02,52.59375
2022-07-07 20:00:42,169.8086,5249.398,10537.355,52.61719
2022-07-07 20:00:41,176.582,5199.328,10580.613,52.65625
2022-07-07 20:00:40,244.9297,5159.098,10552.492,52.66016
2022-07-07 20:00:39,295.3828,5116.137,10545.008,52.65234
2022-07-07 20:00:38,377.7891,5049.48,10529.258,52.65234
2022-07-07 20:00:37,450.6172,4974.613,10531.305,52.64453
2022-07-07 20:00:36,505.0156,4949.195,10502.324,52.64453
2022-07-07 20:00:35,586.6172,4882.934,10486.992,52.63672
2022-07-07 20:00:34,769.2695,4722.133,10465.141,52.63672
2022-07-07 20:00:33,836.9805,4661.195,10458.367,52.63672
2022-07-07 20:00:32,934.1719,4573.445,10448.93,52.63281
2022-07-07 20:00:31,967.375,4553.461,10435.711,52.63281
2022-07-07 20:00:30,1066.7109,4503.426,10386.422,52.62109
2022-07-07 20:00:29,1142.3359,4446.723,10367.504,52.61719
2022-07-07 20:00:28,1232.3711,4391.199,10332.992,52.61719
2022-07-07 20:00:27,1326.3672,4322.074,10308.129,52.60938
2022-07-07 20:00:26,1483.4102,4180.73,10292.43,52.60938
2022-07-07 20:00:25,1603.0664,4074.027,10279.492,52.59375
2022-07-07 20:00:24,1761.531,3926.93,10268.125,52.59375
2022-07-07 20:00:23,1909.242,3783.906,10263.438,52.59375
2022-07-07 20:00:22,1281.9023,4417.789,10256.926,52.5625
2022-07-07 20:00:21,471.6406,5214.387,10270.594,52.55859
2022-07-07 20:00:20,385.1992,5178.809,10392.629,52.54297
2022-07-07 20:00:19,433.832,5144.215,10378.59,52.54297
2022-07-07 20:00:18,518.5156,5070.762,10367.359,52.54297
2022-07-07 20:00:17,191.7383,5402.488,10362.418,52.53516
2022-07-07 20:00:16,203.6172,5323.254,10429.75,52.55859
2022-07-07 20:00:15,218.7422,5307.859,10430.023,52.55469
2022-07-07 20:00:14,230.9844,5299.449,10426.199,52.54688
2022-07-07 20:00:13,315.1562,5229.008,10412.469,52.54688
2022-07-07 20:00:12,201.0273,5196.746,10558.863,52.54297
2022-07-07 20:00:11,273.8086,5127.699,10555.129,52.54297
2022-07-07 20:00:10,398.8711,5002.953,10554.812,52.54297
2022-07-07 20:00:09,587.7188,4822.246,10546.684,52.53125
2022-07-07 20:00:08,741.4531,4675.77,10539.426,52.53125
2022-07-07 20:00:07,886.1758,4531.41,10539.07,52.52344
2022-07-07 20:00:06,955.0156,4473.582,10528.066,52.51562
2022-07-07 20:00:05,674.9453,4826.977,10454.742,52.51562
2022-07-07 20:00:04,734.0625,4785.797,10436.816,52.50391
2022-07-07 20:00:03,853.5195,4712.391,10390.766,52.50391
2022-07-07 20:00:02,1049.8164,4522.844,10384.047,52.47266
2022-07-07 20:00:01,767.6836,4824.883,10364.145,52.46875
2022-07-07 20:00:00,336.4922,5205.02,10415.199,52.46875
2022-07-07 19:59:59,418.0938,5139.762,10398.859,52.46484
2022-07-07 19:59:58,501.6562,5067.594,10387.465,52.46484
2022-07-07 19:59:57,542.6562,5036.832,10377.23,52.46094
2022-07-07 19:59:56,646.2109,4950.207,10360.301,52.46094
2022-07-07 19:59:55,743.2695,4867.945,10345.504,52.46094
2022-07-07 19:59:54,775.3633,4837.453,10343.902,52.46094
2022-07-07 19:59:53,884.9648,4752.949,10318.805,52.46094
2022-07-07 19:59:52,956.0352,4686.848,10313.852,52.44531
2022-07-07 19:59:51,1017.2656,4625.625,10313.844,52.44531
2022-07-07 19:59:50,1124.6094,4537.996,10294.129,52.44531
2022-07-07 19:59:49,1205.8555,4457.43,10293.449,52.44531
2022-07-07 19:59:48,1280.5,4404.598,10271.637,52.44531
2022-07-07 19:59:47,1393.0742,4302.484,10261.191,52.42969
2022-07-07 19:59:46,1521.3906,4188.828,10246.531,52.42969
2022-07-07 19:59:45,1644.2344,4081.535,10230.98,52.42969
2022-07-07 19:59:44,1764.281,3977.008,10215.461,52.42969
2022-07-07 19:59:43,1865.938,3885.465,10205.359,52.41797
2022-07-07 19:59:42,1615.3242,4145.254,10196.211,52.39062
2022-07-07 19:59:41,954.6758,4777.75,10224.375,52.37891
2022-07-07 19:59:40,525.6523,5156.246,10274.91,52.37109
2022-07-07 19:59:39,185.2695,5474.422,10297.121,52.36719
2022-07-07 19:59:38,183.5664,5399.652,10373.574,52.38672
2022-07-07 19:59:37,305.0781,5297.035,10354.699,52.36719
2022-07-07 19:59:36,429.082,5189.516,10338.215,52.36719
2022-07-07 19:59:35,478.1367,5154.035,10324.645,52.36328
2022-07-07 19:59:34,536.3086,5095.938,10324.57,52.36328
2022-07-07 19:59:33,561.4922,5084.367,10310.961,52.35938
2022-07-07 19:59:32,191.9648,5456.414,10308.453,52.34766
2022-07-07 19:59:31,179.7539,5390.496,10386.555,52.375
2022-07-07 19:59:30,172.4102,5284.91,10499.398,52.46094
2022-07-07 19:59:29,275.7734,5143.035,10537.895,52.47656
2022-07-07 19:59:28,395.6133,5023.262,10537.832,52.47266
2022-07-07 19:59:27,531.0039,4894.844,10530.879,52.45312
2022-07-07 19:59:26,649.4102,4802.93,10504.391,52.44922
2022-07-07 19:59:25,378.5625,5099.836,10478.332,52.44922
2022-07-07 19:59:24,428.2969,5074.699,10453.734,52.44922
2022-07-07 19:59:23,554.6094,5020.344,10381.781,52.44531
2022-07-07 19:59:22,608.7695,5014.449,10333.535,52.42578
2022-07-07 19:59:21,714.6406,4931.762,10310.359,52.41797
2022-07-07 19:59:20,809.5273,4851.711,10295.527,52.41406
2022-07-07 19:59:19,901.3359,4795.121,10260.309,52.41406
2022-07-07 19:59:18,991.6875,4729.395,10235.691,52.40625
2022-07-07 19:59:17,706.7188,5050.074,10199.996,52.39062
2022-07-07 19:59:16,875.6523,4874.379,10206.762,52.38672
2022-07-07 19:59:15,906.4258,4862.707,10187.66,52.38672
2022-07-07 19:59:14,949.3984,4838.09,10169.305,52.38672
2022-07-07 19:59:13,1085.6836,4717.777,10153.332,52.38672
2022-07-07 19:59:12,1189.7148,4635.285,10131.812,52.36719
2022-07-07 19:59:11,1257.9492,4587.809,10111.055,52.36719
2022-07-07 19:59:10,1388.0547,4465.707,10103.055,52.36328
2022-07-07 19:59:09,1443.1172,4424.648,10089.051,52.36328
2022-07-07 19:59:08,1491.7539,4382.703,10082.359,52.36328
2022-07-07 19:59:07,1571.2891,4311.59,10073.957,52.34375
2022-07-07 19:59:06,1698.18,4198.18,10060.477,52.34375
2022-07-07 19:59:05,1777.688,4128.469,10050.68,52.34375
2022-07-07 19:59:04,1916.41,3995.406,10045.02,52.34375
2022-07-07 19:59:03,2020.633,3897.047,10039.156,52.34375
2022-07-07 19:59:02,2168.973,3758.633,10029.25,52.32422
2022-07-07 19:59:01,1909.09,4030.754,10017.023,52.3125
2022-07-07 19:59:00,1600.3594,4360.371,9996.152,52.29688
2022-07-07 19:58:59,1262.6523,4636.98,10057.254,52.29297
2022-07-07 19:58:58,594.1406,5307.941,10054.809,52.28906
2022-07-07 19:58:57,457.375,5368.391,10131.133,52.28125
2022-07-07 19:58:56,480.3633,5308.457,10168.09,52.26953
2022-07-07 19:58:55,542.6992,5257.73,10156.488,52.26172
2022-07-07 19:58:54,211.0469,5592.793,10153.078,52.26172
2022-07-07 19:58:53,188.7188,5574.949,10193.25,52.26172
2022-07-07 19:58:52,203.2227,5559.75,10193.941,52.26562
2022-07-07 19:58:51,254.0703,5510.02,10192.824,52.26562
2022-07-07 19:58:50,303.5195,5465.23,10188.176,52.25391
2022-07-07 19:58:49,391.7266,5382.707,10182.492,52.25391
2022-07-07 19:58:48,494.3789,5286.258,10176.305,52.23828
2022-07-07 19:58:47,290.9688,5494.172,10171.801,52.23828
2022-07-07 19:58:46,398.2969,5400.746,10157.902,52.23438
2022-07-07 19:58:45,402.8125,5360.941,10193.199,52.22656
2022-07-07 19:58:44,204.7148,5448.242,10303.945,52.27734
2022-07-07 19:58:43,181.8516,5318.387,10456.586,52.35547
2022-07-07 19:58:42,192.793,5306.398,10457.609,52.37891
2022-07-07 19:58:41,273.4102,5272.301,10411.074,52.39453
2022-07-07 19:58:40,357.7188,5234.535,10364.539,52.38672
2022-07-07 19:58:39,426.8633,5190.648,10339.301,52.36719
2022-07-07 19:58:38,541.957,5089.844,10325.023,52.35547
2022-07-07 19:58:37,597.8398,5061.48,10297.504,52.35547
2022-07-07 19:58:36,703.6094,4977.137,10276.078,52.35547
2022-07-07 19:58:35,769.3555,4931.062,10256.406,52.35547
2022-07-07 19:58:34,885.625,4831.129,10240.082,52.34375
2022-07-07 19:58:33,944.9414,4780.957,10230.945,52.33594
2022-07-07 19:58:32,1094.9219,4641.598,10220.324,52.33594
2022-07-07 19:58:31,1193.2305,4563.32,10200.293,52.33594
2022-07-07 19:58:30,1255.9219,4521.805,10179.117,52.33594
2022-07-07 19:58:29,1318.1367,4476.777,10161.941,52.32422
2022-07-07 19:58:28,1457.4492,4359.086,10140.328,52.31641
