time,free,used,cached,buffers
2022-07-12 23:32:52,2910.961,3051.379,9993.848,52.99219
2022-07-12 23:32:51,2908.32,3051.527,9996.594,52.73828
2022-07-12 23:32:50,2908.297,3051.551,9996.594,52.73828
2022-07-12 23:32:49,2908.266,3051.59,9996.586,52.73828
2022-07-12 23:32:48,2908.082,3051.773,9996.586,52.73828
2022-07-12 23:32:47,2908.328,3051.449,9996.672,52.73047
2022-07-12 23:32:46,2907.59,3052.199,9996.672,52.71875
2022-07-12 23:32:45,2907.535,3052.238,9996.688,52.71875
2022-07-12 23:32:44,2907.488,3052.285,9996.688,52.71875
2022-07-12 23:32:43,2458.828,3499.746,9997.887,52.71875
2022-07-12 23:32:42,1559.2656,4307.879,10089.324,52.71094
2022-07-12 23:32:41,1508.0703,4314.344,10134.055,52.71094
2022-07-12 23:32:40,1525.7031,4296.719,10134.059,52.69922
2022-07-12 23:32:39,1720.949,4101.473,10134.059,52.69922
2022-07-12 23:32:38,1427.2266,4426.844,10102.41,52.69922
2022-07-12 23:32:37,1213.918,4656.383,10086.188,52.69141
2022-07-12 23:32:36,1239.4297,4613.172,10103.895,52.68359
2022-07-12 23:32:35,1328.125,4548.965,10079.406,52.68359
2022-07-12 23:32:34,1354.6055,4543.543,10058.363,52.66797
2022-07-12 23:32:33,1455.9844,4454.93,10045.598,52.66797
2022-07-12 23:32:32,1504.8438,4416.293,10035.383,52.66016
2022-07-12 23:32:31,1597.0234,4334.434,10025.062,52.66016
2022-07-12 23:32:30,1338.3789,4605.312,10012.828,52.66016
2022-07-12 23:32:29,1384.1289,4535.777,10036.625,52.64844
2022-07-12 23:32:28,1107.1602,4815.824,10033.547,52.64844
2022-07-12 23:32:27,1142.0938,4763.465,10050.98,52.64062
2022-07-12 23:32:26,802.0781,5129.531,10024.93,52.64062
2022-07-12 23:32:25,881.3359,5033.75,10041.453,52.64062
2022-07-12 23:32:24,964.6367,4972,10019.914,52.62891
2022-07-12 23:32:23,1131.9883,4826.66,9997.906,52.625
2022-07-12 23:32:22,868.7383,5100.574,9987.262,52.60547
2022-07-12 23:32:21,873.8789,5050.719,10031.984,52.59766
2022-07-12 23:32:20,522.793,5410.316,10023.48,52.58984
2022-07-12 23:32:19,223.1641,5672.992,10060.441,52.58203
2022-07-12 23:32:18,204.6641,5629.18,10122.738,52.59766
2022-07-12 23:32:17,182.5195,5494.105,10279.922,52.63281
2022-07-12 23:32:16,203.4766,5345.055,10408,52.64844
2022-07-12 23:32:15,310.9688,5254.617,10390.953,52.64062
2022-07-12 23:32:14,254.8789,5185.305,10516.367,52.62891
2022-07-12 23:32:13,331.5078,5166.289,10458.754,52.62891
2022-07-12 23:32:12,352.7266,5166.828,10437,52.625
2022-07-12 23:32:11,459.2656,5094.156,10403.133,52.625
2022-07-12 23:32:10,493.9922,5082.043,10380.527,52.61719
2022-07-12 23:32:09,535.0391,5049.629,10371.91,52.60156
2022-07-12 23:32:08,623.3945,4961.902,10371.289,52.59375
2022-07-12 23:32:07,726.5234,4862.066,10367.996,52.59375
2022-07-12 23:32:06,879.3789,4739.855,10337.352,52.59375
2022-07-12 23:32:05,978.3398,4647.387,10330.867,52.58594
2022-07-12 23:32:04,1040.3281,4605.93,10310.348,52.57422
2022-07-12 23:32:03,1185.5859,4526.219,10244.809,52.56641
2022-07-12 23:32:02,871.1094,4906.324,10179.18,52.56641
2022-07-12 23:32:01,961.8789,4789.117,10205.625,52.55859
2022-07-12 23:32:00,1080.0938,4694.816,10181.727,52.54297
2022-07-12 23:31:59,1183.9453,4597.902,10174.809,52.52344
2022-07-12 23:31:58,841.9648,4957.539,10157.152,52.52344
2022-07-12 23:31:57,944.6523,4884.051,10127.953,52.52344
2022-07-12 23:31:56,996.4141,4798.145,10162.098,52.52344
2022-07-12 23:31:55,647.8594,5161.582,10147.23,52.50781
2022-07-12 23:31:54,817.5117,5011.031,10128.129,52.50781
2022-07-12 23:31:53,835.1914,4959.695,10161.785,52.50781
2022-07-12 23:31:52,918.4531,4880.5,10157.719,52.50781
2022-07-12 23:31:51,965.0859,4835.531,10156.066,52.49609
2022-07-12 23:31:50,1079.2578,4722.887,10154.547,52.48828
2022-07-12 23:31:49,1245.4297,4559.809,10151.457,52.48438
2022-07-12 23:31:48,1120.3359,4699.379,10136.992,52.47266
2022-07-12 23:31:47,613.6055,5214.16,10128.941,52.47266
2022-07-12 23:31:46,567.4336,5170.398,10218.887,52.46094
2022-07-12 23:31:45,704.7148,5034.906,10217.105,52.45312
2022-07-12 23:31:44,805.0273,4952.781,10198.918,52.45312
2022-07-12 23:31:43,911.5508,4861.789,10183.387,52.45312
2022-07-12 23:31:42,1038.4258,4761.215,10157.105,52.43359
2022-07-12 23:31:41,771.8047,5049.414,10135.535,52.42578
2022-07-12 23:31:40,402.957,5404.309,10149.5,52.41406
2022-07-12 23:31:39,450.2344,5347.605,10158.938,52.40234
2022-07-12 23:31:38,499.6055,5320.355,10136.824,52.39453
2022-07-12 23:31:37,166.86719,5640.395,10149.508,52.41016
2022-07-12 23:31:36,188.7617,5592.867,10175.137,52.41406
2022-07-12 23:31:35,190.5391,5468.41,10297.789,52.44141
2022-07-12 23:31:34,191.4609,5441.836,10323.438,52.44531
2022-07-12 23:31:33,183.0312,5394.078,10379.602,52.46875
2022-07-12 23:31:32,266.8477,5299.172,10390.695,52.46484
2022-07-12 23:31:31,395.2695,5178.406,10383.039,52.46484
2022-07-12 23:31:30,474.1016,5106.918,10375.695,52.46484
2022-07-12 23:31:29,530.4727,5079.566,10346.684,52.45703
2022-07-12 23:31:28,616.332,5024.754,10315.637,52.45703
2022-07-12 23:31:27,729.4453,4948.379,10278.898,52.45703
2022-07-12 23:31:26,825.0781,4872.656,10259,52.44531
2022-07-12 23:31:25,925.5,4785,10246.242,52.4375
2022-07-12 23:31:24,996.957,4715.152,10244.641,52.42969
2022-07-12 23:31:23,1082.1328,4643.57,10231.047,52.42969
2022-07-12 23:31:22,1276.7539,4474.102,10205.895,52.42969
2022-07-12 23:31:21,1358.4961,4418.695,10179.574,52.41406
2022-07-12 23:31:20,1011.0078,4775.5,10170.258,52.41406
2022-07-12 23:31:19,1072.6719,4713.395,10170.711,52.40234
2022-07-12 23:31:18,828.332,4994.227,10134.227,52.39453
2022-07-12 23:31:17,508.5703,5292.32,10155.898,52.39062
2022-07-12 23:31:16,491.707,5269.395,10195.703,52.375
2022-07-12 23:31:15,653.7461,5129.883,10173.176,52.375
2022-07-12 23:31:14,770.9766,5026.172,10159.664,52.36719
2022-07-12 23:31:13,902.8008,4920.492,10133.52,52.36719
2022-07-12 23:31:12,973.3984,4860.621,10122.793,52.36719
2022-07-12 23:31:11,1050.6992,4804.43,10101.695,52.35547
2022-07-12 23:31:10,1116.5742,4758.18,10082.078,52.34766
2022-07-12 23:31:09,1220.3633,4664.32,10072.16,52.33594
2022-07-12 23:31:08,927.1328,4959.453,10070.258,52.33594
2022-07-12 23:31:07,564.3008,5322.473,10070.078,52.32812
2022-07-12 23:31:06,568.0156,5230.09,10158.758,52.31641
2022-07-12 23:31:05,647.5312,5157.875,10151.457,52.31641
2022-07-12 23:31:04,789.1133,5016.625,10151.133,52.30859
2022-07-12 23:31:03,888.2344,4930.707,10137.93,52.30859
2022-07-12 23:31:02,1035.7227,4805.332,10115.816,52.30859
2022-07-12 23:31:01,1191.2461,4671.078,10094.562,52.29297
2022-07-12 23:31:00,909.8125,5004.41,10042.668,52.28906
2022-07-12 23:30:59,616.2148,5312.453,10028.242,52.26953
2022-07-12 23:30:58,216.1016,5674.93,10065.887,52.26172
2022-07-12 23:30:57,199.0586,5647.574,10110.289,52.25781
2022-07-12 23:30:56,174.8828,5578.902,10203.102,52.29297
2022-07-12 23:30:55,175.0742,5496.082,10285.727,52.29688
2022-07-12 23:30:54,237.3359,5388.176,10331.371,52.29688
2022-07-12 23:30:53,347.2305,5313.367,10296.285,52.29688
2022-07-12 23:30:52,375.5938,5311.887,10269.406,52.29297
2022-07-12 23:30:51,483.9336,5216.945,10256.008,52.29297
2022-07-12 23:30:50,563.4766,5154.941,10238.477,52.28516
2022-07-12 23:30:49,629.0273,5108.094,10219.781,52.27734
2022-07-12 23:30:48,779.0117,4975.641,10202.258,52.26953
2022-07-12 23:30:47,848.1562,4915.836,10192.918,52.26953
2022-07-12 23:30:46,957.582,4825.832,10173.496,52.26953
2022-07-12 23:30:45,1011.1406,4784.098,10161.684,52.25781
2022-07-12 23:30:44,1110.4688,4736.613,10109.848,52.25
2022-07-12 23:30:43,1258.4102,4634.305,10064.215,52.25
2022-07-12 23:30:42,1356.6133,4575.387,10024.93,52.25
2022-07-12 23:30:41,1478.9648,4481.039,9996.926,52.25
2022-07-12 23:30:40,1606.8516,4364.965,9985.125,52.23828
2022-07-12 23:30:39,1711.676,4275.891,9969.395,52.21875
2022-07-12 23:30:38,1414.8711,4582.828,9959.273,52.20703
2022-07-12 23:30:37,1487.0664,4489.941,9979.965,52.20703
2022-07-12 23:30:36,1593.3086,4388.375,9975.293,52.20312
2022-07-12 23:30:35,802.5195,5134.578,10019.887,52.19531
2022-07-12 23:30:34,845.7461,5055.973,10055.285,52.17578
2022-07-12 23:30:33,956.3789,4972.496,10028.133,52.17188
2022-07-12 23:30:32,569.9922,5364.984,10022.035,52.16797
2022-07-12 23:30:31,592.1562,5350.711,10014.148,52.16406
2022-07-12 23:30:30,194.4531,5627.309,10135.227,52.19141
2022-07-12 23:30:29,186.5469,5585.09,10185.355,52.1875
2022-07-12 23:30:28,242.625,5531.473,10182.895,52.1875
2022-07-12 23:30:27,303.8711,5470.59,10182.543,52.17578
2022-07-12 23:30:26,400.6055,5387.98,10168.418,52.17578
2022-07-12 23:30:25,488.2695,5310.547,10158.188,52.17578
2022-07-12 23:30:24,646.5234,5170.172,10140.316,52.16797
2022-07-12 23:30:23,743.1406,5091.781,10122.09,52.16797
2022-07-12 23:30:22,896.9805,4958.691,10101.352,52.15625
2022-07-12 23:30:21,1018.3945,4847.473,10091.156,52.15625
2022-07-12 23:30:20,1113.7695,4772.254,10071.008,52.14844
2022-07-12 23:30:19,952.8438,4956.602,10047.605,52.12891
2022-07-12 23:30:18,474.1211,5473.195,10009.734,52.12891
2022-07-12 23:30:17,181.7656,5714.062,10061.242,52.10938
2022-07-12 23:30:16,212.793,5626.168,10118.102,52.11719
2022-07-12 23:30:15,183.6914,5582.242,10191.117,52.12891
2022-07-12 23:30:14,195.7188,5473.488,10287.828,52.14453
