time,in,out
2022-07-12 18:40:36,1099.37,-30.1078
2022-07-12 18:40:37,1074.98,-43.9978
2022-07-12 18:40:38,5028.44,-26.7003
2022-07-12 18:40:39,19551.6,-99.8068
2022-07-12 18:40:40,9424.16,-41.2599
2022-07-12 18:40:41,3690.77,-95.0443
2022-07-12 18:40:42,2720.5,-109.46
2022-07-12 18:40:43,1419.87,-53.626
2022-07-12 18:40:44,1606.6,-36.4378
2022-07-12 18:40:45,1511.97,-9.43143
2022-07-12 18:40:46,1824.99,-17.5599
2022-07-12 18:40:47,1473.89,-21.03
2022-07-12 18:40:48,1972.14,-408.266
2022-07-12 18:40:49,1551.05,-145.145
2022-07-12 18:40:50,1695.39,0
2022-07-12 18:40:51,1508.2,0
2022-07-12 18:40:52,1405.15,-10.035
2022-07-12 18:40:53,1614.43,-20.6292
2022-07-12 18:40:54,4037.35,-13.8073
2022-07-12 18:40:55,3628.48,-7.52848
2022-07-12 18:40:56,15537.3,0
2022-07-12 18:40:57,27125.9,-328.428
2022-07-12 18:40:58,18847.8,-230.358
2022-07-12 18:40:59,10867.8,-78606.1
2022-07-12 18:41:00,9726.29,-36827.1
2022-07-12 18:41:01,8362.13,0
2022-07-12 18:41:02,4785.62,-20.2523
2022-07-12 18:41:03,6878.53,-7.74766
2022-07-12 18:41:04,35856.5,-37617.4
2022-07-12 18:41:05,82564.3,-18985.5
2022-07-12 18:41:06,66813,-2066.81
2022-07-12 18:41:07,28258.4,-7582.99
2022-07-12 18:41:08,15614.7,-25130.1
2022-07-12 18:41:09,24285.3,-11041
2022-07-12 18:41:10,20335.5,-705.431
2022-07-12 18:41:11,17348.5,-106.853
2022-07-12 18:41:12,19693.7,0
2022-07-12 18:41:13,18653.8,-53.1374
2022-07-12 18:41:14,19287.9,-264.862
2022-07-12 18:41:15,12600.5,-199.616
2022-07-12 18:41:16,17461.1,-121.143
2022-07-12 18:41:17,59891.3,-117.065
2022-07-12 18:41:18,71667.5,-154.84
2022-07-12 18:41:19,58489.2,-310.205
2022-07-12 18:41:20,51277.9,-202.505
2022-07-12 18:41:21,76698.3,-33.9526
2022-07-12 18:41:22,115454,-172.31
2022-07-12 18:41:23,145859,-176.33
2022-07-12 18:41:24,182777,-202.806
2022-07-12 18:41:25,214225,-119.88
2022-07-12 18:41:26,211854,-23.3485
2022-07-12 18:41:27,222129,-54.7312
2022-07-12 18:41:28,234330,-542.482
2022-07-12 18:41:29,235852,-2070.37
2022-07-12 18:41:30,239016,-15165.6
2022-07-12 18:41:31,256860,-11720.8
2022-07-12 18:41:32,251813,-2618.03
2022-07-12 18:41:33,246389,-1597.99
2022-07-12 18:41:34,244175,-229.149
2022-07-12 18:41:35,228547,-89188.9
2022-07-12 18:41:36,236132,-56497.1
2022-07-12 18:41:37,257915,-20398.7
2022-07-12 18:41:38,268359,-1274.03
2022-07-12 18:41:39,260311,-1747.77
2022-07-12 18:41:40,232366,-17139.2
2022-07-12 18:41:41,239892,-9958.93
2022-07-12 18:41:42,247166,-101.771
2022-07-12 18:41:43,230510,-472.994
2022-07-12 18:41:44,235479,-280.918
2022-07-12 18:41:45,253887,-5396.65
2022-07-12 18:41:46,254805,-4924.49
2022-07-12 18:41:47,256741,-2874.53
2022-07-12 18:41:48,225362,-1694.9
2022-07-12 18:41:49,216389,-65.9917
2022-07-12 18:41:50,231582,-100.784
2022-07-12 18:41:51,236268,-68.8856
2022-07-12 18:41:52,220063,-30.3497
2022-07-12 18:41:53,202585,-164.878
2022-07-12 18:41:54,182165,-99.1223
