time,in,out
2022-07-12 23:32:53,697.7165,-2383.331
2022-07-12 23:32:52,516.6399,-9.685804
2022-07-12 23:32:51,1129.3797,-772.4964
2022-07-12 23:32:50,771.5471,-1427.2016
2022-07-12 23:32:49,489.2241,-17.83996
2022-07-12 23:32:48,132.87733,-86.91005
2022-07-12 23:32:47,251.1227,-129.24088
2022-07-12 23:32:46,372.3152,-79.53151
2022-07-12 23:32:45,703.6848,-104.61914
2022-07-12 23:32:44,0,-98.45563
2022-07-12 23:32:43,0,-147.70459
2022-07-12 23:32:42,0,-90.46818
2022-07-12 23:32:41,0,-63.23674
2022-07-12 23:32:40,0,-130.91577
2022-07-12 23:32:39,0,-78.76869
2022-07-12 23:32:38,58.15666,-86.77274
2022-07-12 23:32:37,109.84334,-78.14948
2022-07-12 23:32:36,0,-54.76638
2022-07-12 23:32:35,0,-61.39283
2022-07-12 23:32:34,0,-47.38331
2022-07-12 23:32:33,0,-17.38367
2022-07-12 23:32:32,0,-24.15411
2022-07-12 23:32:31,0,-94.3184
2022-07-12 23:32:30,0,-151.06582
2022-07-12 23:32:29,0,-40.15237
2022-07-12 23:32:28,0,-113.12648
2022-07-12 23:32:27,404.2425,-580.805
2022-07-12 23:32:26,755.7575,-822.6329
2022-07-12 23:32:25,0,-71.74375
2022-07-12 23:32:24,0,-63.6893
2022-07-12 23:32:23,0,-63.23016
2022-07-12 23:32:22,0,-67.08173
2022-07-12 23:32:21,0,-43.54263
2022-07-12 23:32:20,0,-108.76079
2022-07-12 23:32:19,159.23422,-98.15783
2022-07-12 23:32:18,300.7658,-15.077649
2022-07-12 23:32:17,0,-45.69315
2022-07-12 23:32:16,0,-70.92288
2022-07-12 23:32:15,0,-67.38207
2022-07-12 23:32:14,0,-33.23256
2022-07-12 23:32:13,58.1585,-22.46123
2022-07-12 23:32:12,109.8415,-18.92143
2022-07-12 23:32:11,0,-27.84825
2022-07-12 23:32:10,0,-36.61387
2022-07-12 23:32:09,0,-61.0781
2022-07-12 23:32:08,0,-35.53812
2022-07-12 23:32:07,0,-25.84407
2022-07-12 23:32:06,0,-46.46403
2022-07-12 23:32:05,0,-23.53795
2022-07-12 23:32:04,0,-38.76623
2022-07-12 23:32:03,0,-85.69524
2022-07-12 23:32:02,0,-41.53994
2022-07-12 23:32:01,42.92357,-39.53712
2022-07-12 23:32:00,81.07643,-21.53989
2022-07-12 23:31:59,6.924558,-48.61982
2022-07-12 23:31:58,13.075442,-64.76356
2022-07-12 23:31:57,0,-63.69608
2022-07-12 23:31:56,0,-86.92069
2022-07-12 23:31:55,0,-38.92175
2022-07-12 23:31:54,0,-54.76853
2022-07-12 23:31:53,98.31351,-53.07814
2022-07-12 23:31:52,185.6865,-73.22866
2022-07-12 23:31:51,265.8437,-91.69357
2022-07-12 23:31:50,502.1563,-13.535773
2022-07-12 23:31:49,372.3668,-29.53765
2022-07-12 23:31:48,703.6332,-60.76367
2022-07-12 23:31:47,132.90051,-87.54378
2022-07-12 23:31:46,251.0995,-51.54298
2022-07-12 23:31:45,0,-51.53827
2022-07-12 23:31:44,585.656,-68.30678
2022-07-12 23:31:43,1106.344,-15.999809
2022-07-12 23:31:42,404.2544,-53.37949
2022-07-12 23:31:41,763.7456,-114.3108
2022-07-12 23:31:40,0,-83.54029
2022-07-12 23:31:39,0,-44.77065
2022-07-12 23:31:38,0,-20.15333
2022-07-12 23:31:37,0,-45.99511
2022-07-12 23:31:36,142.589,-53.69676
2022-07-12 23:31:35,269.411,-6.769417
2022-07-12 23:31:34,0,-9.230658
2022-07-12 23:31:33,0,-2.615566
2022-07-12 23:31:32,0,-48.45382
2022-07-12 23:31:31,0,-112.31488
2022-07-12 23:31:30,0,-55.84042
2022-07-12 23:31:29,0,-34.15949
2022-07-12 23:31:28,0,-9.384962
2022-07-12 23:31:27,0,-38.30494
2022-07-12 23:31:26,0,-97.68825
2022-07-12 23:31:25,0,-80.00769
2022-07-12 23:31:24,0,-21.69245
2022-07-12 23:31:23,0,-52.46321
2022-07-12 23:31:22,180.028,-49.68988
2022-07-12 23:31:21,339.972,-54.00722
2022-07-12 23:31:20,0,-115.84165
2022-07-12 23:31:19,0,-44.15246
2022-07-12 23:31:18,0,-46.461
2022-07-12 23:31:17,0,-29.07627
2022-07-12 23:31:16,0,-47.84149
2022-07-12 23:31:15,0,-83.08005
2022-07-12 23:31:14,0,-26.30859
2022-07-12 23:31:13,0,-5.23128
2022-07-12 23:31:12,0,-16.610218
2022-07-12 23:31:11,0,-42.46681
2022-07-12 23:31:10,0,-38.92221
2022-07-12 23:31:09,0,-56.15682
2022-07-12 23:31:08,0,-58.4632
2022-07-12 23:31:07,0,-67.37379
2022-07-12 23:31:06,0,-83.23894
2022-07-12 23:31:05,0,-39.84795
2022-07-12 23:31:04,0,-43.07624
2022-07-12 23:31:03,0,-66.77164
2022-07-12 23:31:02,0,-69.23289
2022-07-12 23:31:01,0,-90.29192
2022-07-12 23:31:00,0,-110.93149
2022-07-12 23:30:59,0,-50.46293
2022-07-12 23:30:58,0,-27.53814
2022-07-12 23:30:57,0,-10.923295
2022-07-12 23:30:56,0,-35.07505
2022-07-12 23:30:55,0,-39.38614
2022-07-12 23:30:54,0,-20.46108
2022-07-12 23:30:53,0,-31.53886
2022-07-12 23:30:52,0,-6.615371
2022-07-12 23:30:51,0,-123.10476
2022-07-12 23:30:50,0,-245.5107
2022-07-12 23:30:49,0,-43.69068
2022-07-12 23:30:48,0,-37.6961
2022-07-12 23:30:47,0,-37.99768
2022-07-12 23:30:46,0,-48.30208
2022-07-12 23:30:45,0,-93.23726
2022-07-12 23:30:44,0,-43.5391
2022-07-12 23:30:43,0,-58.92165
2022-07-12 23:30:42,0,-10.922628
2022-07-12 23:30:41,0,-29.53614
2022-07-12 23:30:40,0,-45.54145
2022-07-12 23:30:39,6.923348,-67.07751
2022-07-12 23:30:38,13.076652,-68.61346
2022-07-12 23:30:37,0,-36.15482
2022-07-12 23:30:36,0,-38.45931
2022-07-12 23:30:35,0,-23.84887
2022-07-12 23:30:34,0,-22.92705
2022-07-12 23:30:33,0,-45.69191
2022-07-12 23:30:32,0,-61.22786
