time,in,out
2022-07-08 00:43:09,894.3952,-57.77293
2022-07-08 00:43:08,454.0967,-139.10611
2022-07-08 00:43:07,1134.0841,-569.0737
2022-07-08 00:43:06,515.062,-1619.9665
2022-07-08 00:43:05,766.5886,-23.76437
2022-07-08 00:43:04,0,-135.14015
2022-07-08 00:43:03,0,-244.1378
2022-07-08 00:43:02,0,-92.39933
2022-07-08 00:43:01,89.46762,-35.51811
2022-07-08 00:43:00,254.5324,-5.201582
2022-07-08 00:42:59,33.29272,-32.48518
2022-07-08 00:42:58,94.70728,-54.47381
2022-07-08 00:42:57,0,-11.839436
2022-07-08 00:42:56,0,-7.278419
2022-07-08 00:42:55,0,-24.88273
2022-07-08 00:42:54,0,-61.7873
2022-07-08 00:42:53,0,-170.1448
2022-07-08 00:42:52,0,-88.23227
2022-07-08 00:42:51,0,-34.08072
2022-07-08 00:42:50,0,-36.87858
2022-07-08 00:42:49,62.4425,-61.30282
2022-07-08 00:42:48,177.5575,-157.02791
2022-07-08 00:42:47,0,-137.11647
2022-07-08 00:42:46,0,-69.9197
2022-07-08 00:42:45,0,-54.63309
2022-07-08 00:42:44,0,-38.40759
2022-07-08 00:42:43,0,-72.16305
2022-07-08 00:42:42,0,-102.71449
2022-07-08 00:42:41,0,-115.43007
2022-07-08 00:42:40,0,-20.81378
2022-07-08 00:42:39,0,-84.16386
2022-07-08 00:42:38,0,-81.43024
2022-07-08 00:42:37,0,-50.40716
2022-07-08 00:42:36,0,-65.43035
2022-07-08 00:42:35,0,-20.87695
2022-07-08 00:42:34,0,-13.040786
2022-07-08 00:42:33,0,-22.24555
2022-07-08 00:42:32,0,-31.67271
2022-07-08 00:42:31,0,-53.78887
2022-07-08 00:42:30,30.18149,-143.41491
2022-07-08 00:42:29,85.81851,-26.95755
2022-07-08 00:42:28,0,-45.86169
2022-07-08 00:42:27,0,-84.05947
2022-07-08 00:42:26,145.72457,-14.958773
2022-07-08 00:42:25,414.2754,-8.877331
2022-07-08 00:42:24,0,-3.12201
2022-07-08 00:42:23,0,-36.98317
2022-07-08 00:42:22,0,-95.50689
2022-07-08 00:42:21,0,-75.61239
2022-07-08 00:42:20,266.4784,-107.51231
2022-07-08 00:42:19,757.5216,-67.8346
2022-07-08 00:42:18,0,-90.35025
2022-07-08 00:42:17,0,-151.57089
2022-07-08 00:42:16,120.73439,-44.87482
2022-07-08 00:42:15,343.2656,-30.79624
2022-07-08 00:42:14,0,-17.04072
2022-07-08 00:42:13,14.570153,-31.44732
2022-07-08 00:42:12,41.42985,-49.43082
2022-07-08 00:42:11,0,-10.081535
2022-07-08 00:42:10,0,-31.60951
2022-07-08 00:42:09,0,-70.7983
2022-07-08 00:42:08,0,-44.55139
2022-07-08 00:42:07,0,-32.81688
2022-07-08 00:42:06,0,-76.38618
2022-07-08 00:42:05,0,-54.89227
2022-07-08 00:42:04,0,-89.82247
2022-07-08 00:42:03,0,-9.204509
2022-07-08 00:42:02,0,-44.80686
2022-07-08 00:42:01,187.32,-84.23235
2022-07-08 00:42:00,532.68,-62.35118
2022-07-08 00:41:59,0,-143.33621
2022-07-08 00:41:58,0,-81.43688
2022-07-08 00:41:57,124.92864,-55.61786
2022-07-08 00:41:56,355.0714,-76.05495
2022-07-08 00:41:55,74.95134,-6.959245
2022-07-08 00:41:54,213.0487,-9.204812
2022-07-08 00:41:53,0,-17.7542
2022-07-08 00:41:52,0,-4.164179
2022-07-08 00:41:51,0,-11.835821
2022-07-08 00:41:50,0,0
2022-07-08 00:41:49,0,-4.163785
2022-07-08 00:41:48,0,-16.000153
2022-07-08 00:41:47,0,-33.69104
2022-07-08 00:41:46,0,-77.75932
2022-07-08 00:41:45,0,-51.67315
2022-07-08 00:41:44,178.9997,-55.05551
2022-07-08 00:41:43,509.0003,-98.6978
2022-07-08 00:41:42,0,-18.57826
2022-07-08 00:41:41,0,-50.62606
2022-07-08 00:41:40,0,-54.18729
2022-07-08 00:41:39,0,-154.56843
2022-07-08 00:41:38,355.8441,-162.68736
2022-07-08 00:41:37,1012.1559,-84.65315
2022-07-08 00:41:36,0,-113.27026
2022-07-08 00:41:35,0,-46.47015
2022-07-08 00:41:34,43.71737,-16.327181
2022-07-08 00:41:33,124.28263,-50.40013
2022-07-08 00:41:32,0,-86.24504
2022-07-08 00:41:31,0,-99.84057
2022-07-08 00:41:30,113.42741,-67.1866
2022-07-08 00:41:29,322.5726,-23.61115
2022-07-08 00:41:28,104.05402,-59.67248
2022-07-08 00:41:27,295.946,-39.12179
2022-07-08 00:41:26,30.17696,-38.63511
2022-07-08 00:41:25,85.82304,-17.20366
2022-07-08 00:41:24,0,-24.7154
2022-07-08 00:41:23,0,-5.041155
2022-07-08 00:41:22,0,-9.040682
2022-07-08 00:41:21,0,-8.87735
2022-07-08 00:41:20,0,-2.082253
2022-07-08 00:41:19,0,-10.082288
2022-07-08 00:41:18,0,-11.835458
2022-07-08 00:41:17,0,-12.490003
2022-07-08 00:41:16,0,-54.24292
2022-07-08 00:41:15,0,-65.75971
2022-07-08 00:41:14,0,-40.71211
2022-07-08 00:41:13,132.19081,-14.795261
2022-07-08 00:41:12,375.8092,-11.448368
2022-07-08 00:41:11,291.4502,-40.87878
2022-07-08 00:41:10,828.5498,-49.68914
2022-07-08 00:41:09,0,-73.98371
2022-07-08 00:41:08,0,-10.406734
2022-07-08 00:41:07,0,-60.80521
2022-07-08 00:41:06,0,-139.78962
2022-07-08 00:41:05,0,-155.40806
2022-07-08 00:41:04,0,-55.60478
2022-07-08 00:41:03,0,-82.30892
2022-07-08 00:41:02,0,-40.32708
2022-07-08 00:41:01,0,-85.87198
2022-07-08 00:41:00,0,-159.44145
2022-07-08 00:40:59,0,-174.3065
2022-07-08 00:40:58,0,-113.58709
2022-07-08 00:40:57,0,-72.55096
2022-07-08 00:40:56,0,-58.72476
2022-07-08 00:40:55,0,-90.15308
2022-07-08 00:40:54,32.26874,-31.12309
2022-07-08 00:40:53,91.73126,-39.99717
2022-07-08 00:40:52,0,-42.08339
2022-07-08 00:40:51,0,-52.1683
2022-07-08 00:40:50,0,-58.79069
2022-07-08 00:40:49,0,-34.63336
2022-07-08 00:40:48,0,-7.99972
2022-07-08 00:40:47,0,-21.5264
2022-07-08 00:40:46,0,-67.2872
2022-07-08 00:40:45,0,-65.1045
2022-07-08 00:40:44,0,-10.408819
2022-07-08 00:40:43,0,-30.63225
2022-07-08 00:40:42,0,-3.999883
2022-07-08 00:40:41,0,-11.285635
2022-07-08 00:40:40,0,-48.6541
2022-07-08 00:40:39,0,-73.10047
2022-07-08 00:40:38,0,-6.959452
2022-07-08 00:40:37,0,-68.55877
2022-07-08 00:40:36,0,-471.1668
2022-07-08 00:40:35,0,-894.939
2022-07-08 00:40:34,0,-270.8687
2022-07-08 00:40:33,0,-43.50703
2022-07-08 00:40:32,0,-13.205669
2022-07-08 00:40:31,0,-27.99781
2022-07-08 00:40:30,0,-48.81937
2022-07-08 00:40:29,0,-96.55345
2022-07-08 00:40:28,0,-54.62737
2022-07-08 00:40:27,0,-32.1629
2022-07-08 00:40:26,0,-35.67649
2022-07-08 00:40:25,70.79544,-45.3148
2022-07-08 00:40:24,201.2046,-135.83428
2022-07-08 00:40:23,0,-99.01164
2022-07-08 00:40:22,0,-29.04053
2022-07-08 00:40:21,0,-58.00862
2022-07-08 00:40:20,0,-113.27708
2022-07-08 00:40:19,0,-116.20936
2022-07-08 00:40:18,0,-211.4627
2022-07-08 00:40:17,62.44521,-32.16527
2022-07-08 00:40:16,177.5548,-46.07831
2022-07-08 00:40:15,110.32808,-46.80005
2022-07-08 00:40:14,313.6719,-44.48272
2022-07-08 00:40:13,0,-71.67646
2022-07-08 00:40:12,0,-50.0808
2022-07-08 00:40:11,263.2315,-42.47382
2022-07-08 00:40:10,748.7685,-11.284794
2022-07-08 00:40:09,0,-49.69352
2022-07-08 00:40:08,83.23333,-81.26416
2022-07-08 00:40:07,236.7667,-22.79865
2022-07-08 00:40:06,0,-9.041683
2022-07-08 00:40:05,0,-28.65742
2022-07-08 00:40:04,83.27835,-88.48969
2022-07-08 00:40:03,236.7217,-100.05792
2022-07-08 00:40:02,0,-43.45209
2022-07-08 00:40:01,0,-75.98789
2022-07-08 00:40:00,0,-64.55785
2022-07-08 00:39:59,0,-24.71484
2022-07-08 00:39:58,0,-30.02362
2022-07-08 00:39:57,0,-87.34506
2022-07-08 00:39:56,0,-30.63092
2022-07-08 00:39:55,0,-2.959453
2022-07-08 00:39:54,30.19077,-24.98547
2022-07-08 00:39:53,85.80923,-91.82583
2022-07-08 00:39:52,107.20643,-60.22955
2022-07-08 00:39:51,304.7936,-18.57254
2022-07-08 00:39:50,0,-46.46784
2022-07-08 00:39:49,0,-21.53526
2022-07-08 00:39:48,0,-56.87371
2022-07-08 00:39:47,0,-41.75613
2022-07-08 00:39:46,0,-26.08235
2022-07-08 00:39:45,0,-24.71181
2022-07-08 00:39:44,0,-7.12229
2022-07-08 00:39:43,0,-23.28413
2022-07-08 00:39:42,0,-41.92276
