time,free,used
2022-07-08 16:44:53,26413.1,5699.18
2022-07-08 16:44:52,26414.6,5697.59
2022-07-08 16:44:51,26416,5696.28
2022-07-08 16:44:50,25732.9,6379.31
2022-07-08 16:44:49,25733.2,6379
2022-07-08 16:44:48,25733.2,6379.04
2022-07-08 16:44:47,25733.2,6379.01
2022-07-08 16:44:46,25733.2,6379.02
2022-07-08 16:44:45,25733,6379.27
2022-07-08 16:44:44,25732.9,6379.34
2022-07-08 16:44:43,25733,6379.22
2022-07-08 16:44:42,25732.9,6379.29
2022-07-08 16:44:41,25733.5,6378.77
2022-07-08 16:44:40,25733.4,6378.8
2022-07-08 16:44:39,25733.5,6378.78
2022-07-08 16:44:38,25733.5,6378.78
2022-07-08 16:44:37,25733.5,6378.76
2022-07-08 16:44:36,25733.5,6378.78
2022-07-08 16:44:35,25733.2,6379.03
2022-07-08 16:44:34,25733.4,6378.79
2022-07-08 16:44:33,25733.2,6379.06
2022-07-08 16:44:32,25732.9,6379.32
2022-07-08 16:44:31,25733.2,6379.03
2022-07-08 16:44:30,25733.4,6378.85
2022-07-08 16:44:29,25733.7,6378.5
2022-07-08 16:44:28,25733.4,6378.82
2022-07-08 16:44:27,25733.4,6378.78
2022-07-08 16:44:26,25733.5,6378.77
2022-07-08 16:44:25,25733.6,6378.59
2022-07-08 16:44:24,25733.4,6378.84
2022-07-08 16:44:23,25733.4,6378.84
2022-07-08 16:44:22,25733.4,6378.81
2022-07-08 16:44:21,25733.9,6378.29
2022-07-08 16:44:20,25733.9,6378.29
2022-07-08 16:44:19,25733.9,6378.36
2022-07-08 16:44:18,25733.7,6378.57
2022-07-08 16:44:17,25733.9,6378.3
2022-07-08 16:44:16,25733.9,6378.32
2022-07-08 16:44:15,25733.9,6378.34
2022-07-08 16:44:14,25733.9,6378.3
2022-07-08 16:44:13,25733.9,6378.3
2022-07-08 16:44:12,25733.6,6378.63
2022-07-08 16:44:11,25733.9,6378.33
2022-07-08 16:44:10,25733.9,6378.37
2022-07-08 16:44:09,25734.1,6378.13
2022-07-08 16:44:08,25733.8,6378.43
2022-07-08 16:44:07,25734.1,6378.15
2022-07-08 16:44:06,25733.6,6378.66
2022-07-08 16:44:05,25733.9,6378.37
2022-07-08 16:44:04,25733.6,6378.65
2022-07-08 16:44:03,25733.6,6378.66
2022-07-08 16:44:02,25733.6,6378.63
2022-07-08 16:44:01,25733.8,6378.4
2022-07-08 16:44:00,25733.8,6378.41
2022-07-08 16:43:59,25733.9,6378.38
2022-07-08 16:43:58,25733.8,6378.47
2022-07-08 16:43:57,25733.6,6378.66
2022-07-08 16:43:56,25734,6378.27
2022-07-08 16:43:55,25734,6378.27
2022-07-08 16:43:54,25733.7,6378.52
2022-07-08 16:43:53,25733.7,6378.52
2022-07-08 16:43:52,25733.9,6378.28
2022-07-08 16:43:51,25733.8,6378.46
2022-07-08 16:43:50,25734,6378.19
2022-07-08 16:43:49,25733.9,6378.28
2022-07-08 16:43:48,25734,6378.22
2022-07-08 16:43:47,25734.1,6378.15
2022-07-08 16:43:46,25733.8,6378.48
2022-07-08 16:43:45,25734,6378.26
2022-07-08 16:43:44,25733.9,6378.29
2022-07-08 16:43:43,25734.2,6378.08
2022-07-08 16:43:42,25734.7,6377.53
2022-07-08 16:43:41,25734.5,6377.69
2022-07-08 16:43:40,25734.8,6377.46
2022-07-08 16:43:39,25734.8,6377.46
2022-07-08 16:43:38,25734.7,6377.49
2022-07-08 16:43:37,25735,6377.21
2022-07-08 16:43:36,25734.5,6377.75
2022-07-08 16:43:35,25734.8,6377.46
2022-07-08 16:43:34,25735,6377.25
2022-07-08 16:43:33,25733.1,6379.14
2022-07-08 16:43:32,25733.2,6379.02
2022-07-08 16:43:31,25733.3,6378.98
2022-07-08 16:43:30,25733.3,6378.9
2022-07-08 16:43:29,25733.2,6378.99
2022-07-08 16:43:28,25733.4,6378.88
2022-07-08 16:43:27,25733.6,6378.67
2022-07-08 16:43:26,25733.5,6378.7
2022-07-08 16:43:25,25733.4,6378.79
2022-07-08 16:43:24,25733.5,6378.77
2022-07-08 16:43:23,25733.3,6378.96
2022-07-08 16:43:22,25733.8,6378.43
2022-07-08 16:43:21,25733.8,6378.41
2022-07-08 16:43:20,25734,6378.24
2022-07-08 16:43:19,25733.7,6378.5
2022-07-08 16:43:18,25734,6378.23
2022-07-08 16:43:17,25734.2,6378.01
2022-07-08 16:43:16,25734,6378.21
2022-07-08 16:43:15,25734.3,6377.93
2022-07-08 16:43:14,25734.5,6377.72
2022-07-08 16:43:13,25734.7,6377.49
2022-07-08 16:43:12,25734.8,6377.48
2022-07-08 16:43:11,25735.3,6376.96
2022-07-08 16:43:10,25736.7,6375.48
2022-07-08 16:43:09,25738.7,6373.51
2022-07-08 16:43:08,25738.4,6373.81
2022-07-08 16:43:07,25738.7,6373.51
2022-07-08 16:43:06,25738.9,6373.34
2022-07-08 16:43:05,25739.2,6373.08
2022-07-08 16:43:04,25739,6373.27
2022-07-08 16:43:03,25739.1,6373.16
2022-07-08 16:43:02,25739.2,6372.99
2022-07-08 16:43:01,25739.3,6372.96
2022-07-08 16:43:00,25739.2,6372.99
2022-07-08 16:42:59,25738.9,6373.3
2022-07-08 16:42:58,25739,6373.21
2022-07-08 16:42:57,25739,6373.2
2022-07-08 16:42:56,25739.3,6372.98
2022-07-08 16:42:55,25739.2,6373.01
2022-07-08 16:42:54,25739.2,6373.05
2022-07-08 16:42:53,25739,6373.25
2022-07-08 16:42:52,25739.2,6373.05
2022-07-08 16:42:51,25739.3,6372.95
2022-07-08 16:42:50,25739,6373.26
2022-07-08 16:42:49,25739,6373.23
2022-07-08 16:42:48,25739.1,6373.14
2022-07-08 16:42:47,25739.3,6372.98
2022-07-08 16:42:46,25739.3,6372.96
2022-07-08 16:42:45,25739.3,6372.98
2022-07-08 16:42:44,25739.2,6372.99
2022-07-08 16:42:43,25739.2,6373.04
2022-07-08 16:42:42,25739.5,6372.77
2022-07-08 16:42:41,25739.3,6372.98
2022-07-08 16:42:40,25739.2,6372.99
2022-07-08 16:42:39,25739.3,6372.98
2022-07-08 16:42:38,25739.2,6373.02
2022-07-08 16:42:37,25739.4,6372.8
2022-07-08 16:42:36,25739.2,6373.03
2022-07-08 16:42:35,25739.2,6373.01
2022-07-08 16:42:34,25739,6373.21
2022-07-08 16:42:33,25739.2,6373.02
2022-07-08 16:42:32,25739.2,6372.99
2022-07-08 16:42:31,25739.2,6373.02
2022-07-08 16:42:30,25739,6373.27
2022-07-08 16:42:29,25739,6373.26
2022-07-08 16:42:28,25739,6373.26
2022-07-08 16:42:27,25738.7,6373.51
2022-07-08 16:42:26,25739,6373.27
2022-07-08 16:42:25,25738.8,6373.48
2022-07-08 16:42:24,25739,6373.27
2022-07-08 16:42:23,25739,6373.26
2022-07-08 16:42:22,25739,6373.27
2022-07-08 16:42:21,25739.2,6373.05
2022-07-08 16:42:20,25739,6373.24
2022-07-08 16:42:19,25738.8,6373.43
2022-07-08 16:42:18,25739.2,6373
2022-07-08 16:42:17,25739,6373.2
2022-07-08 16:42:16,25739,6373.27
2022-07-08 16:42:15,25739,6373.27
2022-07-08 16:42:14,25738.9,6373.3
2022-07-08 16:42:13,25739.5,6372.72
2022-07-08 16:42:12,25739.5,6372.78
2022-07-08 16:42:11,25739.3,6372.97
2022-07-08 16:42:10,25739.2,6373.03
