time,in,out
2022-06-23 15:40:30,0,-21.05518
2022-06-23 15:40:29,0,0
2022-06-23 15:40:28,119.38434,-149.70417
2022-06-23 15:40:27,132.61566,-166.29583
2022-06-23 15:40:26,0,0
2022-06-23 15:40:25,0,-28.42248
2022-06-23 15:40:24,0,-31.57752
2022-06-23 15:40:23,0,-89.2951
2022-06-23 15:40:22,0,-98.7049
2022-06-23 15:40:21,0,0
2022-06-23 15:40:20,0,-51.37671
2022-06-23 15:40:19,0,-56.62329
2022-06-23 15:40:18,2331.531,-108.48755
2022-06-23 15:40:17,5239.947,-4084.869
2022-06-23 15:40:16,4940.493,-4370.644
2022-06-23 15:40:15,10557.163,-36.16159
2022-06-23 15:40:14,9206.866,-45156.71
2022-06-23 15:40:13,6726.242,-49711.13
2022-06-23 15:40:12,9302.022,-121.83589
2022-06-23 15:40:11,2083.736,-210.2407
2022-06-23 15:40:10,6737.371,-217.0355
2022-06-23 15:40:09,12159.142,-22237.69
2022-06-23 15:40:08,7487.032,-24405.2
2022-06-23 15:40:07,10777.378,-15.21771
2022-06-23 15:40:06,18683.36,-1102.9406
2022-06-23 15:40:05,13646.162,-1260.5709
2022-06-23 15:40:04,10846.88,-69.2708
2022-06-23 15:40:03,8210.678,0
2022-06-23 15:40:02,3162.049,0
2022-06-23 15:40:01,4038.085,-749.8783
2022-06-23 15:40:00,8420.131,-826.1217
2022-06-23 15:39:59,11919.493,-70.41833
2022-06-23 15:39:58,3644.242,-104.22702
2022-06-23 15:39:57,6374.238,-44.58126
2022-06-23 15:39:56,8590.898,-258.3252
2022-06-23 15:39:55,5309.516,-266.4482
2022-06-23 15:39:54,12878.973,-45.55724
2022-06-23 15:39:53,16786.68,-276.6642
2022-06-23 15:39:52,7627.693,-249.7786
2022-06-23 15:39:51,3236.774,-39.96017
2022-06-23 15:39:50,11557.119,-44.03983
2022-06-23 15:39:49,12452.879,-59.00623
2022-06-23 15:39:48,6543.387,-64.99377
2022-06-23 15:39:47,3044.316,0
2022-06-23 15:39:46,293.5243,-93.15595
2022-06-23 15:39:45,0,-138.98324
2022-06-23 15:39:44,5256.7,-39.8608
2022-06-23 15:39:43,5799.3,0
2022-06-23 15:39:42,5717.685,0
2022-06-23 15:39:41,14329.735,-104.6749
2022-06-23 15:39:40,12304.885,-161.00313
2022-06-23 15:39:39,6818.971,-50.32197
2022-06-23 15:39:38,3316.724,0
2022-06-23 15:39:37,0,0
2022-06-23 15:39:36,10786.138,-127.32051
2022-06-23 15:39:35,19513.94,-188.262
2022-06-23 15:39:34,11178.93,-52.41745
2022-06-23 15:39:33,5199.821,0
2022-06-23 15:39:32,6580.121,0
2022-06-23 15:39:31,7116.341,-115.91879
2022-06-23 15:39:30,6258.146,-205.9885
2022-06-23 15:39:29,5384.441,-86.09268
2022-06-23 15:39:28,4477.549,0
2022-06-23 15:39:27,7176.299,0
2022-06-23 15:39:26,12455.787,-140.6524
2022-06-23 15:39:25,14888.866,-3597.486
2022-06-23 15:39:24,14976.079,-3813.862
2022-06-23 15:39:23,11797.436,-15.22209
2022-06-23 15:39:22,2809.905,-65723
2022-06-23 15:39:21,1206.2273,-72763.92
2022-06-23 15:39:20,11720.565,-393.797
2022-06-23 15:39:19,15377.7,-300.0647
2022-06-23 15:39:18,5908.194,0
2022-06-23 15:39:17,1763.514,-22887.12
2022-06-23 15:39:16,3247.993,-25381.33
2022-06-23 15:39:15,8271.335,-161.39619
2022-06-23 15:39:14,9883.581,-46.14712
2022-06-23 15:39:13,12294.014,0
2022-06-23 15:39:12,7827.078,-13.302053
2022-06-23 15:39:11,2327.449,-143.78975
2022-06-23 15:39:10,7571.908,-190.4468
2022-06-23 15:39:09,5512.642,-52.46138
2022-06-23 15:39:08,4264.29,0
2022-06-23 15:39:07,10281.936,0
2022-06-23 15:39:06,7542.907,-89.48676
2022-06-23 15:39:05,6256.973,-119.43014
2022-06-23 15:39:04,10755.188,-23.0831
2022-06-23 15:39:03,14191.524,0
2022-06-23 15:39:02,10621.935,0
2022-06-23 15:39:01,4899.293,-351.5645
2022-06-23 15:39:00,11698.507,-436.0178
2022-06-23 15:38:59,12965.554,-52.41769
2022-06-23 15:38:58,6844.474,0
2022-06-23 15:38:57,7640.025,0
2022-06-23 15:38:56,11197.498,-131.32891
2022-06-23 15:38:55,6763.898,-201.6998
2022-06-23 15:38:54,0,-62.9713
2022-06-23 15:38:53,10808.497,0
2022-06-23 15:38:52,15040.958,0
2022-06-23 15:38:51,3454.545,-26.64827
2022-06-23 15:38:50,5741.017,-3197.268
2022-06-23 15:38:49,8863.105,-3500.084
2022-06-23 15:38:48,9743.584,0
2022-06-23 15:38:47,21526.77,0
2022-06-23 15:38:46,17945.44,0
2022-06-23 15:38:45,8577.24,-127.51252
2022-06-23 15:38:44,6515.569,-228.0323
2022-06-23 15:38:43,287.2687,-96.45519
2022-06-23 15:38:42,5821.223,0
2022-06-23 15:38:41,6414.777,-203.7275
2022-06-23 15:38:40,5330.473,-921.467
2022-06-23 15:38:39,8520.881,-760.7205
2022-06-23 15:38:38,2960.646,-2.084962
2022-06-23 15:38:37,6021.604,0
2022-06-23 15:38:36,10025.85,-49.42701
2022-06-23 15:38:35,9934.884,-54.57299
2022-06-23 15:38:34,11981.461,-146.24871
2022-06-23 15:38:33,11099.363,-161.75129
2022-06-23 15:38:32,5984.838,0
2022-06-23 15:38:31,1456.6194,-26820.05
2022-06-23 15:38:30,13172.67,-90392.53
2022-06-23 15:38:29,19057.96,-67400.04
2022-06-23 15:38:28,10222.39,-155.38102
2022-06-23 15:38:27,3638.364,0
2022-06-23 15:38:26,3276.909,-68.50681
2022-06-23 15:38:25,9835.271,-22773.76
2022-06-23 15:38:24,12637.252,-28135
2022-06-23 15:38:23,12424.514,-3454.727
2022-06-23 15:38:22,11255.176,0
2022-06-23 15:38:21,14394.903,-41.81711
2022-06-23 15:38:20,13533.356,-46.18289
2022-06-23 15:38:19,7072.749,-55.18498
2022-06-23 15:38:18,8622.694,-60.81502
2022-06-23 15:38:17,7847.195,0
2022-06-23 15:38:16,2903.981,-47.49506
2022-06-23 15:38:15,0,-52.50494
2022-06-23 15:38:14,0,-142.58765
2022-06-23 15:38:13,0,-157.41235
2022-06-23 15:38:12,2000.755,0
2022-06-23 15:38:11,5697.389,0
2022-06-23 15:38:10,3861.856,-45.54917
2022-06-23 15:38:09,3109.821,-164.43329
2022-06-23 15:38:08,4445.983,-126.01755
2022-06-23 15:38:07,4140.889,0
2022-06-23 15:38:06,9975.247,0
2022-06-23 15:38:05,17021.43,-51.32898
2022-06-23 15:38:04,20708.41,-222.0998
2022-06-23 15:38:03,15144.509,-182.5712
2022-06-23 15:38:02,14107.38,0
2022-06-23 15:38:01,18061.97,0
2022-06-23 15:38:00,14246.906,-68.39485
2022-06-23 15:37:59,9139.803,-89886.6
2022-06-23 15:37:58,9025.831,-112776.89
2022-06-23 15:37:57,9866.451,-15845.898
2022-06-23 15:37:56,6091.02,-178.2177
2022-06-23 15:37:55,10908.602,-53.31904
2022-06-23 15:37:54,11701.32,-58.68096
2022-06-23 15:37:53,6122.068,-525.1709
2022-06-23 15:37:52,9375.339,-592.1302
2022-06-23 15:37:51,8828.707,-14.698967
2022-06-23 15:37:50,4969.728,-70.33995
2022-06-23 15:37:49,3152.578,-77.66005
2022-06-23 15:37:48,0,-551.8586
2022-06-23 15:37:47,0,-623.3649
2022-06-23 15:37:46,2624.015,-16.776551
2022-06-23 15:37:45,2949.037,-34.23158
2022-06-23 15:37:44,62.94736,-151.87364
2022-06-23 15:37:43,1618.8751,-257.1549
2022-06-23 15:37:42,2612.612,-858.0911
2022-06-23 15:37:41,10156.735,-801.875
2022-06-23 15:37:40,14847.276,-16.773773
2022-06-23 15:37:39,5258.288,0
2022-06-23 15:37:38,9531.656,-153.96297
2022-06-23 15:37:37,13047.364,-245.9633
2022-06-23 15:37:36,10150.336,-84.07375
2022-06-23 15:37:35,15482.817,0
2022-06-23 15:37:34,8646.362,-15.218684
2022-06-23 15:37:33,6779.758,-184.2529
2022-06-23 15:37:32,7676.1,-913.3732
2022-06-23 15:37:31,7809.617,-803.1551
2022-06-23 15:37:30,15177.655,0
2022-06-23 15:37:29,18754.33,0
2022-06-23 15:37:28,13933.835,-218.3491
2022-06-23 15:37:27,6359.4,-20846.32
2022-06-23 15:37:26,4398.886,-68882.62
2022-06-23 15:37:25,2.095032,-50764.71
2022-06-23 15:37:24,5636.841,0
2022-06-23 15:37:23,9030.165,-153.97132
2022-06-23 15:37:22,9083.623,-857.268
2022-06-23 15:37:21,14889.995,-23498.77
2022-06-23 15:37:20,13194.274,-25161.99
2022-06-23 15:37:19,8173.75,0
2022-06-23 15:37:18,4103.353,-114.00261
2022-06-23 15:37:17,74.02143,-839.6399
2022-06-23 15:37:16,3353.192,-881.5941
2022-06-23 15:37:15,7567.446,-115.96629
2022-06-23 15:37:14,5273.86,-16.79708
2022-06-23 15:37:13,5925.575,-108.32844
2022-06-23 15:37:12,9960.758,-313.4995
2022-06-23 15:37:11,5048.339,-244.6221
2022-06-23 15:37:10,2927.429,-46.86533
2022-06-23 15:37:09,5994.813,-14.684582
2022-06-23 15:37:08,9215.162,-102.57798
2022-06-23 15:37:07,12156.298,-760.4215
2022-06-23 15:37:06,13560.668,-762.4761
2022-06-23 15:37:05,10006.858,-96.36779
2022-06-23 15:37:04,2657.904,-46.15669
2022-06-23 15:37:03,8621.127,-127.25459
2022-06-23 15:37:02,12903.952,-140.74541
2022-06-23 15:37:01,6489.934,-464.945
2022-06-23 15:37:00,10402.116,-556.8042
2022-06-23 15:36:59,15592.079,-61.44119
2022-06-23 15:36:58,12439.77,-126.96331
2022-06-23 15:36:57,14164.412,-121.84634
2022-06-23 15:36:56,8680.287,-91.341
2022-06-23 15:36:55,6604.789,-229.9038
2022-06-23 15:36:54,16867.07,-157.96071
2022-06-23 15:36:53,11120.172,-127.1629
2022-06-23 15:36:52,8579.108,-121.6316
2022-06-23 15:36:51,10315.451,-994.283
2022-06-23 15:36:50,3481.96,-1097.717
2022-06-23 15:36:49,4600.645,0
2022-06-23 15:36:48,5503.82,-138.84939
2022-06-23 15:36:47,3653.564,-153.15061
2022-06-23 15:36:46,7292.748,-1031.4518
2022-06-23 15:36:45,7108.669,-1136.5482
2022-06-23 15:36:44,0,0
2022-06-23 15:36:43,4783.621,0
2022-06-23 15:36:42,5272.379,-100.85779
2022-06-23 15:36:41,8882.922,-779.2171
2022-06-23 15:36:40,14646.124,-735.9251
2022-06-23 15:36:39,11180.098,-15.229133
2022-06-23 15:36:38,9184.776,-16.770867
2022-06-23 15:36:37,6403.635,-119.83773
2022-06-23 15:36:36,12971.565,-619.1199
2022-06-23 15:36:35,13172.856,-537.0423
2022-06-23 15:36:34,6231.319,0
2022-06-23 15:36:33,7405.279,-15.225065
2022-06-23 15:36:32,14524.71,-153.72
2022-06-23 15:36:31,13995.024,-255.6501
2022-06-23 15:36:30,12379.659,-115.40478
2022-06-23 15:36:29,10050.034,0
2022-06-23 15:36:28,0,0
2022-06-23 15:36:27,5613.384,-156.03306
2022-06-23 15:36:26,6186.616,-230.9551
2022-06-23 15:36:25,0,-65.01186
2022-06-23 15:36:24,1.903369,-66930.07
2022-06-23 15:36:23,21.10419,-73725.93
2022-06-23 15:36:22,3871.545,-117.83527
2022-06-23 15:36:21,13306.463,-1099.3162
2022-06-23 15:36:20,12786.636,-1070.8485
2022-06-23 15:36:19,3247.396,-21776.13
2022-06-23 15:36:18,3610.409,-24512.07
2022-06-23 15:36:17,9732.008,-551.3576
2022-06-23 15:36:16,15600.729,-84.77447
2022-06-23 15:36:15,14484.934,-1408.1048
2022-06-23 15:36:14,15756.303,-1511.5691
2022-06-23 15:36:13,14833.386,-13.30325
2022-06-23 15:36:12,8244.03,-14.69675
2022-06-23 15:36:11,17606.58,-214.7235
2022-06-23 15:36:10,16632.378,-736.1702
2022-06-23 15:36:09,5742.764,-553.1063
2022-06-23 15:36:08,5865.325,-53.28573
2022-06-23 15:36:07,6554.712,-89.12
