time,free,used,cached,buffers
2022-06-23 18:40:27,26946.32,4472.148,689.0039,4.761719
2022-06-23 18:40:26,26950.57,4471.371,685.6602,4.628906
2022-06-23 18:40:25,26169.96,5250.281,687.3672,4.628906
2022-06-23 18:40:24,26173.02,5248.363,686.2383,4.613281
2022-06-23 18:40:23,26173.27,5248.109,686.2383,4.613281
2022-06-23 18:40:22,26173.52,5247.863,686.2383,4.613281
2022-06-23 18:40:21,26173.18,5248.219,686.2227,4.613281
2022-06-23 18:40:20,26173.5,5247.902,686.2305,4.605469
2022-06-23 18:40:19,26173.04,5248.359,686.2344,4.597656
2022-06-23 18:40:18,26173.04,5248.367,686.2344,4.597656
2022-06-23 18:40:17,26172.78,5248.629,686.2266,4.597656
2022-06-23 18:40:16,26173.41,5248.004,686.2266,4.597656
2022-06-23 18:40:15,26173.07,5248.355,686.2148,4.597656
2022-06-23 18:40:14,26173.04,5248.418,686.1992,4.582031
2022-06-23 18:40:13,26173.1,5248.355,686.1992,4.582031
2022-06-23 18:40:12,26172.81,5248.648,686.1914,4.582031
2022-06-23 18:40:11,26173.07,5248.395,686.1914,4.582031
2022-06-23 18:40:10,26172.85,5248.617,686.1836,4.582031
2022-06-23 18:40:09,26172.57,5248.922,686.1719,4.566406
2022-06-23 18:40:08,26173.04,5248.48,686.1523,4.566406
2022-06-23 18:40:07,26173.07,5248.453,686.1484,4.566406
2022-06-23 18:40:06,26172.84,5248.699,686.125,4.566406
2022-06-23 18:40:05,26173.1,5248.445,686.125,4.566406
2022-06-23 18:40:04,26173.07,5248.488,686.1211,4.558594
2022-06-23 18:40:03,26173.29,5248.277,686.1172,4.550781
2022-06-23 18:40:02,26173,5248.562,686.1172,4.550781
2022-06-23 18:40:01,26173.02,5248.562,686.1016,4.550781
2022-06-23 18:40:00,26173.3,5248.277,686.1016,4.550781
2022-06-23 18:39:59,26173.06,5248.527,686.0977,4.550781
2022-06-23 18:39:58,26173.3,5248.285,686.1094,4.535156
2022-06-23 18:39:57,26173.27,5248.332,686.0938,4.535156
2022-06-23 18:39:56,26172.8,5248.812,686.082,4.535156
2022-06-23 18:39:55,26173.06,5248.559,686.082,4.535156
2022-06-23 18:39:54,26173.37,5248.262,686.0703,4.535156
2022-06-23 18:39:53,26173.09,5248.551,686.0742,4.519531
2022-06-23 18:39:52,26172.98,5248.676,686.0586,4.519531
2022-06-23 18:39:51,26173.34,5248.324,686.0547,4.519531
2022-06-23 18:39:50,26173.3,5248.371,686.0469,4.519531
2022-06-23 18:39:49,26173.3,5248.363,686.0469,4.519531
2022-06-23 18:39:48,26173.24,5248.457,686.0312,4.503906
2022-06-23 18:39:47,26173.55,5248.176,686.0039,4.503906
2022-06-23 18:39:46,26172.56,5249.168,686.0039,4.503906
