time,in,out
2022-06-23 21:49:07,10099.8,-945.481
2022-06-23 21:49:08,3291.84,-799.338
2022-06-23 21:49:09,56419.2,-504.766
2022-06-23 21:49:10,777643,-54152.3
2022-06-23 21:49:11,1.29213e+06,-24759.2
2022-06-23 21:49:12,1153002,-59400.2
2022-06-23 21:49:13,1.00104e+06,-75599.2
2022-06-23 21:49:14,948171,-51156.6
2022-06-23 21:49:15,897268,-84222.6
2022-06-23 21:49:16,882421,-98769.1
2022-06-23 21:49:17,942028,-39186
2022-06-23 21:49:18,875725,-106302
2022-06-23 21:49:19,744310,-236793
2022-06-23 21:49:20,606619,-374446
2022-06-23 21:49:21,468671,-512373
2022-06-23 21:49:22,317016,-665687
2022-06-23 21:49:23,273936,-706718
2022-06-23 21:49:24,335178,-646405
2022-06-23 21:49:25,366838,-613961
2022-06-23 21:49:26,465357,-516482
2022-06-23 21:49:27,483167,-498734
2022-06-23 21:49:28,448943,-531713
2022-06-23 21:49:29,463707,-513661
2022-06-23 21:49:30,468441,-509413
2022-06-23 21:49:31,575248,-408596
2022-06-23 21:49:32,713547,-271822
2022-06-23 21:49:33,766210,-215896
2022-06-23 21:49:34,687424,-291712
2022-06-23 21:49:35,603936,-378012
2022-06-23 21:49:36,565154,-416393
2022-06-23 21:49:37,649245,-331397
2022-06-23 21:49:38,720596,-260788
2022-06-23 21:49:39,738531,-241801
2022-06-23 21:49:40,862110,-114382
2022-06-23 21:49:41,817059,-165936
2022-06-23 21:49:42,698835,-280173
2022-06-23 21:49:43,654451,-330598
2022-06-23 21:49:44,607283,-376106
2022-06-23 21:49:45,636235,-346149
2022-06-23 21:49:46,666864,-315724
2022-06-23 21:49:47,595049,-357891
2022-06-23 21:49:48,432322,-516708
2022-06-23 21:49:49,271363,-747515
2022-06-23 21:49:50,190417,-782163
2022-06-23 21:49:51,84831.4,-866706
2022-06-23 21:49:52,131634,-887558
2022-06-23 21:49:53,101779,-807765
2022-06-23 21:49:54,7248.01,-948286
2022-06-23 21:49:55,155.443,-1.05008e+06
2022-06-23 21:49:56,271.418,-979681
2022-06-23 21:49:57,137.48,-983535
2022-06-23 21:49:58,54.2229,-987018
2022-06-23 21:49:59,33.3694,-982906
2022-06-23 21:50:00,75.788,-979070
2022-06-23 21:50:01,53.8169,-974779
2022-06-23 21:50:02,102.739,-978913
2022-06-23 21:50:03,395.469,-978281
2022-06-23 21:50:04,174.427,-981561
2022-06-23 21:50:05,219.941,-978431
2022-06-23 21:50:06,117.341,-984708
2022-06-23 21:50:07,230.086,-984615
2022-06-23 21:50:08,1530.03,-977516
2022-06-23 21:50:09,716.175,-975612
2022-06-23 21:50:10,364.072,-981623
2022-06-23 21:50:11,71484.9,-912103
2022-06-23 21:50:12,648298,-332389
2022-06-23 21:50:13,980090,-61.5927
2022-06-23 21:50:14,980677,-26.6158
2022-06-23 21:50:15,981543,-513.696
2022-06-23 21:50:16,981669,-348.442
2022-06-23 21:50:17,980802,-3.83876
2022-06-23 21:50:18,981393,0
2022-06-23 21:50:19,980635,0
2022-06-23 21:50:20,980786,-28.8427
2022-06-23 21:50:21,981180,-38.7234
2022-06-23 21:50:22,980255,-12.434
2022-06-23 21:50:23,944194,-36076.7
2022-06-23 21:50:24,693580,-290404
2022-06-23 21:50:25,512337,-469459
2022-06-23 21:50:26,495326,-485679
2022-06-23 21:50:27,601280,-382031
2022-06-23 21:50:28,329238,-650994
2022-06-23 21:50:29,143128,-836923
2022-06-23 21:50:30,124555,-856079
2022-06-23 21:50:31,100983,-881755
2022-06-23 21:50:32,117306,-865724
2022-06-23 21:50:33,146297,-832644
2022-06-23 21:50:34,166451,-813312
2022-06-23 21:50:35,139869,-845140
2022-06-23 21:50:36,104688,-874519
2022-06-23 21:50:37,435746,-542543
2022-06-23 21:50:38,844487,-124383
2022-06-23 21:50:39,988172,-140.23
2022-06-23 21:50:40,986925,-174.7
2022-06-23 21:50:41,980530,-85.3944
2022-06-23 21:50:42,551088,-431463
2022-06-23 21:50:43,181900,-800871
2022-06-23 21:50:44,141212,-837721
2022-06-23 21:50:45,130046,-851651
2022-06-23 21:50:46,311329,-668518
2022-06-23 21:50:47,726406,-253723
2022-06-23 21:50:48,710651,-271471
2022-06-23 21:50:49,822034,-159147
2022-06-23 21:50:50,961941,-18436.4
2022-06-23 21:50:51,980631,-109.664
2022-06-23 21:50:52,981680,-49.9738
2022-06-23 21:50:53,981626,-49.6604
2022-06-23 21:50:54,965497,-44.2015
2022-06-23 21:50:55,680021,-238262
2022-06-23 21:50:56,170778,-822348
2022-06-23 21:50:57,4048.08,-1.03734e+06
2022-06-23 21:50:58,503.035,-992623
2022-06-23 21:50:59,330.335,-974280
2022-06-23 21:51:00,36.082,-980299
2022-06-23 21:51:01,73.064,-983059
2022-06-23 21:51:02,59.0228,-976952
2022-06-23 21:51:03,31.5748,-977251
2022-06-23 21:51:04,32.7854,-984344
2022-06-23 21:51:05,488.923,-983085
2022-06-23 21:51:06,266.162,-980914
2022-06-23 21:51:07,47.6782,-983575
2022-06-23 21:51:08,496.164,-981388
2022-06-23 21:51:09,223.29,-984443
2022-06-23 21:51:10,257.325,-984569
2022-06-23 21:51:11,124.754,-979680
2022-06-23 21:51:12,61.5645,-973856
2022-06-23 21:51:13,42.6249,-979558
2022-06-23 21:51:14,303.45,-982235
2022-06-23 21:51:15,292.301,-981760
2022-06-23 21:51:16,98.2964,-980679
2022-06-23 21:51:17,80.5162,-971476
2022-06-23 21:51:18,58.2125,-984935
2022-06-23 21:51:19,32316.5,-950619
2022-06-23 21:51:20,615444,-362488
2022-06-23 21:51:21,973410,-8379.04
2022-06-23 21:51:22,982784,-306.068
2022-06-23 21:51:23,981858,-109.429
2022-06-23 21:51:24,981688,-136.518
2022-06-23 21:51:25,981163,-83.4597
2022-06-23 21:51:26,981125,-25.6331
2022-06-23 21:51:27,980028,-16.9458
2022-06-23 21:51:28,980800,-12.1685
2022-06-23 21:51:29,981593,-59.7244
2022-06-23 21:51:30,981491,-78.1875
2022-06-23 21:51:31,920963,-60658.9
2022-06-23 21:51:32,556693,-423584
2022-06-23 21:51:33,312505,-668678
2022-06-23 21:51:34,294255,-686494
2022-06-23 21:51:35,332530,-654634
2022-06-23 21:51:36,178136,-803100
2022-06-23 21:51:37,103304,-874922
2022-06-23 21:51:38,140390,-838147
2022-06-23 21:51:39,160411,-819286
2022-06-23 21:51:40,161918,-819005
2022-06-23 21:51:41,110913,-872175
2022-06-23 21:51:42,302347,-677145
2022-06-23 21:51:43,567855,-410659
2022-06-23 21:51:44,648251,-332961
2022-06-23 21:51:45,797722,-182784
