time,in,out
2022-07-12 23:44:01,1.21139,-4.91927
2022-07-12 23:44:02,2.17108,-8.51234
2022-07-12 23:44:03,18.613,-38.2452
2022-07-12 23:44:04,34.4654,-53.0218
2022-07-12 23:44:05,17.9696,-29.8176
2022-07-12 23:44:06,7.75751,-24.3158
2022-07-12 23:44:07,6.88443,-23.9843
2022-07-12 23:44:08,4.57112,-16.7685
2022-07-12 23:44:09,5.59701,-22.1731
2022-07-12 23:44:10,5.71183,-22.7782
2022-07-12 23:44:11,3.98392,-14.7486
2022-07-12 23:44:12,5.8422,-22.2279
2022-07-12 23:44:13,5.87778,-23.0632
2022-07-12 23:44:14,4.57112,-16.7686
2022-07-12 23:44:15,5.59709,-22.1735
2022-07-12 23:44:16,7.51926,-24.6788
2022-07-12 23:44:17,5.25982,-17.9673
2022-07-12 23:44:18,7.81127,-24.4688
2022-07-12 23:44:19,241015,-629.977
2022-07-12 23:44:20,256635,-130027
2022-07-12 23:44:21,191036,-172915
2022-07-12 23:44:22,826174,-837670
2022-07-12 23:44:23,439463,-429511
2022-07-12 23:44:24,7.91683,-38.0572
2022-07-12 23:44:25,239880,-175730
2022-07-12 23:44:26,91572,-155630
2022-07-12 23:44:27,12.1373,-34.062
2022-07-12 23:44:28,4810.07,-4836.98
2022-07-12 23:44:29,5659.2,-10710
2022-07-12 23:44:30,1468.87,-3416.3
2022-07-12 23:44:31,497430,-497083
2022-07-12 23:44:32,658360,-658528
2022-07-12 23:44:33,172028,-172083
2022-07-12 23:44:34,33.6084,-139.868
2022-07-12 23:44:35,99.3408,-184.133
2022-07-12 23:44:36,49.8778,-112.939
2022-07-12 23:44:37,204.008,-248.403
2022-07-12 23:44:38,25411.9,-25418.5
2022-07-12 23:44:39,20982.8,-20945.7
2022-07-12 23:44:40,7498.41,-7465.78
2022-07-12 23:44:41,14086.5,-13888.9
2022-07-12 23:44:42,92993.9,-92841.7
2022-07-12 23:44:43,97824.3,-97663
2022-07-12 23:44:44,233031,-232821
2022-07-12 23:44:45,373741,-373139
2022-07-12 23:44:46,392818,-392485
2022-07-12 23:44:47,372103,-371998
2022-07-12 23:44:48,372931,-372874
2022-07-12 23:44:49,650937,-650976
2022-07-12 23:44:50,885692,-885762
2022-07-12 23:44:51,1.31087e+06,-1.31095e+06
2022-07-12 23:44:52,1.65623e+06,-1.6563e+06
2022-07-12 23:44:53,1.73808e+06,-1.73816e+06
2022-07-12 23:44:54,1.75303e+06,-1.75311e+06
2022-07-12 23:44:55,1.80386e+06,-1.80395e+06
2022-07-12 23:44:56,1.92905e+06,-1.92912e+06
2022-07-12 23:44:57,1.95641e+06,-1956506
2022-07-12 23:44:58,1.89687e+06,-1.89694e+06
2022-07-12 23:44:59,1.86622e+06,-1865941
2022-07-12 23:45:00,1.89402e+06,-1.89428e+06
2022-07-12 23:45:01,1.97175e+06,-1.97212e+06
2022-07-12 23:45:02,2.01545e+06,-2015414
2022-07-12 23:45:03,1.9851e+06,-1.98491e+06
2022-07-12 23:45:04,1957598,-1.95768e+06
2022-07-12 23:45:05,1.8847e+06,-1.88477e+06
2022-07-12 23:45:06,1.83746e+06,-1.83752e+06
2022-07-12 23:45:07,1.94528e+06,-1.94535e+06
2022-07-12 23:45:08,1.99224e+06,-1.9923e+06
2022-07-12 23:45:09,1.97711e+06,-1977192
2022-07-12 23:45:10,1.98172e+06,-1.98031e+06
2022-07-12 23:45:11,1.95137e+06,-1.95208e+06
2022-07-12 23:45:12,1.93031e+06,-1.93099e+06
2022-07-12 23:45:13,1.94392e+06,-1.94414e+06
2022-07-12 23:45:14,1915297,-1.91435e+06
2022-07-12 23:45:15,1.90626e+06,-1.9065e+06
2022-07-12 23:45:16,1.7727e+06,-1.77271e+06
2022-07-12 23:45:17,1.72862e+06,-1.72815e+06
2022-07-12 23:45:18,1.69896e+06,-1.69824e+06
