time,free,used
2022-07-12 23:44:01,12999.6,3009.63
2022-07-12 23:44:02,25957.5,6060.86
2022-07-12 23:44:03,64844.8,15201.2
2022-07-12 23:44:04,64896.7,15149.2
2022-07-12 23:44:05,64900,15145.9
2022-07-12 23:44:06,64905.9,15140
2022-07-12 23:44:07,64911.1,15134.9
2022-07-12 23:44:08,64910.9,15134.9
2022-07-12 23:44:09,64918.1,15127.8
2022-07-12 23:44:10,64918.9,15127
2022-07-12 23:44:11,64918.4,15127.5
2022-07-12 23:44:12,64919.4,15126.5
2022-07-12 23:44:13,64919.7,15126.2
2022-07-12 23:44:14,64919.5,15126.4
2022-07-12 23:44:15,64919.7,15126.4
2022-07-12 23:44:16,64920.9,15125.1
2022-07-12 23:44:17,64920.9,15124.9
2022-07-12 23:44:18,64922,15123.9
2022-07-12 23:44:19,64919.5,15126.5
2022-07-12 23:44:20,64917.9,15128.1
2022-07-12 23:44:21,64913.7,15132.3
2022-07-12 23:44:22,64901.5,15144.5
2022-07-12 23:44:23,64850.7,15195.3
2022-07-12 23:44:24,64781.6,15264.5
2022-07-12 23:44:25,64730.2,15315.8
2022-07-12 23:44:26,64628.1,15417.8
2022-07-12 23:44:27,64538.1,15507.8
2022-07-12 23:44:28,64506.8,15539.1
2022-07-12 23:44:29,64417.1,15628.7
2022-07-12 23:44:30,64417,15629
2022-07-12 23:44:31,64293.4,15752.5
2022-07-12 23:44:32,63739.4,16306.5
2022-07-12 23:44:33,63130.2,16915.7
2022-07-12 23:44:34,62335.8,17710
2022-07-12 23:44:35,61785.4,18260.5
2022-07-12 23:44:36,60906.7,19139.1
2022-07-12 23:44:37,60189,19856.9
2022-07-12 23:44:38,59780.1,20265.8
2022-07-12 23:44:39,59046.9,20999
2022-07-12 23:44:40,58242.4,21803.5
2022-07-12 23:44:41,57511.4,22534.5
2022-07-12 23:44:42,57120.1,22925.8
2022-07-12 23:44:43,56222.2,23823.8
2022-07-12 23:44:44,55473.9,24572
2022-07-12 23:44:45,53100.3,26945.6
2022-07-12 23:44:46,51880.2,28165.7
2022-07-12 23:44:47,50930.4,29115.5
2022-07-12 23:44:48,50056.9,29989
2022-07-12 23:44:49,49812.4,30233.5
2022-07-12 23:44:50,49237.9,30808
2022-07-12 23:44:51,48734.6,31311.4
2022-07-12 23:44:52,48694.7,31351.3
2022-07-12 23:44:53,48441.4,31604.5
2022-07-12 23:44:54,48236.3,31809.6
2022-07-12 23:44:55,48014.9,32031
2022-07-12 23:44:56,47909.1,32136.8
2022-07-12 23:44:57,47859.4,32186.5
2022-07-12 23:44:58,47638.8,32407.2
2022-07-12 23:44:59,47456.8,32589.2
2022-07-12 23:45:00,47369.5,32676.4
2022-07-12 23:45:01,47236.4,32809.5
2022-07-12 23:45:02,47134,32911.9
2022-07-12 23:45:03,47012.6,33033.4
2022-07-12 23:45:04,46880.2,33165.7
2022-07-12 23:45:05,46824.1,33221.8
2022-07-12 23:45:06,46725.7,33320.2
2022-07-12 23:45:07,46605.7,33440.2
2022-07-12 23:45:08,46505,33540.9
2022-07-12 23:45:09,46460.4,33585.5
2022-07-12 23:45:10,46401.2,33644.7
2022-07-12 23:45:11,46326.1,33719.8
2022-07-12 23:45:12,46247.9,33798
2022-07-12 23:45:13,46195.4,33850.5
2022-07-12 23:45:14,46140,33905.9
2022-07-12 23:45:15,46102.7,33943.2
2022-07-12 23:45:16,46991.9,33054.1
2022-07-12 23:45:17,47382.6,32663.3
2022-07-12 23:45:18,47234.6,32811.3
2022-07-12 23:45:19,48110.3,31935.6
2022-07-12 23:45:20,47914,32131.9
2022-07-12 23:45:21,47761.1,32284.9
2022-07-12 23:45:22,47570.6,32475.4
2022-07-12 23:45:23,47382.4,32663.5
2022-07-12 23:45:24,46944.8,33101.2
2022-07-12 23:45:25,46742.3,33303.7
2022-07-12 23:45:26,46613.2,33432.7
2022-07-12 23:45:27,46254.8,33791.1
2022-07-12 23:45:28,45962.2,34083.8
2022-07-12 23:45:29,45788.7,34257.2
2022-07-12 23:45:30,45702.4,34343.6
2022-07-12 23:45:31,45596.1,34449.8
2022-07-12 23:45:32,47575.8,32470.1
2022-07-12 23:45:33,48920.2,31125.8
2022-07-12 23:45:34,50407.3,29638.6
2022-07-12 23:45:35,54139.9,25906
2022-07-12 23:45:36,55133.2,24912.6
2022-07-12 23:45:37,55081,24964.9
2022-07-12 23:45:38,55059.3,24986.6
2022-07-12 23:45:39,54659.5,25386.4
2022-07-12 23:45:40,54201.8,25844.2
2022-07-12 23:45:41,55020.2,25025.7
2022-07-12 23:45:42,55067.9,24978
2022-07-12 23:45:43,54813.9,25232
2022-07-12 23:45:44,54139.6,25906.3
2022-07-12 23:45:45,53352.3,26693.7
2022-07-12 23:45:46,52725.6,27320.3
2022-07-12 23:45:47,52266.1,27779.9
2022-07-12 23:45:48,51268.6,28777.3
2022-07-12 23:45:49,50048.5,29997.3
2022-07-12 23:45:50,49455.4,30590.6
2022-07-12 23:45:51,48877.3,31168.7
2022-07-12 23:45:52,48443.9,31602
2022-07-12 23:45:53,48044.4,32001.5
2022-07-12 23:45:54,47615.9,32430
2022-07-12 23:45:55,47416,32629.9
2022-07-12 23:45:56,47265.3,32780.6
2022-07-12 23:45:57,47123.3,32922.7
2022-07-12 23:45:58,46912.3,33133.6
2022-07-12 23:45:59,47135.8,32910.1
2022-07-12 23:46:00,47581.2,32464.8
2022-07-12 23:46:01,47438.7,32607.2
2022-07-12 23:46:02,48276.7,31769.2
2022-07-12 23:46:03,48658.8,31387.1
2022-07-12 23:46:04,48953.2,31092.7
2022-07-12 23:46:05,48621.6,31424.2
2022-07-12 23:46:06,48870.2,31175.7
2022-07-12 23:46:07,48617.8,31428.1
2022-07-12 23:46:08,47962.4,32083.4
2022-07-12 23:46:09,47746.2,32299.7
2022-07-12 23:46:10,47345.2,32700.8
2022-07-12 23:46:11,46936.8,33109.2
2022-07-12 23:46:12,46558.1,33487.8
2022-07-12 23:46:13,46330.5,33715.5
2022-07-12 23:46:14,46068.7,33977.3
2022-07-12 23:46:15,45868.5,34177.4
2022-07-12 23:46:16,45812.3,34233.6
2022-07-12 23:46:17,45678.1,34367.9
2022-07-12 23:46:18,45582.7,34463.2
2022-07-12 23:46:19,45550.4,34495.5
2022-07-12 23:46:20,45943.3,34102.6
2022-07-12 23:46:21,45870.6,34175.3
2022-07-12 23:46:22,45791.6,34254.3
2022-07-12 23:46:23,45661.3,34384.6
2022-07-12 23:46:24,45572.5,34473.4
2022-07-12 23:46:25,45515.3,34530.6
2022-07-12 23:46:26,45457.2,34588.7
2022-07-12 23:46:27,45329.8,34716.1
2022-07-12 23:46:28,45233,34813
2022-07-12 23:46:29,45641.4,34404.6
2022-07-12 23:46:30,45316.6,34729.4
