time,free,used
2022-07-13 10:24:03,12900.6,3108.53
2022-07-13 10:24:02,12901,3108.13
2022-07-13 10:24:01,12900.8,3108.35
2022-07-13 10:24:00,12900.9,3108.26
2022-07-13 10:23:59,12900.7,3108.5
2022-07-13 10:23:58,12900.7,3108.5
2022-07-13 10:23:57,12077.2,3931.98
2022-07-13 10:23:56,11206.3,4802.91
2022-07-13 10:23:55,11195,4814.14
2022-07-13 10:23:54,10826.1,5183.04
2022-07-13 10:23:53,10925.1,5084.12
2022-07-13 10:23:52,10499.5,5509.69
2022-07-13 10:23:51,10522.6,5486.61
2022-07-13 10:23:50,10594.4,5414.82
2022-07-13 10:23:49,10667.7,5341.52
2022-07-13 10:23:48,10755.5,5253.65
2022-07-13 10:23:47,10852,5157.18
2022-07-13 10:23:46,10876.1,5133.12
2022-07-13 10:23:45,11069.3,4939.91
2022-07-13 10:23:44,10708.9,5300.31
2022-07-13 10:23:43,10750,5259.22
2022-07-13 10:23:42,10834.1,5175.12
2022-07-13 10:23:41,10902.7,5106.52
2022-07-13 10:23:40,10983.1,5026.09
2022-07-13 10:23:39,10581.1,5428.09
2022-07-13 10:23:38,10581.2,5428
2022-07-13 10:23:37,10633.7,5375.48
2022-07-13 10:23:36,10733.5,5275.72
2022-07-13 10:23:35,10724.8,5284.43
2022-07-13 10:23:34,10840.7,5168.47
2022-07-13 10:23:33,10875.4,5133.78
2022-07-13 10:23:32,10919.2,5089.98
2022-07-13 10:23:31,10975.4,5033.76
2022-07-13 10:23:30,11038.6,4970.58
2022-07-13 10:23:29,10645.4,5363.75
2022-07-13 10:23:28,10739.5,5269.65
2022-07-13 10:23:27,10755.4,5253.77
2022-07-13 10:23:26,10829.5,5179.72
2022-07-13 10:23:25,10879.8,5129.4
2022-07-13 10:23:24,10492.3,5516.88
2022-07-13 10:23:23,10525.4,5483.82
2022-07-13 10:23:22,10548.5,5460.72
2022-07-13 10:23:21,10583.9,5425.25
2022-07-13 10:23:20,10706.6,5302.57
2022-07-13 10:23:19,10814.7,5194.46
2022-07-13 10:23:18,10885.7,5123.45
2022-07-13 10:23:17,10986.5,5022.73
2022-07-13 10:23:16,11089.3,4919.91
2022-07-13 10:23:15,11185.4,4823.79
2022-07-13 10:23:14,11263.6,4745.63
2022-07-13 10:23:13,11347.7,4661.45
2022-07-13 10:23:12,10456.1,5553.08
2022-07-13 10:23:11,10494.6,5514.56
2022-07-13 10:23:10,10539.8,5469.41
2022-07-13 10:23:09,10597.3,5411.87
2022-07-13 10:23:08,10684.4,5324.78
2022-07-13 10:23:07,10745.7,5263.44
2022-07-13 10:23:06,10857.1,5152.12
2022-07-13 10:23:05,10938,5071.17
2022-07-13 10:23:04,10989.7,5019.47
2022-07-13 10:23:03,11022.2,4987
2022-07-13 10:23:02,10166,5843.15
2022-07-13 10:23:01,10209.4,5799.79
2022-07-13 10:23:00,10229.9,5779.33
2022-07-13 10:22:59,10294.2,5714.99
2022-07-13 10:22:58,10396.2,5613.01
2022-07-13 10:22:57,10528.2,5480.94
2022-07-13 10:22:56,10640.2,5368.98
2022-07-13 10:22:55,10239.4,5769.82
2022-07-13 10:22:54,10387.6,5621.63
2022-07-13 10:22:53,10418.8,5590.41
2022-07-13 10:22:52,10118.2,5891
2022-07-13 10:22:51,10059.2,5950.01
2022-07-13 10:22:50,10122.1,5887.04
2022-07-13 10:22:49,10212.7,5796.5
2022-07-13 10:22:48,10262.2,5747.01
2022-07-13 10:22:47,10331.3,5677.89
2022-07-13 10:22:46,9930.12,6079.06
2022-07-13 10:22:45,9972.35,6036.83
2022-07-13 10:22:44,9989.45,6019.73
2022-07-13 10:22:43,10026.4,5982.8
2022-07-13 10:22:42,10088.8,5920.35
2022-07-13 10:22:41,10110.7,5898.46
2022-07-13 10:22:40,10157.4,5851.82
2022-07-13 10:22:39,10188.7,5820.48
2022-07-13 10:22:38,10212.4,5796.73
2022-07-13 10:22:37,10311.5,5697.66
2022-07-13 10:22:36,10327.7,5681.45
2022-07-13 10:22:35,10448.8,5560.35
2022-07-13 10:22:34,10522.8,5486.34
2022-07-13 10:22:33,10615.1,5394.03
2022-07-13 10:22:32,10654.5,5354.69
2022-07-13 10:22:31,10534.6,5474.54
2022-07-13 10:22:30,10332.4,5676.8
2022-07-13 10:22:29,10388.7,5620.53
2022-07-13 10:22:28,10410.4,5598.82
2022-07-13 10:22:27,10501.3,5507.93
2022-07-13 10:22:26,10607.3,5401.93
2022-07-13 10:22:25,10675.8,5333.38
2022-07-13 10:22:24,10805.5,5203.64
2022-07-13 10:22:23,10855.7,5153.48
2022-07-13 10:22:22,9983.01,6026.17
2022-07-13 10:22:21,10012.8,5996.36
2022-07-13 10:22:20,10050.9,5958.28
2022-07-13 10:22:19,10154.2,5854.99
2022-07-13 10:22:18,9813.4,6195.78
2022-07-13 10:22:17,9818.11,6191.07
2022-07-13 10:22:16,9835.9,6173.28
2022-07-13 10:22:15,9870.64,6138.54
2022-07-13 10:22:14,10004.1,6005.11
2022-07-13 10:22:13,10128.4,5880.77
2022-07-13 10:22:12,10166.9,5842.25
2022-07-13 10:22:11,10244.7,5764.5
2022-07-13 10:22:10,10264.6,5744.63
2022-07-13 10:22:09,10314,5695.21
2022-07-13 10:22:08,10381.7,5627.45
2022-07-13 10:22:07,10494.8,5514.4
2022-07-13 10:22:06,10611.2,5397.96
