time,in,out
2022-07-13 20:38:25,6704.16,-3.47604
2022-07-13 20:38:26,1259.09,-99.5381
2022-07-13 20:38:27,43392.5,-774.233
2022-07-13 20:38:28,44011.5,-1098.66
2022-07-13 20:38:29,46171.2,-372.41
2022-07-13 20:38:30,31001.2,-32.0403
2022-07-13 20:38:31,2126.34,-566.659
2022-07-13 20:38:32,6435.84,-1098.74
2022-07-13 20:38:33,7066.36,-1047.61
2022-07-13 20:38:34,1813.4,-532.891
2022-07-13 20:38:35,2628.67,-46.8239
2022-07-13 20:38:36,2170.13,-33.1761
2022-07-13 20:38:37,1827.01,-302.857
2022-07-13 20:38:38,1601.25,-303.241
2022-07-13 20:38:39,1505.52,-27.1063
2022-07-13 20:38:40,1731.73,-83.7597
2022-07-13 20:38:41,1102.27,-75.8901
2022-07-13 20:38:42,1721.53,-82.4666
2022-07-13 20:38:43,2499.56,-88.6629
2022-07-13 20:38:44,5808.07,-39.3262
2022-07-13 20:38:45,8173.38,-8.69038
2022-07-13 20:38:46,15898.9,-61803.3
2022-07-13 20:38:47,25795.7,-44494.6
2022-07-13 20:38:48,20261.4,-418.569
2022-07-13 20:38:49,10334.4,-400.105
2022-07-13 20:38:50,11225.9,-353.808
2022-07-13 20:38:51,9879.8,-145.701
2022-07-13 20:38:52,5914.44,-84.9476
2022-07-13 20:38:53,3897.91,-531.669
2022-07-13 20:38:54,2885.58,-303.279
2022-07-13 20:38:55,30003.9,-316.606
2022-07-13 20:38:56,52406.3,-401.382
2022-07-13 20:38:57,74810.6,-1620.98
2022-07-13 20:38:58,46987.7,-1223.32
2022-07-13 20:38:59,19062.5,-982.292
2022-07-13 20:39:00,22141,-1488.58
2022-07-13 20:39:01,23665.9,-1215.58
2022-07-13 20:39:02,16311.9,-894.744
2022-07-13 20:39:03,15029.9,-1087.64
2022-07-13 20:39:04,21034.1,-516.674
2022-07-13 20:39:05,20612.4,-52.6938
2022-07-13 20:39:06,11517.1,-264.289
2022-07-13 20:39:07,13004.2,-151.22
2022-07-13 20:39:08,34450.1,-142.614
2022-07-13 20:39:09,67496.4,-119.358
2022-07-13 20:39:10,71603,-45.0857
2022-07-13 20:39:11,58833.2,-87.1827
2022-07-13 20:39:12,66937.7,-69.1307
2022-07-13 20:39:13,86707.5,-66.0778
2022-07-13 20:39:14,124980,-301.18
2022-07-13 20:39:15,160825,-3825.96
2022-07-13 20:39:16,194584,-3535.19
2022-07-13 20:39:17,214375,-556.221
2022-07-13 20:39:18,213246,-36879.1
