time,in,out
2022-04-26 19:23:50,0.8013648,-2.796763
2022-04-26 19:23:49,15.199277,-22.61516
2022-04-26 19:23:48,3.552692,-6.584734
2022-04-26 19:23:47,1.2041318,-2.792828
2022-04-26 19:23:46,11.54575,-14.915691
2022-04-26 19:23:45,461036.3,-78292.7
2022-04-26 19:23:44,80293.52,-13803.735
2022-04-26 19:23:43,71.71074,-144.55143
2022-04-26 19:23:42,13.022151,-29.2103
2022-04-26 19:23:41,31.31426,-28.98248
2022-04-26 19:23:40,14.357031,-38.79454
2022-04-26 19:23:39,74.2362,-84.95653
2022-04-26 19:23:38,85.67139,-87.12143
2022-04-26 19:23:37,84.62427,-97.63482
2022-04-26 19:23:36,29755.65,-109.76998
2022-04-26 19:23:35,283261,-359.0402
2022-04-26 19:23:34,361067.8,-421.4437
2022-04-26 19:23:33,58169.62,-93.23143
2022-04-26 19:23:32,285387.9,-325.5576
2022-04-26 19:23:31,53677.85,-89.70581
2022-04-26 19:23:30,7.523948,-24.44243
2022-04-26 19:23:29,8.271189,-29.51586
2022-04-26 19:23:28,305124.6,-344.5161
2022-04-26 19:23:27,57472.78,-89.89803
2022-04-26 19:23:26,16.514488,-2143.266
2022-04-26 19:23:25,10.618791,-431.3231
2022-04-26 19:23:24,7.534227,-24.47672
2022-04-26 19:23:23,8.255445,-29.43897
2022-04-26 19:23:22,327.718,-89.39198
2022-04-26 19:23:21,38452.94,-134.41211
2022-04-26 19:23:20,431076.1,-925948.9
2022-04-26 19:23:19,80381.17,-638801.8
2022-04-26 19:23:18,92.99026,-87195.61
2022-04-26 19:23:17,8.457894,-28.34023
2022-04-26 19:23:16,9.115808,-30.87901
2022-04-26 19:23:15,38272.07,-123.21807
2022-04-26 19:23:14,121886.09,-312.2147
2022-04-26 19:23:13,21001.95,-129.18691
2022-04-26 19:23:12,102166.11,-101798.47
2022-04-26 19:23:11,233876,-234396.1
2022-04-26 19:23:10,84073.95,-84192.67
2022-04-26 19:23:09,8009.775,-8011.59
2022-04-26 19:23:08,84.89294,-68.15046
2022-04-26 19:23:07,44.21258,-28.9105
2022-04-26 19:23:06,1162.6737,-1596.5003
2022-04-26 19:23:05,95007.65,-95775.42
2022-04-26 19:23:04,232057.9,-232956.5
2022-04-26 19:23:03,189324.1,-189472.2
2022-04-26 19:23:02,131188.17,-130036.19
2022-04-26 19:23:01,180760.4,-180558
2022-04-26 19:23:00,193800.9,-193815.5
2022-04-26 19:22:59,250103.2,-265887.9
2022-04-26 19:22:58,408391.2,-472489.7
2022-04-26 19:22:57,315730.8,-398432
2022-04-26 19:22:56,205382.9,-269634
2022-04-26 19:22:55,211842.2,-221439.6
2022-04-26 19:22:54,213585.2,-214283.3
2022-04-26 19:22:53,225977.7,-226107.3
2022-04-26 19:22:52,382554.7,-382561.6
2022-04-26 19:22:51,427929.3,-427933.9
2022-04-26 19:22:50,200379.7,-200383.7
2022-04-26 19:22:49,46969.12,-46957.53
2022-04-26 19:22:48,4423.428,-4376.746
2022-04-26 19:22:47,59.63407,-57.9718
2022-04-26 19:22:46,8.743183,-16.200543
2022-04-26 19:22:45,141736.32,-141740.35
2022-04-26 19:22:44,163530.57,-160944.64
2022-04-26 19:22:43,26285.53,-25792.58
2022-04-26 19:22:42,0.9238687,-3.453181
2022-04-26 19:22:41,0.7999773,-2.791921
2022-04-26 19:22:40,1.4428473,-6.221158
2022-04-26 19:22:39,51.8429,-56.00758
2022-04-26 19:22:38,10.610485,-12.916088
2022-04-26 19:22:37,275302.7,-275240.7
2022-04-26 19:22:36,53247.22,-53238.17
2022-04-26 19:22:35,53.3126,-20.56217
2022-04-26 19:22:34,9.531502,-7.569826
2022-04-26 19:22:33,0.9239688,-3.453463
2022-04-26 19:22:32,0.8003208,-2.79312
2022-04-26 19:22:31,1.443916,-6.22632
2022-04-26 19:22:30,0.9240255,-3.453475
2022-04-26 19:22:29,0.7993933,-2.789883
2022-04-26 19:22:28,1.4444844,-6.228217
2022-04-26 19:22:27,0.9237531,-3.452612
2022-04-26 19:22:26,0.8004873,-2.793701
2022-04-26 19:22:25,1.4464548,-6.237527
2022-04-26 19:22:24,0.921681,-3.442947
2022-04-26 19:22:23,39.43478,-36.99955
2022-04-26 19:22:22,9.829966,-12.827644
