time,in,out
2022-04-26 18:57:54,261.8773,-7.713144
2022-04-26 18:57:53,49.53341,0
2022-04-26 18:57:52,2811.23,-1471.593
2022-04-26 18:57:51,497.3593,-225796
2022-04-26 18:57:50,38683.49,-39299.67
2022-04-26 18:57:49,99064.17,-66.08757
2022-04-26 18:57:48,104697.84,-10.670534
2022-04-26 18:57:47,110168.11,0
2022-04-26 18:57:46,96960.24,-436.7427
2022-04-26 18:57:45,69398.99,-75.25726
2022-04-26 18:57:44,41849,-27.28196
2022-04-26 18:57:43,47040.53,-4.718042
2022-04-26 18:57:42,49186.6,0
2022-04-26 18:57:41,48523.19,-296.2086
2022-04-26 18:57:40,46016.51,-51.79145
2022-04-26 18:57:39,46555.05,0
2022-04-26 18:57:38,48799.37,-95.56434
2022-04-26 18:57:37,48165.93,-30.08667
2022-04-26 18:57:36,49090.89,-387.979
2022-04-26 18:57:35,47539.89,-66.36998
2022-04-26 18:57:34,37948.51,0
2022-04-26 18:57:33,25214.01,0
2022-04-26 18:57:32,4317.828,0
2022-04-26 18:57:31,472.773,0
2022-04-26 18:57:30,55.07442,-37.45936
2022-04-26 18:57:29,0,-64.36753
2022-04-26 18:57:28,0,-10.173117
2022-04-26 18:57:27,0,0
2022-04-26 18:57:26,0,0
2022-04-26 18:57:25,0,0
2022-04-26 18:57:24,2236.91,-279.1881
2022-04-26 18:57:23,3217.15,-775.8056
2022-04-26 18:57:22,14749.482,-125.00629
2022-04-26 18:57:21,3005.633,0
2022-04-26 18:57:20,481.9085,-118194.46
2022-04-26 18:57:19,75.71744,-153548.07
2022-04-26 18:57:18,11.426286,-23623.91
2022-04-26 18:57:17,1.773503,-29.55838
2022-04-26 18:57:16,0,0
2022-04-26 18:57:15,0,0
2022-04-26 18:57:14,0,0
2022-04-26 18:57:13,0,-13.644374
2022-04-26 18:57:12,0,-2.355626
2022-04-26 18:57:11,0,0
2022-04-26 18:57:10,0,0
2022-04-26 18:57:09,0,-187.0687
2022-04-26 18:57:08,0,-80.66448
2022-04-26 18:57:07,0,-8.266808
2022-04-26 18:57:06,0,0
2022-04-26 18:57:05,0,0
2022-04-26 18:57:04,0,0
2022-04-26 18:57:03,0,0
2022-04-26 18:57:02,6.810598,-6.810598
2022-04-26 18:57:01,7.991324,-1.1894025
2022-04-26 18:57:00,1.1980789,-88.62347
2022-04-26 18:56:59,0,-83.37412
