time,in,out
2022-04-26 19:00:09,49.2807,-58.7202
2022-04-26 19:00:10,48.3847,-60.0069
2022-04-26 19:00:11,5.69895,-21.6615
2022-04-26 19:00:12,4.96711,-18.6354
2022-04-26 19:00:13,5.98578,-22.0499
2022-04-26 19:00:14,5.44287,-21.6602
2022-04-26 19:00:15,4.87607,-18.6307
2022-04-26 19:00:16,5.51912,-22.0623
2022-04-26 19:00:17,6.0171,-21.9649
2022-04-26 19:00:18,5.13541,-18.7467
2022-04-26 19:00:19,5.91977,-22.4782
2022-04-26 19:00:20,7.54319,-23.8288
2022-04-26 19:00:21,6.575,-20.4119
2022-04-26 19:00:22,160830,-281.893
2022-04-26 19:00:23,1.68449e+06,-2771.63
2022-04-26 19:00:24,892023,-319488
2022-04-26 19:00:25,1.14342e+06,-859482
2022-04-26 19:00:26,829077,-1.25961e+06
2022-04-26 19:00:27,165155,-126.019
2022-04-26 19:00:28,468.175,-50.2563
2022-04-26 19:00:29,917653,-833973
2022-04-26 19:00:30,4.17182e+06,-3.64982e+06
2022-04-26 19:00:31,4.10928e+06,-4.89082e+06
2022-04-26 19:00:32,555843,-376956
2022-04-26 19:00:33,296.026,-174.865
2022-04-26 19:00:34,324.67,-150.487
2022-04-26 19:00:35,48.5202,-36.5512
2022-04-26 19:00:36,11.4739,-31.8624
2022-04-26 19:00:37,8.87627,-31.7102
2022-04-26 19:00:38,6.87547,-29.9303
2022-04-26 19:00:39,111.117,-27.5959
2022-04-26 19:00:40,877.189,-204.821
2022-04-26 19:00:41,1869.97,-475.167
2022-04-26 19:00:42,35132.1,-33949.1
2022-04-26 19:00:43,893028,-893001
2022-04-26 19:00:44,1.95831e+06,-1.95833e+06
2022-04-26 19:00:45,2184335,-2.1764e+06
2022-04-26 19:00:46,2.05171e+06,-2.06166e+06
2022-04-26 19:00:47,2.10098e+06,-2.10227e+06
2022-04-26 19:00:48,2.10385e+06,-2.0949e+06
2022-04-26 19:00:49,2.00242e+06,-2.00613e+06
2022-04-26 19:00:50,1.97473e+06,-1.97883e+06
2022-04-26 19:00:51,1.97998e+06,-1.99336e+06
2022-04-26 19:00:52,2.00578e+06,-1987917
2022-04-26 19:00:53,1.92496e+06,-1.92807e+06
2022-04-26 19:00:54,2.01512e+06,-2009444
2022-04-26 19:00:55,2.02426e+06,-2.03598e+06
2022-04-26 19:00:56,2.18676e+06,-2.16559e+06
2022-04-26 19:00:57,2.31954e+06,-2.32671e+06
2022-04-26 19:00:58,2.0489e+06,-2.05547e+06
2022-04-26 19:00:59,1.77902e+06,-1.75803e+06
2022-04-26 19:01:00,1.52808e+06,-1.54889e+06
2022-04-26 19:01:01,442579,-442658
2022-04-26 19:01:02,70910,-46303.1
2022-04-26 19:01:03,595.977,-682.421
2022-04-26 19:01:04,295.091,-222.155
2022-04-26 19:01:05,19.4743,-42.0046
