time,free,used,cached,buffers
2022-04-26 19:04:24,14121.258,650.4141,1233.9883,3.527344
2022-04-26 19:04:23,14121.012,650.6602,1233.9883,3.527344
2022-04-26 19:04:22,14121.012,650.6602,1233.9883,3.527344
2022-04-26 19:04:21,14120.766,650.9062,1233.9883,3.527344
2022-04-26 19:04:20,14121.012,650.6602,1233.9883,3.527344
2022-04-26 19:04:19,14120.695,650.9766,1233.9883,3.527344
2022-04-26 19:04:18,14120.766,650.9062,1233.9883,3.527344
2022-04-26 19:04:17,14120.52,651.1523,1233.9883,3.527344
2022-04-26 19:04:16,14120.52,651.1602,1233.9883,3.519531
2022-04-26 19:04:15,14120.52,651.168,1233.9883,3.511719
2022-04-26 19:04:14,14116.242,655.4453,1233.9883,3.511719
2022-04-26 19:04:13,14116.242,655.4492,1233.9844,3.511719
2022-04-26 19:04:12,14116.488,655.2031,1233.9844,3.511719
2022-04-26 19:04:11,14116.426,655.1836,1234.0664,3.511719
2022-04-26 19:04:10,13924.945,781.9062,1298.832,3.503906
2022-04-26 19:04:09,13924.453,782.3984,1298.832,3.503906
2022-04-26 19:04:08,13924.453,782.3984,1298.832,3.503906
2022-04-26 19:04:07,13924.453,782.3984,1298.832,3.503906
2022-04-26 19:04:06,13924.199,782.6523,1298.832,3.503906
2022-04-26 19:04:05,13924.137,782.7148,1298.832,3.503906
2022-04-26 19:04:04,13924.453,782.4062,1298.832,3.496094
2022-04-26 19:04:03,13924.453,782.4297,1298.8164,3.488281
2022-04-26 19:04:02,13924.699,782.1836,1298.8164,3.488281
2022-04-26 19:04:01,14000.504,654.7969,1350.3984,3.488281
2022-04-26 19:04:00,14117.984,652.9258,1234.7891,3.488281
2022-04-26 19:03:59,13925.117,781.7656,1298.8203,3.484375
2022-04-26 19:03:58,13924.863,782.0195,1298.8203,3.484375
2022-04-26 19:03:57,13924.863,782.0117,1298.8281,3.484375
2022-04-26 19:03:56,13924.836,782.0391,1298.8281,3.484375
2022-04-26 19:03:55,13925.109,781.7734,1298.8281,3.476562
2022-04-26 19:03:54,13925.109,781.7734,1298.8281,3.476562
2022-04-26 19:03:53,13925.355,781.5547,1298.8008,3.476562
2022-04-26 19:03:52,13925.355,781.5547,1298.8008,3.476562
2022-04-26 19:03:51,13916.527,653.4219,1435.7617,3.476562
2022-04-26 19:03:50,14084.801,654.7266,1266.1836,3.476562
2022-04-26 19:03:49,13925.395,781.6641,1298.6523,3.476562
2022-04-26 19:03:48,13925.148,781.918,1298.6523,3.46875
2022-04-26 19:03:47,13925.141,781.9258,1298.6523,3.46875
2022-04-26 19:03:46,13924.785,782.2812,1298.6523,3.46875
2022-04-26 19:03:45,13925.633,781.4414,1298.6523,3.460938
2022-04-26 19:03:44,13925.633,781.4414,1298.6523,3.460938
