time,in,out
2022-04-26 19:08:31,0,0
2022-04-26 19:08:30,0,0
2022-04-26 19:08:29,0,0
2022-04-26 19:08:28,0,-11.599614
2022-04-26 19:08:27,0,-33.62995
2022-04-26 19:08:26,0,-22.77043
2022-04-26 19:08:25,0,0
2022-04-26 19:08:24,0,0
2022-04-26 19:08:23,0,0
2022-04-26 19:08:22,0,0
2022-04-26 19:08:21,0,0
2022-04-26 19:08:20,0,0
2022-04-26 19:08:19,0,0
2022-04-26 19:08:18,0,0
2022-04-26 19:08:17,0,0
2022-04-26 19:08:16,0,-21.3318
2022-04-26 19:08:15,0,-22.6682
2022-04-26 19:08:14,0,0
2022-04-26 19:08:13,0,-7291.183
2022-04-26 19:08:12,0,-31424.22
2022-04-26 19:08:11,0,-25220.59
2022-04-26 19:08:10,0,0
2022-04-26 19:08:09,0,0
2022-04-26 19:08:08,0,0
2022-04-26 19:08:07,0,-17.38923
2022-04-26 19:08:06,0,-39.89983
2022-04-26 19:08:05,0,-24.65086
2022-04-26 19:08:04,0,-2.060069
2022-04-26 19:08:03,0,0
2022-04-26 19:08:02,0,-31018.38
2022-04-26 19:08:01,0,-32917.62
2022-04-26 19:08:00,0,0
2022-04-26 19:07:59,0,0
2022-04-26 19:07:58,0,0
2022-04-26 19:07:57,0,0
2022-04-26 19:07:56,0,-21.38178
2022-04-26 19:07:55,0,-22.61822
2022-04-26 19:07:54,0,0
2022-04-26 19:07:53,0,0
2022-04-26 19:07:52,0,-31031.34
2022-04-26 19:07:51,0,-32904.66
2022-04-26 19:07:50,0,0
2022-04-26 19:07:49,0,0
2022-04-26 19:07:48,0,0
2022-04-26 19:07:47,0,0
2022-04-26 19:07:46,0,0
2022-04-26 19:07:45,0,0
2022-04-26 19:07:44,0,-21.29484
2022-04-26 19:07:43,0,-22.70516
2022-04-26 19:07:42,0,0
2022-04-26 19:07:41,0,0
2022-04-26 19:07:40,0,-30914.64
2022-04-26 19:07:39,0,-33021.36
2022-04-26 19:07:38,0,0
2022-04-26 19:07:37,0,0
2022-04-26 19:07:36,0,0
2022-04-26 19:07:35,0,-5.810915
2022-04-26 19:07:34,0,-6.189085
2022-04-26 19:07:33,0,-21.34931
2022-04-26 19:07:32,0,-22.65069
2022-04-26 19:07:31,0,0
2022-04-26 19:07:30,0,0
2022-04-26 19:07:29,0,-31088.12
2022-04-26 19:07:28,0,-33043.88
2022-04-26 19:07:27,0,0
2022-04-26 19:07:26,0,0
2022-04-26 19:07:25,0,-9.680662
2022-04-26 19:07:24,0,-10.319338
2022-04-26 19:07:23,0,-21.28977
2022-04-26 19:07:22,0,-22.71023
