time,free,used,cached,buffers
2022-07-05 15:43:15,6488.961,1533.5078,7951.934,34.77734
2022-07-05 15:43:14,6489.41,1532.9688,7952.031,34.76953
2022-07-05 15:43:13,784.3672,3080.523,12109.711,34.57812
2022-07-05 15:43:12,510.3477,3080.414,12383.848,34.57031
2022-07-05 15:43:11,237.3164,3080.809,12656.484,34.57031
2022-07-05 15:43:10,161.66797,3143.832,12669.125,34.55469
2022-07-05 15:43:09,167.39062,3144.199,12663.031,34.55859
2022-07-05 15:43:08,201.2539,3148.73,12624.633,34.5625
2022-07-05 15:43:07,186.3672,3146.555,12641.684,34.57422
2022-07-05 15:43:06,249.9141,3134.094,12590.59,34.58203
2022-07-05 15:43:05,300.5859,3109.473,12564.551,34.57031
2022-07-05 15:43:04,409.332,3109.648,12455.629,34.57031
2022-07-05 15:43:03,440.1289,3104.938,12429.543,34.57031
2022-07-05 15:43:02,236.2031,3103.293,12635.113,34.57031
2022-07-05 15:43:01,226.2695,3102.074,12646.266,34.57031
2022-07-05 15:43:00,182.8086,3127.457,12664.352,34.5625
2022-07-05 15:42:59,196.4297,3114.965,12663.219,34.56641
2022-07-05 15:42:58,187.6328,3114.336,12672.641,34.57031
2022-07-05 15:42:57,187.5469,3101.773,12685.285,34.57422
2022-07-05 15:42:56,251.1602,3084.168,12639.27,34.58203
2022-07-05 15:42:55,420.8945,3078.086,12475.625,34.57422
2022-07-05 15:42:54,285.7578,3060.168,12628.688,34.56641
2022-07-05 15:42:53,225.2773,3060.734,12688.602,34.56641
2022-07-05 15:42:52,248.5547,3090.789,12635.27,34.56641
2022-07-05 15:42:51,185.3633,3135.121,12654.129,34.56641
2022-07-05 15:42:50,194.0273,3138.574,12642.012,34.56641
2022-07-05 15:42:49,183.5,3136.641,12654.473,34.56641
2022-07-05 15:42:48,177.3242,3146.742,12650.539,34.57422
2022-07-05 15:42:47,210.8164,3145.695,12618.086,34.58203
2022-07-05 15:42:46,322.3711,3100.902,12551.332,34.57422
2022-07-05 15:42:45,257.1562,3079.703,12637.746,34.57422
2022-07-05 15:42:44,198.1055,3080.117,12696.391,34.56641
2022-07-05 15:42:43,212.3633,3080.703,12681.547,34.56641
2022-07-05 15:42:42,186.5195,3090.75,12697.344,34.56641
2022-07-05 15:42:41,166.08203,3131.23,12677.301,34.56641
2022-07-05 15:42:40,196.4453,3129.93,12648.23,34.57422
2022-07-05 15:42:39,187.9023,3113.348,12673.352,34.57812
2022-07-05 15:42:38,235.2383,3087.77,12651.59,34.58203
2022-07-05 15:42:37,544.1797,3057.281,12373.137,34.58203
2022-07-05 15:42:36,353.8906,3028.531,12592.184,34.57422
2022-07-05 15:42:35,235.9531,3088.641,12650.012,34.57422
2022-07-05 15:42:34,241.2969,3096.551,12636.766,34.56641
2022-07-05 15:42:33,167.9961,3074.273,12732.34,34.57031
2022-07-05 15:42:32,180.3516,3111.391,12682.863,34.57422
2022-07-05 15:42:31,168.8125,3109.891,12695.895,34.58203
2022-07-05 15:42:30,182.8516,3106.559,12685.191,34.57812
2022-07-05 15:42:29,173.1875,3100.391,12701.02,34.58203
2022-07-05 15:42:28,366.1289,3078.449,12530.016,34.58594
2022-07-05 15:42:27,226.8398,2985.234,12762.52,34.58594
2022-07-05 15:42:26,209.3555,2981.637,12783.602,34.58594
2022-07-05 15:42:25,210.1641,2981.625,12782.812,34.57812
2022-07-05 15:42:24,179.4766,3027.113,12768.023,34.56641
2022-07-05 15:42:23,175.1211,3089.539,12709.953,34.56641
2022-07-05 15:42:22,174.9609,3089.07,12710.582,34.56641
2022-07-05 15:42:21,179.2188,3085.387,12710,34.57422
2022-07-05 15:42:20,297.2422,3041.688,12635.68,34.57031
2022-07-05 15:42:19,603.7812,2988.523,12382.324,34.55078
2022-07-05 15:42:18,390.1094,2973.492,12611.027,34.55078
2022-07-05 15:42:17,304.8477,2975,12694.781,34.55078
2022-07-05 15:42:16,315.3047,2975.473,12683.852,34.55078
2022-07-05 15:42:15,255.3359,2991.457,12727.844,34.54297
2022-07-05 15:42:14,168.8828,3083.875,12721.887,34.53516
2022-07-05 15:42:13,188.9062,3083.195,12702.535,34.54297
2022-07-05 15:42:12,165.20312,3071.191,12738.23,34.55469
2022-07-05 15:42:11,172.4453,3068.918,12733.258,34.55859
2022-07-05 15:42:10,456.6367,3024.867,12493.117,34.55859
2022-07-05 15:42:09,346.1406,2969.711,12658.785,34.54297
