time,free,used
2022-07-05 16:41:03,14417.4,1591.8
2022-07-05 16:41:04,28824.6,3193.75
2022-07-05 16:41:05,72389.1,7656.73
2022-07-05 16:41:06,72387,7658.93
2022-07-05 16:41:07,72402.1,7643.82
2022-07-05 16:41:08,72407.7,7638.29
2022-07-05 16:41:09,72409.8,7636.03
2022-07-05 16:41:10,72410.6,7635.22
2022-07-05 16:41:11,72417.9,7628.06
2022-07-05 16:41:12,72416.8,7629.11
2022-07-05 16:41:13,72418.9,7627.05
2022-07-05 16:41:14,72417.1,7628.76
2022-07-05 16:41:15,72419.9,7626.15
2022-07-05 16:41:16,72419.9,7625.95
2022-07-05 16:41:17,72420.2,7625.63
2022-07-05 16:41:18,72417.2,7628.71
2022-07-05 16:41:19,72418.4,7627.43
2022-07-05 16:41:20,72418.3,7627.6
2022-07-05 16:41:21,72419.9,7626.07
2022-07-05 16:41:22,72414.3,7631.64
2022-07-05 16:41:23,72417.5,7628.43
2022-07-05 16:41:24,72415.1,7630.81
2022-07-05 16:41:25,72306.3,7739.67
2022-07-05 16:41:26,72255.4,7790.48
2022-07-05 16:41:27,72172.5,7873.47
2022-07-05 16:41:28,72159.9,7886.03
2022-07-05 16:41:29,72018.6,8027.16
2022-07-05 16:41:30,71935.8,8110.21
2022-07-05 16:41:31,71429.5,8616.43
2022-07-05 16:41:32,71199.6,8846.23
2022-07-05 16:41:33,71024.3,9021.57
2022-07-05 16:41:34,71023.1,9022.92
2022-07-05 16:41:35,71063,8982.85
2022-07-05 16:41:36,71069.4,8976.49
2022-07-05 16:41:37,71071.5,8974.42
2022-07-05 16:41:38,71070.8,8975.1
2022-07-05 16:41:39,71063.3,8982.54
2022-07-05 16:41:40,70668.8,9377.09
2022-07-05 16:41:41,70217.7,9828.29
2022-07-05 16:41:42,69807.6,10238.3
2022-07-05 16:41:43,69373.1,10672.7
2022-07-05 16:41:44,69295.9,10750.1
2022-07-05 16:41:45,69228.6,10817.2
2022-07-05 16:41:46,69227.7,10818.2
2022-07-05 16:41:47,69206.1,10839.8
2022-07-05 16:41:48,69163.2,10882.7
2022-07-05 16:41:49,69124.3,10921.7
2022-07-05 16:41:50,69098.4,10947.5
2022-07-05 16:41:51,69076.4,10969.6
2022-07-05 16:41:52,69060.1,10985.7
2022-07-05 16:41:53,69048.2,10997.8
2022-07-05 16:41:54,69035.6,11010.4
2022-07-05 16:41:55,68988.4,11057.5
2022-07-05 16:41:56,68946.9,11099
2022-07-05 16:41:57,68752,11294
2022-07-05 16:41:58,68728.7,11317.2
2022-07-05 16:41:59,68728.9,11317
2022-07-05 16:42:00,68729.5,11316.4
2022-07-05 16:42:01,68729.5,11316.4
2022-07-05 16:42:02,68728.6,11317.3
2022-07-05 16:42:03,68727.7,11318.2
2022-07-05 16:42:04,68726.2,11319.8
2022-07-05 16:42:05,68690.1,11355.9
2022-07-05 16:42:06,68656.7,11389.2
2022-07-05 16:42:07,68656.4,11389.5
2022-07-05 16:42:08,68677.4,11368.4
2022-07-05 16:42:09,68668,11377.9
2022-07-05 16:42:10,68641.3,11404.5
2022-07-05 16:42:11,68653.6,11392.3
2022-07-05 16:42:12,68653.4,11392.5
2022-07-05 16:42:13,68649,11396.8
2022-07-05 16:42:14,68642.5,11403.3
2022-07-05 16:42:15,68633.5,11412.4
2022-07-05 16:42:16,68594.6,11451.3
2022-07-05 16:42:17,68515.1,11530.8
2022-07-05 16:42:18,68492.5,11553.5
2022-07-05 16:42:19,68360.1,11685.9
2022-07-05 16:42:20,68234.4,11811.6
2022-07-05 16:42:21,68213.6,11832.3
2022-07-05 16:42:22,68214.2,11831.7
2022-07-05 16:42:23,68214.5,11831.5
2022-07-05 16:42:24,68211.6,11834.4
2022-07-05 16:42:25,68207.1,11838.8
2022-07-05 16:42:26,68197.5,11848.4
2022-07-05 16:42:27,68145,11900.9
2022-07-05 16:42:28,68108.1,11937.8
2022-07-05 16:42:29,68078.1,11967.8
2022-07-05 16:42:30,68021.8,12024
2022-07-05 16:42:31,68050.9,11995.1
2022-07-05 16:42:32,68053.3,11992.6
2022-07-05 16:42:33,68054.5,11991.5
2022-07-05 16:42:34,68054.8,11991.1
2022-07-05 16:42:35,68054.1,11991.8
2022-07-05 16:42:36,68053.2,11992.7
2022-07-05 16:42:37,68053.1,11992.8
2022-07-05 16:42:38,68012.5,12033.5
2022-07-05 16:42:39,68001.8,12044.3
2022-07-05 16:42:40,68003.7,12042.2
2022-07-05 16:42:41,68034.3,12011.6
2022-07-05 16:42:42,68047.1,11998.9
2022-07-05 16:42:43,68040.2,12005.8
2022-07-05 16:42:44,68039,12006.9
2022-07-05 16:42:45,68039.2,12006.8
2022-07-05 16:42:46,68039.3,12006.6
2022-07-05 16:42:47,68039,12007
2022-07-05 16:42:48,68019,12026.9
2022-07-05 16:42:49,67997.8,12048.2
2022-07-05 16:42:50,67988,12057.9
2022-07-05 16:42:51,67966,12079.9
2022-07-05 16:42:52,67973.7,12072.1
2022-07-05 16:42:53,67980.9,12065
2022-07-05 16:42:54,67984.3,12061.6
2022-07-05 16:42:55,67985.4,12060.5
2022-07-05 16:42:56,68003.8,12042.1
2022-07-05 16:42:57,68003.3,12042.6
2022-07-05 16:42:58,68003.2,12042.7
2022-07-05 16:42:59,67995.3,12050.7
2022-07-05 16:43:00,67981.6,12064.3
2022-07-05 16:43:01,67971.8,12074
2022-07-05 16:43:02,67975.5,12070.4
2022-07-05 16:43:03,67950.8,12095.1
2022-07-05 16:43:04,67941.3,12104.6
2022-07-05 16:43:05,67944.6,12101.3
2022-07-05 16:43:06,67945.5,12100.4
2022-07-05 16:43:07,67947.7,12098.3
2022-07-05 16:43:08,67948.1,12097.7
2022-07-05 16:43:09,67946.2,12099.7
2022-07-05 16:43:10,67932,12114
2022-07-05 16:43:11,67925.1,12121
2022-07-05 16:43:12,67913,12132.9
2022-07-05 16:43:13,67909.6,12136.3
2022-07-05 16:43:14,67916.2,12129.6
2022-07-05 16:43:15,67932.7,12113.2
2022-07-05 16:43:16,67931.8,12114
2022-07-05 16:43:17,67929.1,12116.8
2022-07-05 16:43:18,67928,12117.9
2022-07-05 16:43:19,67927.8,12118.1
2022-07-05 16:43:20,67927.8,12118.2
2022-07-05 16:43:21,67901.3,12144.6
2022-07-05 16:43:22,67868.6,12177.3
2022-07-05 16:43:23,67847.8,12198.1
2022-07-05 16:43:24,67842.2,12203.7
2022-07-05 16:43:25,67842.3,12203.6
2022-07-05 16:43:26,67848.2,12197.7
2022-07-05 16:43:27,67846.1,12199.9
2022-07-05 16:43:28,67850.1,12195.8
2022-07-05 16:43:29,67849.5,12196.5
2022-07-05 16:43:30,67849.1,12196.8
2022-07-05 16:43:31,67845.8,12200.2
2022-07-05 16:43:32,67830.4,12215.6
2022-07-05 16:43:33,67834.8,12211.1
2022-07-05 16:43:34,67837.4,12208.6
2022-07-05 16:43:35,67819.1,12226.8
2022-07-05 16:43:36,67798.9,12247
2022-07-05 16:43:37,67789.9,12255.9
2022-07-05 16:43:38,67785.4,12260.5
2022-07-05 16:43:39,67782.5,12263.3
2022-07-05 16:43:40,67783.1,12262.7
2022-07-05 16:43:41,67781.4,12264.5
2022-07-05 16:43:42,67779.4,12266.5
2022-07-05 16:43:43,67742.1,12303.7
2022-07-05 16:43:44,67732.7,12313.3
2022-07-05 16:43:45,67735.6,12310.2
2022-07-05 16:43:46,67728.1,12317.8
2022-07-05 16:43:47,67731,12315
2022-07-05 16:43:48,67731.8,12314
2022-07-05 16:43:49,67734.6,12311.3
2022-07-05 16:43:50,67733.8,12312.2
2022-07-05 16:43:51,67734.1,12311.7
2022-07-05 16:43:52,67730.5,12315.5
2022-07-05 16:43:53,67724.4,12321.5
2022-07-05 16:43:54,67718,12328
2022-07-05 16:43:55,67712.6,12333.4
