time,in,out
2022-06-22 15:56:40,3505.209,0
2022-06-22 15:56:39,3761.967,-11.954025
2022-06-22 15:56:38,415.5862,-719.3587
2022-06-22 15:56:37,0,-903.9376
2022-06-22 15:56:36,0,-382.0111
2022-06-22 15:56:35,0,-352.1445
2022-06-22 15:56:34,0,-335.9757
2022-06-22 15:56:33,37.8623,-355.9589
2022-06-22 15:56:32,2291.608,-6154.058
2022-06-22 15:56:31,2284.476,-6166.028
2022-06-22 15:56:30,29.99521,-321.9466
2022-06-22 15:56:29,133.63815,-338.0358
2022-06-22 15:56:28,132.37006,-330.0041
2022-06-22 15:56:27,31.98608,-389.7831
2022-06-22 15:56:26,30.02025,-362.3078
2022-06-22 15:56:25,18.02113,-158.41305
2022-06-22 15:56:24,8.0151,-30.05285
2022-06-22 15:56:23,2.007549,-8.030194
2022-06-22 15:56:22,31.88262,-39.85327
2022-06-22 15:56:21,32.11738,-40.14673
2022-06-22 15:56:20,0,0
2022-06-22 15:56:19,0,0
2022-06-22 15:56:18,0,0
2022-06-22 15:56:17,0,0
2022-06-22 15:56:16,0,-595.8605
2022-06-22 15:56:15,0,-600.1395
2022-06-22 15:56:14,0,0
2022-06-22 15:56:13,0,0
2022-06-22 15:56:12,0,0
2022-06-22 15:56:11,0,-101.64931
2022-06-22 15:56:10,0,-102.35069
2022-06-22 15:56:09,0,0
2022-06-22 15:56:08,0,0
2022-06-22 15:56:07,0,0
2022-06-22 15:56:06,0,-97.64423
2022-06-22 15:56:05,0,-98.35577
2022-06-22 15:56:04,0,0
2022-06-22 15:56:03,0,0
2022-06-22 15:56:02,187.3164,0
2022-06-22 15:56:01,188.6836,-5.979316
2022-06-22 15:56:00,0,-6.020684
2022-06-22 15:55:59,0,0
2022-06-22 15:55:58,93.67858,0
2022-06-22 15:55:57,94.32142,0
2022-06-22 15:55:56,0,-7.971321
2022-06-22 15:55:55,0,-8.028679
2022-06-22 15:55:54,0,0
2022-06-22 15:55:53,0,0
2022-06-22 15:55:52,0,0
2022-06-22 15:55:51,0,-5.978207
2022-06-22 15:55:50,0,-6.021793
2022-06-22 15:55:49,0,0
2022-06-22 15:55:48,0,0
2022-06-22 15:55:47,0,0
2022-06-22 15:55:46,0,-15.94392
2022-06-22 15:55:45,0,-16.05608
2022-06-22 15:55:44,0,0
2022-06-22 15:55:43,0,0
2022-06-22 15:55:42,0,0
2022-06-22 15:55:41,0,-9.963517
2022-06-22 15:55:40,0,-77.79867
2022-06-22 15:55:39,0,-68.23781
2022-06-22 15:55:38,0,0
2022-06-22 15:55:37,0,0
2022-06-22 15:55:36,0,-29.89087
2022-06-22 15:55:35,0,-38.08056
2022-06-22 15:55:34,0,-8.028572
2022-06-22 15:55:33,0,0
2022-06-22 15:55:32,0,0
2022-06-22 15:55:31,0,0
2022-06-22 15:55:30,181.3147,-5.977407
2022-06-22 15:55:29,182.6853,-6.022593
2022-06-22 15:55:28,0,0
2022-06-22 15:55:27,0,0
2022-06-22 15:55:26,0,0
2022-06-22 15:55:25,0,-17.93362
2022-06-22 15:55:24,0,-18.06638
2022-06-22 15:55:23,0,0
2022-06-22 15:55:22,0,0
2022-06-22 15:55:21,0,0
2022-06-22 15:55:20,0,0
2022-06-22 15:55:19,0,-5.978107
2022-06-22 15:55:18,0,-6.021893
2022-06-22 15:55:17,0,0
2022-06-22 15:55:16,0,0
2022-06-22 15:55:15,209.1957,0
2022-06-22 15:55:14,210.8043,-7.969878
2022-06-22 15:55:13,0,-8.030122
2022-06-22 15:55:12,0,0
2022-06-22 15:55:11,0,0
2022-06-22 15:55:10,0,-9.962795
2022-06-22 15:55:09,0,-10.037205
2022-06-22 15:55:08,0,-15.939614
2022-06-22 15:55:07,0,-16.060386
2022-06-22 15:55:06,0,0
2022-06-22 15:55:05,0,-31.8792
2022-06-22 15:55:04,0,-32.1208
2022-06-22 15:55:03,0,-5.977594
2022-06-22 15:55:02,0,-6.022406
2022-06-22 15:55:01,0,0
2022-06-22 15:55:00,0,0
2022-06-22 15:54:59,0,0
2022-06-22 15:54:58,0,0
2022-06-22 15:54:57,0,-7.970397
2022-06-22 15:54:56,0,-8.029603
2022-06-22 15:54:55,0,0
2022-06-22 15:54:54,0,0
2022-06-22 15:54:53,233.1122,0
2022-06-22 15:54:52,234.8878,0
2022-06-22 15:54:51,0,0
2022-06-22 15:54:50,0,-5.977219
2022-06-22 15:54:49,167.35422,-17.97665
2022-06-22 15:54:48,168.6458,-12.046127
2022-06-22 15:54:47,227.104,0
