time,in,out
2022-06-22 15:51:58,2507.13,0
2022-06-22 15:51:59,1661.35,-189344
2022-06-22 15:52:00,23309.3,-66727.7
2022-06-22 15:52:01,12130.2,-262.668
2022-06-22 15:52:02,7497.48,-269.215
2022-06-22 15:52:03,2333.39,-398.548
2022-06-22 15:52:04,2191.95,-444.797
2022-06-22 15:52:05,1756.16,-213.341
2022-06-22 15:52:06,2393.15,-41.3932
2022-06-22 15:52:07,1964.37,-47.5338
2022-06-22 15:52:08,2217.12,-67.6018
2022-06-22 15:52:09,2487.21,-119.178
2022-06-22 15:52:10,2622.42,-438.574
2022-06-22 15:52:11,2265.15,-661.138
2022-06-22 15:52:12,2368.04,-978.665
2022-06-22 15:52:13,2229.6,-326.801
2022-06-22 15:52:14,5911.2,-166.914
2022-06-22 15:52:15,4452.91,-619.239
2022-06-22 15:52:16,3005.01,-300.963
2022-06-22 15:52:17,2000.72,0
2022-06-22 15:52:18,13435.8,-77.5874
2022-06-22 15:52:19,9363.12,-59383
2022-06-22 15:52:20,4317.78,-362079
2022-06-22 15:52:21,3452.1,-169669
2022-06-22 15:52:22,9962.75,-86.0167
2022-06-22 15:52:23,36246.7,-207.201
2022-06-22 15:52:24,33774,-201.712
2022-06-22 15:52:25,17270.9,-625.362
2022-06-22 15:52:26,6234.93,-570.558
2022-06-22 15:52:27,2210.81,-183.326
2022-06-22 15:52:28,3929.95,-71.0634
2022-06-22 15:52:29,2759.26,-101.858
2022-06-22 15:52:30,2037.6,-679.102
2022-06-22 15:52:31,2058.45,-412.816
2022-06-22 15:52:32,3462.99,-52.9856
2022-06-22 15:52:33,4774.85,-20.2686
2022-06-22 15:52:34,56700.3,-17.0219
2022-06-22 15:52:35,172074,-1231.64
2022-06-22 15:52:36,233004,-571.074
2022-06-22 15:52:37,248866,-829.944
2022-06-22 15:52:38,253886,-550.121
2022-06-22 15:52:39,249317,-19.5014
2022-06-22 15:52:40,248254,-51000.3
2022-06-22 15:52:41,250879,-52407.8
2022-06-22 15:52:42,251984,-12841.1
2022-06-22 15:52:43,252593,-399.155
2022-06-22 15:52:44,251664,-18.5728
2022-06-22 15:52:45,212623,-194.194
2022-06-22 15:52:46,225635,-214903
2022-06-22 15:52:47,258051,-215878
2022-06-22 15:52:48,242194,-48882
2022-06-22 15:52:49,246121,-208.596
2022-06-22 15:52:50,256691,-769.56
2022-06-22 15:52:51,258675,-22727.7
2022-06-22 15:52:52,245876,-395241
2022-06-22 15:52:53,244703,-465331
2022-06-22 15:52:54,258082,-161348
2022-06-22 15:52:55,246776,-276.156
2022-06-22 15:52:56,245399,-601.844
2022-06-22 15:52:57,248365,-37215.7
2022-06-22 15:52:58,248385,-79166.4
2022-06-22 15:52:59,257487,-25195.6
2022-06-22 15:53:00,261549,-264.645
2022-06-22 15:53:01,263684,-880.64
2022-06-22 15:53:02,263555,-628.278
2022-06-22 15:53:03,261655,-1099.63
2022-06-22 15:53:04,265467,-598.857
2022-06-22 15:53:05,247015,-83.9413
2022-06-22 15:53:06,244798,-177.325
2022-06-22 15:53:07,259422,-227.445
2022-06-22 15:53:08,253901,-886.028
2022-06-22 15:53:09,251735,-468.77
2022-06-22 15:53:10,253112,-4.43249
2022-06-22 15:53:11,262184,-440.784
2022-06-22 15:53:12,264620,-478.245
2022-06-22 15:53:13,262454,-940.605
2022-06-22 15:53:14,265257,-496.366
2022-06-22 15:53:15,255810,-30.1355
2022-06-22 15:53:16,243568,-190.405
2022-06-22 15:53:17,275387,-176.543
2022-06-22 15:53:18,257932,-1304.28
2022-06-22 15:53:19,251883,-819.474
2022-06-22 15:53:20,260108,-81.0917
2022-06-22 15:53:21,262322,-471.819
2022-06-22 15:53:22,263272,-170.254
2022-06-22 15:53:23,258434,-1517.44
2022-06-22 15:53:24,261882,-896.579
2022-06-22 15:53:25,256537,-59.6552
2022-06-22 15:53:26,248038,-97.5075
2022-06-22 15:53:27,269594,-403.784
2022-06-22 15:53:28,258488,-1108.43
2022-06-22 15:53:29,254451,-1387.83
2022-06-22 15:53:30,254492,-565.67
2022-06-22 15:53:31,261023,-104.834
2022-06-22 15:53:32,265611,-459.559
2022-06-22 15:53:33,262799,-443.031
2022-06-22 15:53:34,263361,-1321.6
2022-06-22 15:53:35,255756,-846.543
2022-06-22 15:53:36,239673,-31.6145
2022-06-22 15:53:37,259346,-395.445
2022-06-22 15:53:38,261262,-390.838
2022-06-22 15:53:39,252396,-1517.2
2022-06-22 15:53:40,258962,-845.791
2022-06-22 15:53:41,258801,-21.3573
2022-06-22 15:53:42,258459,-448.97
2022-06-22 15:53:43,263931,-156.325
2022-06-22 15:53:44,265389,-967.852
2022-06-22 15:53:45,255604,-713.68
2022-06-22 15:53:46,248557,-28.5348
2022-06-22 15:53:47,265903,-433.95
2022-06-22 15:53:48,266393,-155.983
2022-06-22 15:53:49,264654,-1423.34
2022-06-22 15:53:50,256301,-1004.82
2022-06-22 15:53:51,260149,-95.4166
2022-06-22 15:53:52,258436,-437.565
2022-06-22 15:53:53,261907,-194.311
2022-06-22 15:53:54,258923,-1208.06
2022-06-22 15:53:55,254358,-812.489
2022-06-22 15:53:56,253276,-59.1777
2022-06-22 15:53:57,261811,-564.132
2022-06-22 15:53:58,260710,-216.69
2022-06-22 15:53:59,263545,-1253.34
2022-06-22 15:54:00,261753,-1029.6
2022-06-22 15:54:01,262921,-202.38
2022-06-22 15:54:02,264508,-435.552
