time,in,out
2022-06-22 16:02:11,0,0
2022-06-22 16:02:10,219.3834,-50.24048
2022-06-22 16:02:09,416.8257,-99.90526
2022-06-22 16:02:08,155.79084,-41.85426
2022-06-22 16:02:07,0,0
2022-06-22 16:02:06,0,0
2022-06-22 16:02:05,0,-6.715531
2022-06-22 16:02:04,0,-69.72294
2022-06-22 16:02:03,0,-83.56153
2022-06-22 16:02:02,0,0
2022-06-22 16:02:01,0,0
2022-06-22 16:02:00,0,-15.098548
2022-06-22 16:01:59,0,-242.4994
2022-06-22 16:01:58,0,-355.0911
2022-06-22 16:01:57,431.4364,-67.31096
2022-06-22 16:01:56,804.6918,0
2022-06-22 16:01:55,1319.6572,-484.8552
2022-06-22 16:01:54,1428.2146,-899.2127
2022-06-22 16:01:53,0,-315.9321
2022-06-22 16:01:52,0,0
2022-06-22 16:01:51,48.61491,0
2022-06-22 16:01:50,10536.202,0
2022-06-22 16:01:49,69712.62,-238.2259
2022-06-22 16:01:48,129385.84,-12396.222
2022-06-22 16:01:47,84578.53,-89527.27
2022-06-22 16:01:46,29453.83,-170933.2
2022-06-22 16:01:45,29389.07,-166734.95
2022-06-22 16:01:44,34031.11,-159533.03
2022-06-22 16:01:43,41312.95,-155458.1
2022-06-22 16:01:42,53050.11,-216398.4
2022-06-22 16:01:41,93642.43,-186652.4
2022-06-22 16:01:40,112908.16,-36412.32
2022-06-22 16:01:39,111775.9,-37388.32
2022-06-22 16:01:38,113189.21,-28199.39
2022-06-22 16:01:37,111324.62,-310.886
2022-06-22 16:01:36,108017.55,-9.282865
2022-06-22 16:01:35,117582.03,0
2022-06-22 16:01:34,119115.08,0
2022-06-22 16:01:33,115849.73,-218.3119
2022-06-22 16:01:32,109563.95,-311.7623
2022-06-22 16:01:31,107706.13,-13.925835
2022-06-22 16:01:30,116221.49,0
2022-06-22 16:01:29,114655.86,0
2022-06-22 16:01:28,107864.48,-219.9988
2022-06-22 16:01:27,108736.9,-347.6643
2022-06-22 16:01:26,114697.41,-60.33693
2022-06-22 16:01:25,117471.08,0
2022-06-22 16:01:24,115244.98,0
2022-06-22 16:01:23,111733.13,-218.2701
