time,in,out
2022-06-23 01:24:18,7891.103,-38.31163
2022-06-23 01:24:17,207.7538,-2.738322
2022-06-23 01:24:16,4607.198,-60.72568
2022-06-23 01:24:15,0,0
2022-06-23 01:24:14,0,0
2022-06-23 01:24:13,0,0
2022-06-23 01:24:12,0,0
2022-06-23 01:24:11,0.0289753,-0.049778
2022-06-23 01:24:10,0.5950247,-1.022222
2022-06-23 01:24:09,0,0
2022-06-23 01:24:08,0,0
2022-06-23 01:24:07,0,0
2022-06-23 01:24:06,0.1077839,-0.1133113
2022-06-23 01:24:05,2.388216,-2.510689
2022-06-23 01:24:04,0,0
2022-06-23 01:24:03,0,0
2022-06-23 01:24:02,0,0
2022-06-23 01:24:01,0,0
2022-06-23 01:24:00,0,0
2022-06-23 01:23:59,0,0
2022-06-23 01:23:58,0,0
2022-06-23 01:23:57,0,0
2022-06-23 01:23:56,0,0
2022-06-23 01:23:55,0,0
2022-06-23 01:23:54,0,0
2022-06-23 01:23:53,0,0
2022-06-23 01:23:52,0.1077775,-0.1122682
2022-06-23 01:23:51,2.388222,-2.487732
2022-06-23 01:23:50,0,0
2022-06-23 01:23:49,0,0
2022-06-23 01:23:48,0,0
2022-06-23 01:23:47,0,0
2022-06-23 01:23:46,0,0
2022-06-23 01:23:45,0,0
2022-06-23 01:23:44,0,0
2022-06-23 01:23:43,0,0
2022-06-23 01:23:42,0,0
2022-06-23 01:23:41,0,0
2022-06-23 01:23:40,0,0
2022-06-23 01:23:39,0.1104771,-0.1161426
2022-06-23 01:23:38,2.385523,-2.507857
2022-06-23 01:23:37,0,0
2022-06-23 01:23:36,0,0
2022-06-23 01:23:35,0,0
2022-06-23 01:23:34,0,0
2022-06-23 01:23:33,0,0
2022-06-23 01:23:32,0,0
2022-06-23 01:23:31,0,0
2022-06-23 01:23:30,0,0
2022-06-23 01:23:29,0,0
2022-06-23 01:23:28,0,0
2022-06-23 01:23:27,0,0
2022-06-23 01:23:26,0.0277997,-0.0477584
2022-06-23 01:23:25,0.5962003,-1.0242416
2022-06-23 01:23:24,0,0
2022-06-23 01:23:23,0,0
2022-06-23 01:23:22,0,0
2022-06-23 01:23:21,0,0
2022-06-23 01:23:20,0,0
2022-06-23 01:23:19,0,0
2022-06-23 01:23:18,0,0
2022-06-23 01:23:17,0,0
2022-06-23 01:23:16,0,0
2022-06-23 01:23:15,0,0
2022-06-23 01:23:14,0,0
2022-06-23 01:23:13,0,0
2022-06-23 01:23:12,0,0
2022-06-23 01:23:11,0,0
2022-06-23 01:23:10,0,0
2022-06-23 01:23:09,0,0
2022-06-23 01:23:08,0,0
2022-06-23 01:23:07,0,0
2022-06-23 01:23:06,0,0
2022-06-23 01:23:05,0,0
2022-06-23 01:23:04,0,0
2022-06-23 01:23:03,0,0
2022-06-23 01:23:02,0,0
2022-06-23 01:23:01,0,0
2022-06-23 01:23:00,0,0
2022-06-23 01:22:59,0,0
2022-06-23 01:22:58,0,0
2022-06-23 01:22:57,0,0
2022-06-23 01:22:56,0,0
2022-06-23 01:22:55,0,0
2022-06-23 01:22:54,0,0
2022-06-23 01:22:53,0,0
2022-06-23 01:22:52,0,0
2022-06-23 01:22:51,0,0
2022-06-23 01:22:50,0,0
