time,in,out
2022-06-22 16:24:18,0,0
2022-06-22 16:24:17,44.89664,0
2022-06-22 16:24:16,71.10336,0
2022-06-22 16:24:15,0,0
2022-06-22 16:24:14,0,0
2022-06-22 16:24:13,0,0
2022-06-22 16:24:12,0,0
2022-06-22 16:24:11,9.296485,0
2022-06-22 16:24:10,14.703515,0
2022-06-22 16:24:09,0,0
2022-06-22 16:24:08,0,0
2022-06-22 16:24:07,0,0
2022-06-22 16:24:06,0,0
2022-06-22 16:24:05,0,0
2022-06-22 16:24:04,0,0
2022-06-22 16:24:03,0,0
2022-06-22 16:24:02,0,0
2022-06-22 16:24:01,0,0
2022-06-22 16:24:00,0,0
2022-06-22 16:23:59,0,0
2022-06-22 16:23:58,0,0
2022-06-22 16:23:57,0,0
2022-06-22 16:23:56,0,0
2022-06-22 16:23:55,20.13569,0
2022-06-22 16:23:54,31.86431,0
2022-06-22 16:23:53,0,0
2022-06-22 16:23:52,32.50231,0
2022-06-22 16:23:51,51.49769,0
2022-06-22 16:23:50,108.35545,0
2022-06-22 16:23:49,184.0336,0
2022-06-22 16:23:48,19.61097,0
2022-06-22 16:23:47,0,0
2022-06-22 16:23:46,0,0
2022-06-22 16:23:45,0,0
2022-06-22 16:23:44,0,0
2022-06-22 16:23:43,0,0
2022-06-22 16:23:42,0,0
2022-06-22 16:23:41,0,0
2022-06-22 16:23:40,0,0
2022-06-22 16:23:39,0,0
2022-06-22 16:23:38,0,0
2022-06-22 16:23:37,0,0
2022-06-22 16:23:36,0,0
2022-06-22 16:23:35,0,0
2022-06-22 16:23:34,0,0
2022-06-22 16:23:33,0,0
2022-06-22 16:23:32,0,0
2022-06-22 16:23:31,0,0
2022-06-22 16:23:30,0,0
2022-06-22 16:23:29,162.68875,0
2022-06-22 16:23:28,257.3113,0
2022-06-22 16:23:27,0,0
2022-06-22 16:23:26,0,0
2022-06-22 16:23:25,0,0
2022-06-22 16:23:24,0,0
2022-06-22 16:23:23,43.38748,0
2022-06-22 16:23:22,68.61252,0
2022-06-22 16:23:21,0,0
2022-06-22 16:23:20,57.33682,0
2022-06-22 16:23:19,90.66318,0
2022-06-22 16:23:18,0,0
2022-06-22 16:23:17,0,0
2022-06-22 16:23:16,0,0
2022-06-22 16:23:15,0,0
2022-06-22 16:23:14,0,0
2022-06-22 16:23:13,0,0
2022-06-22 16:23:12,0,0
2022-06-22 16:23:11,96.06835,0
2022-06-22 16:23:10,151.93165,0
2022-06-22 16:23:09,0,0
2022-06-22 16:23:08,0,0
2022-06-22 16:23:07,0,0
2022-06-22 16:23:06,0,0
2022-06-22 16:23:05,0,0
2022-06-22 16:23:04,0,0
2022-06-22 16:23:03,0,0
2022-06-22 16:23:02,0,0
2022-06-22 16:23:01,0,0
2022-06-22 16:23:00,97.61564,0
2022-06-22 16:22:59,154.38436,0
2022-06-22 16:22:58,0,0
2022-06-22 16:22:57,0,0
2022-06-22 16:22:56,0,0
2022-06-22 16:22:55,0,0
2022-06-22 16:22:54,0,0
2022-06-22 16:22:53,0,-1.5493189
2022-06-22 16:22:52,0,-2.450681
2022-06-22 16:22:51,0,0
2022-06-22 16:22:50,0,0
2022-06-22 16:22:49,37.18093,0
2022-06-22 16:22:48,58.81907,0
2022-06-22 16:22:47,0,-74.36585
2022-06-22 16:22:46,182.8293,-117.63415
2022-06-22 16:22:45,289.1707,0
2022-06-22 16:22:44,0,0
2022-06-22 16:22:43,0,0
2022-06-22 16:22:42,0,0
2022-06-22 16:22:41,0,0
2022-06-22 16:22:40,0,0
2022-06-22 16:22:39,0,0
2022-06-22 16:22:38,0,0
