time,free,used,cached,buffers
2022-06-23 03:05:06,31218.12,579.8242,308.3398,5.953125
2022-06-23 03:05:05,31218.98,580.0781,307.3516,5.828125
2022-06-23 03:05:04,31214.37,584.4961,307.5508,5.820312
2022-06-23 03:05:03,31227.24,572.125,307.0547,5.820312
2022-06-23 03:05:02,31227.28,572.0859,307.0547,5.820312
2022-06-23 03:05:01,31227.52,571.8477,307.0547,5.820312
2022-06-23 03:05:00,31227.3,572.0625,307.0547,5.820312
2022-06-23 03:04:59,31227.02,572.3477,307.0547,5.820312
2022-06-23 03:04:58,31227.3,572.0625,307.0547,5.820312
2022-06-23 03:04:57,31227.04,572.3242,307.0547,5.820312
2022-06-23 03:04:56,31227.01,572.3555,307.0547,5.820312
2022-06-23 03:04:55,31227.32,572.0469,307.0547,5.820312
2022-06-23 03:04:54,31227.32,572.0469,307.0547,5.820312
2022-06-23 03:04:53,31227.28,572.0859,307.0547,5.820312
2022-06-23 03:04:52,31227.56,571.8008,307.0547,5.820312
2022-06-23 03:04:51,31227.52,571.8398,307.0547,5.820312
2022-06-23 03:04:50,31227.55,571.8086,307.0547,5.820312
2022-06-23 03:04:49,31227.27,572.0938,307.0547,5.820312
2022-06-23 03:04:48,31227.31,572.0547,307.0547,5.820312
2022-06-23 03:04:47,31227.78,571.5859,307.0547,5.820312
2022-06-23 03:04:46,31227.81,571.5547,307.0547,5.820312
2022-06-23 03:04:45,31227.29,572.0781,307.0547,5.820312
2022-06-23 03:04:44,31227.07,572.293,307.0547,5.820312
2022-06-23 03:04:43,31227.54,571.8242,307.0547,5.820312
2022-06-23 03:04:42,31227.54,571.8242,307.0547,5.820312
2022-06-23 03:04:41,31227.78,571.5859,307.0547,5.820312
2022-06-23 03:04:40,31227.79,571.5781,307.0547,5.820312
2022-06-23 03:04:39,31227.54,571.8242,307.0547,5.820312
2022-06-23 03:04:38,31227.53,571.832,307.0547,5.820312
2022-06-23 03:04:37,31227.56,571.8008,307.0547,5.820312
2022-06-23 03:04:36,31227.55,571.8164,307.0547,5.820312
2022-06-23 03:04:35,31227.35,572.0195,307.0469,5.820312
2022-06-23 03:04:34,31227.35,572.0195,307.0547,5.8125
2022-06-23 03:04:33,31227.1,572.2734,307.0547,5.8125
2022-06-23 03:04:32,31227.1,572.2734,307.0547,5.8125
2022-06-23 03:04:31,31227.14,572.2344,307.0547,5.8125
2022-06-23 03:04:30,31227.12,572.25,307.0547,5.8125
2022-06-23 03:04:29,31226.61,572.7734,307.0391,5.8125
2022-06-23 03:04:28,31227.37,572.082,306.9922,5.796875
2022-06-23 03:04:27,31227.4,572.0508,306.9922,5.796875
2022-06-23 03:04:26,31227.4,572.0508,306.9922,5.796875
2022-06-23 03:04:25,31227.14,572.3125,306.9922,5.796875
2022-06-23 03:04:24,31227.39,572.0586,306.9922,5.796875
2022-06-23 03:04:23,31227.39,572.0586,306.9922,5.796875
2022-06-23 03:04:22,31227.14,572.3125,306.9922,5.796875
2022-06-23 03:04:21,31226.9,572.5508,306.9922,5.796875
2022-06-23 03:04:20,31226.91,572.543,306.9922,5.796875
2022-06-23 03:04:19,31226.9,572.5508,306.9922,5.796875
2022-06-23 03:04:18,31227.15,572.2969,306.9922,5.796875
2022-06-23 03:04:17,31227.44,572.0117,306.9922,5.796875
2022-06-23 03:04:16,31227.17,572.2812,306.9922,5.796875
2022-06-23 03:04:15,31227.17,572.2812,306.9922,5.796875
2022-06-23 03:04:14,31227.17,572.2812,306.9922,5.796875
2022-06-23 03:04:13,31226.92,572.5273,306.9922,5.796875
2022-06-23 03:04:12,31226.91,572.5352,306.9922,5.796875
2022-06-23 03:04:11,31227.44,572.0117,306.9922,5.796875
2022-06-23 03:04:10,31227.44,572.0117,306.9922,5.796875
2022-06-23 03:04:09,31227.18,572.2656,306.9922,5.796875
2022-06-23 03:04:08,31227.18,572.2656,306.9922,5.796875
2022-06-23 03:04:07,31227.21,572.2422,306.9922,5.796875
2022-06-23 03:04:06,31227.21,572.2422,306.9922,5.796875
2022-06-23 03:04:05,31226.95,572.5039,306.9922,5.796875
2022-06-23 03:04:04,31227.2,572.25,306.9922,5.796875
2022-06-23 03:04:03,31227.51,571.9414,306.9922,5.796875
2022-06-23 03:04:02,31227.51,571.9414,306.9922,5.796875
2022-06-23 03:04:01,31227.46,571.9883,306.9922,5.796875
2022-06-23 03:04:00,31227.27,572.1797,306.9922,5.796875
2022-06-23 03:03:59,31227.2,572.25,306.9922,5.796875
2022-06-23 03:03:58,31227.52,571.9336,306.9922,5.796875
2022-06-23 03:03:57,31227.22,572.2266,306.9922,5.796875
2022-06-23 03:03:56,31227.54,571.9102,306.9922,5.796875
2022-06-23 03:03:55,31227.47,571.9805,306.9922,5.796875
2022-06-23 03:03:54,31227.53,571.918,306.9922,5.796875
2022-06-23 03:03:53,31227.22,572.2266,306.9922,5.796875
2022-06-23 03:03:52,31227.79,571.6641,306.9922,5.796875
