time,received,sent
2022-06-22 18:05:04,0,0
2022-06-22 18:05:03,0,0
2022-06-22 18:05:02,0,0
2022-06-22 18:05:01,0.2701977,-0.4641858
2022-06-22 18:05:00,0.3538023,-0.6078142
2022-06-22 18:04:59,0,0
2022-06-22 18:04:58,0,0
2022-06-22 18:04:57,0,0
2022-06-22 18:04:56,0,0
2022-06-22 18:04:55,0,0
2022-06-22 18:04:54,0,0
2022-06-22 18:04:53,0,0
2022-06-22 18:04:52,0,0
2022-06-22 18:04:51,0,0
2022-06-22 18:04:50,0,0
2022-06-22 18:04:49,0,0
2022-06-22 18:04:48,0,0
2022-06-22 18:04:47,1.0825941,-1.1381118
2022-06-22 18:04:46,1.4134059,-1.4858882
2022-06-22 18:04:45,0,0
2022-06-22 18:04:44,0,0
2022-06-22 18:04:43,0,0
2022-06-22 18:04:42,0,0
2022-06-22 18:04:41,0,0
2022-06-22 18:04:40,0,0
2022-06-22 18:04:39,0,0
2022-06-22 18:04:38,0,0
2022-06-22 18:04:37,0,0
2022-06-22 18:04:36,0,0
2022-06-22 18:04:35,0,0
2022-06-22 18:04:34,0,0
2022-06-22 18:04:33,0,0
2022-06-22 18:04:32,0,0
2022-06-22 18:04:31,0,0
2022-06-22 18:04:30,0,0
2022-06-22 18:04:29,0,0
2022-06-22 18:04:28,0,0
2022-06-22 18:04:27,0,0
2022-06-22 18:04:26,0,0
2022-06-22 18:04:25,0,0
2022-06-22 18:04:24,0,0
2022-06-22 18:04:23,0,0
2022-06-22 18:04:22,0,0
2022-06-22 18:04:21,0,0
2022-06-22 18:04:20,0,0
2022-06-22 18:04:19,0,0
2022-06-22 18:04:18,0,0
2022-06-22 18:04:17,0.2699041,-0.4636814
2022-06-22 18:04:16,0.3540959,-0.6083186
2022-06-22 18:04:15,0,0
2022-06-22 18:04:14,0,0
2022-06-22 18:04:13,0,0
2022-06-22 18:04:12,1.0764629,-1.1247657
2022-06-22 18:04:11,1.4195371,-1.4832343
2022-06-22 18:04:10,0,0
2022-06-22 18:04:09,0,0
2022-06-22 18:04:08,0,0
2022-06-22 18:04:07,0,0
2022-06-22 18:04:06,0,0
2022-06-22 18:04:05,0,0
2022-06-22 18:04:04,0,0
2022-06-22 18:04:03,0,0
2022-06-22 18:04:02,0,0
2022-06-22 18:04:01,0,0
2022-06-22 18:04:00,0,0
2022-06-22 18:03:59,0,0
2022-06-22 18:03:58,0,0
2022-06-22 18:03:57,0,0
2022-06-22 18:03:56,0,0
2022-06-22 18:03:55,0,0
