time,in,out
2022-07-23 04:50:15,3.768614,-14.248605
2022-07-23 04:50:14,4.908101,-9.244483
2022-07-23 04:50:13,0.9957495,-4.915508
2022-07-23 04:50:12,1292.7029,-1319.6214
2022-07-23 04:50:11,4893.077,-15808.302
2022-07-23 04:50:10,10930.01,-109865.53
2022-07-23 04:50:09,94450.45,-217562.1
2022-07-23 04:50:08,228708.7,-68519.07
2022-07-23 04:50:07,106116.66,-218508.7
2022-07-23 04:50:06,236025.8,-396408.6
2022-07-23 04:50:05,412033.2,-212339.3
2022-07-23 04:50:04,98943.2,-132435.57
2022-07-23 04:50:03,276984.9,-198246.9
2022-07-23 04:50:02,485359.2,-295718
2022-07-23 04:50:01,207835.8,-389911.6
2022-07-23 04:50:00,168498.3,-559729.4
2022-07-23 04:49:59,424534.4,-471150.2
2022-07-23 04:49:58,370037.2,-289203.7
2022-07-23 04:49:57,169932.5,-441516.7
2022-07-23 04:49:56,485028.9,-215168.9
2022-07-23 04:49:55,376687.1,-291088
2022-07-23 04:49:54,148901.89,-343468.3
2022-07-23 04:49:53,242820.5,-154023.65
2022-07-23 04:49:52,247288,-242760.1
2022-07-23 04:49:51,139969.91,-292338.5
2022-07-23 04:49:50,205803,-260130.8
2022-07-23 04:49:49,483382.6,-341414.3
2022-07-23 04:49:48,287034.2,-201252.1
2022-07-23 04:49:47,362487.9,-347044.3
2022-07-23 04:49:46,412543.5,-482751.8
2022-07-23 04:49:45,249359.2,-353873.7
2022-07-23 04:49:44,384889.3,-151871.3
2022-07-23 04:49:43,388615.1,-399862.3
2022-07-23 04:49:42,143677.6,-94570.59
2022-07-23 04:49:41,124333.69,-194319.1
2022-07-23 04:49:40,290939.6,-204590.3
2022-07-23 04:49:39,446798.3,-275459.8
2022-07-23 04:49:38,252566.2,-362219.5
2022-07-23 04:49:37,294409.8,-660207
2022-07-23 04:49:36,317247.5,-234826.4
2022-07-23 04:49:35,358256,-620748.1
2022-07-23 04:49:34,364208.4,-248920.2
2022-07-23 04:49:33,341607.9,-154078.56
2022-07-23 04:49:32,135296.6,-265895.1
2022-07-23 04:49:31,69612.99,-203829.3
2022-07-23 04:49:30,137378.99,-385539.7
2022-07-23 04:49:29,183289.8,-214709.6
2022-07-23 04:49:28,434174.4,-469158.8
2022-07-23 04:49:27,535257.6,-410892.7
2022-07-23 04:49:26,270499.6,-268039.4
2022-07-23 04:49:25,494351.1,-201282.1
2022-07-23 04:49:24,113373.6,-339608
2022-07-23 04:49:23,81444.66,-235633.9
2022-07-23 04:49:22,194080.4,-157672.85
2022-07-23 04:49:21,478594.6,-295164.2
2022-07-23 04:49:20,281838.7,-389062.7
2022-07-23 04:49:19,131317.55,-198098.5
2022-07-23 04:49:18,326690.4,-256301.8
2022-07-23 04:49:17,491471,-420748.8
2022-07-23 04:49:16,283351.1,-562132.6
2022-07-23 04:49:15,355475.4,-296471.3
2022-07-23 04:49:14,456741,-229676.5
2022-07-23 04:49:13,63079.32,-278238.8
2022-07-23 04:49:12,150788.49,-209547.2
2022-07-23 04:49:11,305509.2,-181442.5
2022-07-23 04:49:10,126719.75,-243230.9
2022-07-23 04:49:09,189219.1,-273784.2
2022-07-23 04:49:08,285571.6,-389856.1
2022-07-23 04:49:07,592951.2,-243956.5
2022-07-23 04:49:06,326618.6,-70990.41
2022-07-23 04:49:05,250654.3,-295079.4
2022-07-23 04:49:04,195413.2,-463482.1
2022-07-23 04:49:03,58303.47,-448641.8
2022-07-23 04:49:02,208668.5,-132360.88
2022-07-23 04:49:01,559214.6,-193718.9
2022-07-23 04:49:00,222817.6,-331998.8
2022-07-23 04:48:59,58032.41,-406019.8
2022-07-23 04:48:58,74197.52,-68933.57
2022-07-23 04:48:57,91856.15,-49058.42
2022-07-23 04:48:56,274474.1,-130024.64
2022-07-23 04:48:55,277692.2,-104253.25
2022-07-23 04:48:54,71117.25,-314160.9
2022-07-23 04:48:53,224603.2,-429359.4
2022-07-23 04:48:52,194008.3,-369219.6
2022-07-23 04:48:51,250041.4,-416900.6
2022-07-23 04:48:50,380990.1,-220829.1
2022-07-23 04:48:49,38522.85,-155312.29
2022-07-23 04:48:48,147219.08,-231472
2022-07-23 04:48:47,457152.1,-468399.3
2022-07-23 04:48:46,471735.4,-329651.4
2022-07-23 04:48:45,435693,-353708.7
2022-07-23 04:48:44,26262.51,-383470.3
2022-07-23 04:48:43,12434.161,-285527.2
2022-07-23 04:48:42,22183.6,-203572.7
2022-07-23 04:48:41,185134.9,-93855.08
2022-07-23 04:48:40,417364,-164440.12
2022-07-23 04:48:39,117935.79,-285122.3
2022-07-23 04:48:38,62612.46,-292976.3
2022-07-23 04:48:37,35679.8,-235708.6
2022-07-23 04:48:36,29794.52,-120051.52
2022-07-23 04:48:35,70514.04,-290796.8
2022-07-23 04:48:34,310578.6,-121737.95
2022-07-23 04:48:33,577569.6,-306464.7
2022-07-23 04:48:32,391559,-608645.7
2022-07-23 04:48:31,515785.5,-721668.9
2022-07-23 04:48:30,211935.5,-241451.4
2022-07-23 04:48:29,12034.103,-252235.1
2022-07-23 04:48:28,11704.929,-136053.68
2022-07-23 04:48:27,10646.274,-121503.24
2022-07-23 04:48:26,54888.26,-64228.05
2022-07-23 04:48:25,162190.5,-138.65002
2022-07-23 04:48:24,94806.16,-90.91054
2022-07-23 04:48:23,60379.63,-68.73072
2022-07-23 04:48:22,44512.98,-60.95891
2022-07-23 04:48:21,35185.51,-21732.61
2022-07-23 04:48:20,58894.79,-129505.19
2022-07-23 04:48:19,93213.71,-300795.9
2022-07-23 04:48:18,373135.6,-464398.5
2022-07-23 04:48:17,592567.4,-567097.6
2022-07-23 04:48:16,376927.5,-332310.3
2022-07-23 04:48:15,102057.12,-275066.8
2022-07-23 04:48:14,269046,-607190.2
2022-07-23 04:48:13,358934.3,-487535.1
2022-07-23 04:48:12,226128.6,-13663.718
2022-07-23 04:48:11,21765.16,-8423.343
2022-07-23 04:48:10,9892.711,-8156.989
2022-07-23 04:48:09,12063.187,-6990.838
2022-07-23 04:48:08,1535.4199,-4312.422
2022-07-23 04:48:07,5414.352,-1343.8424
2022-07-23 04:48:06,9008.18,-3272.191
2022-07-23 04:48:05,921.8028,-55.83831
2022-07-23 04:48:04,0.9957972,-4.915751
2022-07-23 04:48:03,4.094851,-300.2037
2022-07-23 04:48:02,8.214827,-785.6499
2022-07-23 04:48:01,4.132237,-512.4096
2022-07-23 04:48:00,8.898304,-1358.0211
2022-07-23 04:47:59,10590.952,-25.73644
2022-07-23 04:47:58,57678.5,-959.1896
2022-07-23 04:47:57,123907.21,-2414.086
2022-07-23 04:47:56,166168.74,-823.6168
2022-07-23 04:47:55,170680.1,-2050.499
2022-07-23 04:47:54,184226.8,-341.4428
2022-07-23 04:47:53,182850,-1471.5036
2022-07-23 04:47:52,184263.7,-2065.931
2022-07-23 04:47:51,179591.9,-146.73444
2022-07-23 04:47:50,183742,-164.75194
2022-07-23 04:47:49,197570.8,-151.79724
2022-07-23 04:47:48,198006.4,-471.713
2022-07-23 04:47:47,200233,-947.2253
2022-07-23 04:47:46,199707.9,-152.20989
2022-07-23 04:47:45,196157.8,-149.87819
2022-07-23 04:47:44,197099.4,-148.62602
2022-07-23 04:47:43,198165.9,-446.3062
2022-07-23 04:47:42,198922.3,-940.8329
2022-07-23 04:47:41,195954.6,-141.54276
2022-07-23 04:47:40,200198.7,-158.41629
2022-07-23 04:47:39,202436.1,-203.4596
2022-07-23 04:47:38,213386.1,-198.4052
2022-07-23 04:47:37,195795.3,-184.9018
2022-07-23 04:47:36,199423.1,-167.56455
2022-07-23 04:47:35,197604.9,-499.5981
2022-07-23 04:47:34,196188.1,-951.0212
2022-07-23 04:47:33,200291.2,-376.3702
2022-07-23 04:47:32,199833.7,-750.5946
2022-07-23 04:47:31,197363,-151.46399
2022-07-23 04:47:30,197005.1,-152.68849
2022-07-23 04:47:29,198070.1,-170.985
2022-07-23 04:47:28,200010.5,-218.4141
2022-07-23 04:47:27,199052.2,-473.0254
2022-07-23 04:47:26,197788,-986.1817
2022-07-23 04:47:25,196717.6,-147.72077
2022-07-23 04:47:24,194924.3,-443.4665
2022-07-23 04:47:23,201007.8,-930.4306
2022-07-23 04:47:22,196589.7,-151.8612
2022-07-23 04:47:21,198218.8,-147.94496
2022-07-23 04:47:20,195393,-144.21689
2022-07-23 04:47:19,198541.7,-148.51113
2022-07-23 04:47:18,200227.9,-182.8871
2022-07-23 04:47:17,199237.7,-351.1999
2022-07-23 04:47:16,201129.6,-580.9041
2022-07-23 04:47:15,193583.6,-146.09612
2022-07-23 04:47:14,198410,-653.9147
2022-07-23 04:47:13,198132.1,-1491.9722
2022-07-23 04:47:12,198226.4,-155.46957
2022-07-23 04:47:11,194857.8,-148.23621
2022-07-23 04:47:10,197605.6,-142.11294
2022-07-23 04:47:09,197506.7,-156.62398
2022-07-23 04:47:08,202561.7,-163.69375
2022-07-23 04:47:07,197760.2,-165.22715
2022-07-23 04:47:06,197136.5,-199.8374
2022-07-23 04:47:05,200959.3,-160.12211
2022-07-23 04:47:04,196362.6,-422.6801
2022-07-23 04:47:03,194004,-841.4425
2022-07-23 04:47:02,197929.6,-371.269
2022-07-23 04:47:01,195871.6,-716.6393
2022-07-23 04:47:00,197973.5,-153.30862
2022-07-23 04:46:59,197716,-147.75036
2022-07-23 04:46:58,198406.1,-135.59105
2022-07-23 04:46:57,199256.8,-120.87563
2022-07-23 04:46:56,197908.3,-145.66842
2022-07-23 04:46:55,203327.6,-216.5089
2022-07-23 04:46:54,199701.2,-213.2012
2022-07-23 04:46:53,194672.5,-156.82734
2022-07-23 04:46:52,195907.2,-175.9248
2022-07-23 04:46:51,196818.3,-197.6068
2022-07-23 04:46:50,198129.9,-151.06776
2022-07-23 04:46:49,197115.2,-162.31706
2022-07-23 04:46:48,198307.8,-182.4001
2022-07-23 04:46:47,197514.9,-157.87102
2022-07-23 04:46:46,198151,-159.14021
2022-07-23 04:46:45,198297.2,-175.0162
2022-07-23 04:46:44,197797.5,-352.0397
2022-07-23 04:46:43,200359.6,-554.8695
2022-07-23 04:46:42,197605.1,-159.44156
2022-07-23 04:46:41,196005.9,-515.7285
2022-07-23 04:46:40,196884.4,-1105.2895
2022-07-23 04:46:39,196119.7,-162.28429
2022-07-23 04:46:38,198826.1,-169.3327
2022-07-23 04:46:37,197323.8,-151.81566
2022-07-23 04:46:36,196799.4,-156.26927
2022-07-23 04:46:35,197034.9,-694.183
2022-07-23 04:46:34,199353.4,-1818.788
2022-07-23 04:46:33,198184.2,-792.8302
2022-07-23 04:46:32,196149.6,-200.1568
2022-07-23 04:46:31,197351.1,-154.11986
2022-07-23 04:46:30,194933.1,-172.5662
2022-07-23 04:46:29,194105.1,-184.435
2022-07-23 04:46:28,196475.3,-130.1395
2022-07-23 04:46:27,199485.9,-113.54418
2022-07-23 04:46:26,198788.2,-473.4262
2022-07-23 04:46:25,196975.5,-1072.0955
2022-07-23 04:46:24,198006.1,-113.18441
2022-07-23 04:46:23,198251.8,-274.9753
2022-07-23 04:46:22,196451.6,-1052.4116
2022-07-23 04:46:21,198567,-1452.6852
2022-07-23 04:46:20,198143,-111.05306
2022-07-23 04:46:19,196935.3,-351.136
2022-07-23 04:46:18,196547,-749.2844
2022-07-23 04:46:17,199547.3,-403.5688
2022-07-23 04:46:16,199233.7,-888.7447
2022-07-23 04:46:15,197360.6,-114.4285
2022-07-23 04:46:14,198888.5,-109.50723
2022-07-23 04:46:13,196009,-112.29068
2022-07-23 04:46:12,199243.2,-428.0442
2022-07-23 04:46:11,201222.6,-961.9368
2022-07-23 04:46:10,197021.7,-181.6241
2022-07-23 04:46:09,197154.3,-142.88372
2022-07-23 04:46:08,199325.4,-318.1384
2022-07-23 04:46:07,196388.3,-834.1176
2022-07-23 04:46:06,200824,-840.4192
2022-07-23 04:46:05,198433.9,-135.94617
2022-07-23 04:46:04,197177.3,-141.51964
2022-07-23 04:46:03,197014.3,-139.15487
2022-07-23 04:46:02,197819.1,-134.64345
2022-07-23 04:46:01,199113.1,-460.9483
