time,guest_nice,guest,steal,softirq,irq,user,system,nice,iowait
2022-07-03 20:44:22,0,0,0.5012531,0,0,0,0.7518797,0,0.5012531
2022-07-03 20:44:21,0,0,0,0,0,0.2512563,0.2512563,0,0
2022-07-03 20:44:20,0,0,0,0,0,1.0075567,1.763224,0.2518892,0
2022-07-03 20:44:19,0,0,0,0.2512563,0,0.7537688,1.0050251,0,0.2512563
2022-07-03 20:44:18,0,0,0.2525253,0.5050505,0,0.2525253,0.7575758,0.2525253,0.2525253
2022-07-03 20:44:17,0,0,0,0.2525253,0,0.5050505,1.010101,0,1.010101
2022-07-03 20:44:16,0,0,0.25,0.25,0,0.5,1,0,0.5
2022-07-03 20:44:15,0,0,0.2506266,0,0,0.5012531,0.5012531,0.2506266,0
2022-07-03 20:44:14,0,0,0,0.9925558,0,20.59553,1.985112,0,0
2022-07-03 20:44:13,0,0,0.2493766,1.2468828,0,24.93766,0.9975062,0,0
2022-07-03 20:44:12,0,0,0.4926108,1.2315271,0,26.60099,0.4926108,0.7389163,0
2022-07-03 20:44:11,0,0,0,0.5037783,0,25.6927,0.7556675,0,0
2022-07-03 20:44:10,0,0,0,0.5012531,0,25.31328,0.2506266,0.5012531,0
2022-07-03 20:44:09,0,0,0,1.724138,0,27.0936,0.7389163,0,0
2022-07-03 20:44:08,0,0,0.4962779,2.233251,0,27.79156,0.7444169,0.248139,0
2022-07-03 20:44:07,0,0,0,0.9975062,0,25.68579,0.4987531,0.2493766,0
2022-07-03 20:44:06,0,0,0.4962779,1.2406948,0,25.06203,0.4962779,0,0
2022-07-03 20:44:05,0,0,0.2475248,1.4851485,0,25.49505,0.4950495,0.2475248,0
2022-07-03 20:44:04,0,0,0,0.9950249,0,25.12438,0.4975124,0.2487562,0
2022-07-03 20:44:03,0,0,0,2.962963,0,32.34568,0,0,0
2022-07-03 20:44:02,0,0,0,0.9925558,0,25.55831,0.4962779,0.248139,0
2022-07-03 20:44:01,0,0,0.2487562,0.4975124,0,27.11443,0.2487562,0.2487562,0
2022-07-03 20:44:00,0,0,0,0.5,0,25.25,0.25,0.5,0
2022-07-03 20:43:59,0,0,0,0.9876543,0,25.92593,0.4938272,0,0.2469136
2022-07-03 20:43:58,0,0,0,0.7481297,0,24.93766,0.4987531,0.2493766,0
2022-07-03 20:43:57,0,0,0,0.9975062,0,24.93766,0.4987531,0.2493766,0
2022-07-03 20:43:56,0,0,0,1.25,0,25,0.5,0,0
2022-07-03 20:43:55,0,0,0.2475248,1.4851485,0,25.49505,0.4950495,0,0
2022-07-03 20:43:54,0,0,0,0.7481297,0,25.93516,0.2493766,0.2493766,0
2022-07-03 20:43:53,0,0,0.2512563,0.5025126,0,25.37688,0.5025126,0.5025126,0
2022-07-03 20:43:52,0,0,0,0.7556675,0,24.93703,0.2518892,0,0
