time,in,out
2022-07-03 20:05:22,25.3523,-22.3073
2022-07-03 20:05:23,36.0891,-37.9463
2022-07-03 20:05:24,58.8946,-74.6962
2022-07-03 20:05:25,63.6686,-77.8981
2022-07-03 20:05:26,27.17,-43.6681
2022-07-03 20:05:27,7.57362,-24.3958
2022-07-03 20:05:28,5.62181,-22.0895
2022-07-03 20:05:29,4.9467,-19.1286
2022-07-03 20:05:30,5.23938,-20.6708
2022-07-03 20:05:31,5.45365,-21.7996
2022-07-03 20:05:32,4.94667,-19.1286
2022-07-03 20:05:33,5.23947,-20.6709
2022-07-03 20:05:34,5.45396,-21.801
2022-07-03 20:05:35,4.94673,-19.1287
2022-07-03 20:05:36,5.2394,-20.6707
2022-07-03 20:05:37,5.45234,-21.7953
2022-07-03 20:05:38,4.375,-17.1275
2022-07-03 20:05:39,4.52511,-19.6651
2022-07-03 20:05:40,40.1428,-25.4943
2022-07-03 20:05:41,267738,-20646.6
2022-07-03 20:05:42,101517,-10325
2022-07-03 20:05:43,248159,-247862
2022-07-03 20:05:44,91285.7,-91544.9
2022-07-03 20:05:45,875694,-904672
2022-07-03 20:05:46,438939,-409756
2022-07-03 20:05:47,132.474,-147.272
2022-07-03 20:05:48,7.92712,-24.4164
2022-07-03 20:05:49,3353.47,-4105.04
2022-07-03 20:05:50,1245.18,-1537.04
2022-07-03 20:05:51,323987,-323613
2022-07-03 20:05:52,721569,-721794
2022-07-03 20:05:53,281860,-281910
2022-07-03 20:05:54,61.8204,-149.185
2022-07-03 20:05:55,77.5589,-164.095
2022-07-03 20:05:56,36.704,-100.968
2022-07-03 20:05:57,6277.38,-6302.4
2022-07-03 20:05:58,10382.1,-10368.8
2022-07-03 20:05:59,3119.89,-3143.98
2022-07-03 20:06:00,3102.14,-3077.29
2022-07-03 20:06:01,4205.5,-4115.8
2022-07-03 20:06:02,128384,-128124
2022-07-03 20:06:03,446007,-445757
2022-07-03 20:06:04,581384,-581281
2022-07-03 20:06:05,587456,-587126
2022-07-03 20:06:06,628584,-627891
2022-07-03 20:06:07,605376,-605129
2022-07-03 20:06:08,619986,-620026
2022-07-03 20:06:09,1.56425e+06,-1.56442e+06
2022-07-03 20:06:10,4.84413e+06,-4.84432e+06
2022-07-03 20:06:11,7919641,-7.91976e+06
2022-07-03 20:06:12,9.64164e+06,-9.64173e+06
2022-07-03 20:06:13,8.95914e+06,-8.95879e+06
2022-07-03 20:06:14,7.48011e+06,-7.48074e+06
2022-07-03 20:06:15,7.20276e+06,-7.20178e+06
2022-07-03 20:06:16,7.04049e+06,-7.04001e+06
2022-07-03 20:06:17,6.74637e+06,-6.74628e+06
2022-07-03 20:06:18,6.71182e+06,-6.71188e+06
2022-07-03 20:06:19,6.0067e+06,-6.00679e+06
2022-07-03 20:06:20,3.41314e+06,-3.4143e+06
2022-07-03 20:06:21,1.20181e+06,-1.20169e+06
2022-07-03 20:06:22,580927,-581072
2022-07-03 20:06:23,550294,-550378
2022-07-03 20:06:24,592187,-592280
2022-07-03 20:06:25,481342,-481863
2022-07-03 20:06:26,128269,-128194
2022-07-03 20:06:27,20148,-20108
2022-07-03 20:06:28,13544.4,-13498.9
2022-07-03 20:06:29,29026.5,-28956.3
2022-07-03 20:06:30,30091.5,-29862.1
2022-07-03 20:06:31,16628.7,-16440.3
2022-07-03 20:06:32,18603.5,-18315.9
2022-07-03 20:06:33,32840.1,-32250.6
2022-07-03 20:06:34,240412,-240093
2022-07-03 20:06:35,574220,-574107
2022-07-03 20:06:36,1.90672e+06,-1.90674e+06
2022-07-03 20:06:37,4.60059e+06,-4600725
2022-07-03 20:06:38,7.22913e+06,-7.22927e+06
2022-07-03 20:06:39,9.12131e+06,-9.12182e+06
2022-07-03 20:06:40,8.84525e+06,-8.84479e+06
2022-07-03 20:06:41,7.85586e+06,-7.85466e+06
2022-07-03 20:06:42,7.58024e+06,-7.57973e+06
2022-07-03 20:06:43,7.73697e+06,-7.73771e+06
2022-07-03 20:06:44,7.4057e+06,-7.40589e+06
2022-07-03 20:06:45,6995402,-6.99631e+06
2022-07-03 20:06:46,4.5514e+06,-4.55194e+06
2022-07-03 20:06:47,1.61766e+06,-1.61735e+06
2022-07-03 20:06:48,636191,-635949
2022-07-03 20:06:49,568714,-568735
2022-07-03 20:06:50,560750,-560824
2022-07-03 20:06:51,586822,-586887
2022-07-03 20:06:52,611751,-611792
2022-07-03 20:06:53,621409,-621462
2022-07-03 20:06:54,631202,-631187
2022-07-03 20:06:55,681860,-681796
2022-07-03 20:06:56,821096,-820885
2022-07-03 20:06:57,990809,-990628
2022-07-03 20:06:58,1.02594e+06,-1.02569e+06
2022-07-03 20:06:59,923427,-923560
2022-07-03 20:07:00,896909,-896483
2022-07-03 20:07:01,972348,-972113
2022-07-03 20:07:02,1.3721e+06,-1.37203e+06
2022-07-03 20:07:03,2.67567e+06,-2.67576e+06
2022-07-03 20:07:04,5.57741e+06,-5.57762e+06
2022-07-03 20:07:05,7.78035e+06,-7.78006e+06
2022-07-03 20:07:06,8.96203e+06,-8.962e+06
2022-07-03 20:07:07,8459837,-8.45972e+06
2022-07-03 20:07:08,7.12397e+06,-7.12381e+06
2022-07-03 20:07:09,6.67161e+06,-6.66855e+06
2022-07-03 20:07:10,6.77049e+06,-6.77193e+06
2022-07-03 20:07:11,6.61994e+06,-6.62125e+06
2022-07-03 20:07:12,5061289,-5.06097e+06
2022-07-03 20:07:13,2.12697e+06,-2.12798e+06
2022-07-03 20:07:14,751951,-752167
2022-07-03 20:07:15,620376,-620410
2022-07-03 20:07:16,655794,-655850
2022-07-03 20:07:17,626199,-626227
2022-07-03 20:07:18,586498,-586458
2022-07-03 20:07:19,562674,-563026
2022-07-03 20:07:20,714420,-714227
2022-07-03 20:07:21,1.02794e+06,-1.02843e+06
2022-07-03 20:07:22,1.37491e+06,-1.3744e+06
2022-07-03 20:07:23,1.44772e+06,-1.44712e+06
2022-07-03 20:07:24,1.41136e+06,-1.41128e+06
2022-07-03 20:07:25,1.4531e+06,-1.45291e+06
2022-07-03 20:07:26,1.59156e+06,-1.59124e+06
2022-07-03 20:07:27,1998928,-1.99857e+06
2022-07-03 20:07:28,2.53134e+06,-2.53132e+06
2022-07-03 20:07:29,3.78577e+06,-3.78567e+06
2022-07-03 20:07:30,5.84776e+06,-5.84786e+06
2022-07-03 20:07:31,7.67773e+06,-7.67828e+06
2022-07-03 20:07:32,8.7621e+06,-8.76299e+06
2022-07-03 20:07:33,8.10314e+06,-8.10233e+06
2022-07-03 20:07:34,7344419,-7.34358e+06
2022-07-03 20:07:35,6669590,-6.66961e+06
2022-07-03 20:07:36,6.56393e+06,-6.56386e+06
2022-07-03 20:07:37,5.86842e+06,-5.86585e+06
2022-07-03 20:07:38,3.86267e+06,-3.86461e+06
2022-07-03 20:07:39,1.58241e+06,-1.58415e+06
2022-07-03 20:07:40,539855,-539523
2022-07-03 20:07:41,361246,-361191
2022-07-03 20:07:42,367496,-367463
2022-07-03 20:07:43,400610,-400640
2022-07-03 20:07:44,438354,-438326
2022-07-03 20:07:45,655470,-655482
2022-07-03 20:07:46,1.05297e+06,-1.05301e+06
2022-07-03 20:07:47,1.26677e+06,-1.26675e+06
2022-07-03 20:07:48,1.49112e+06,-1.49097e+06
2022-07-03 20:07:49,1.64394e+06,-1.64374e+06
2022-07-03 20:07:50,1.63374e+06,-1.63353e+06
2022-07-03 20:07:51,1.41103e+06,-1.41086e+06
