time,in,out
2022-07-03 21:17:50,0,0
2022-07-03 21:17:49,312.8604,-5.740558
2022-07-03 21:17:48,906.3882,-11.694354
2022-07-03 21:17:47,1177.5537,-2.565089
2022-07-03 21:17:46,1187.5031,-12.916034
2022-07-03 21:17:45,343.6946,-23.08397
2022-07-03 21:17:44,91.87346,0
2022-07-03 21:17:43,164.12654,-8.612818
2022-07-03 21:17:42,0,-15.387182
2022-07-03 21:17:41,0,-11.48312
2022-07-03 21:17:40,0,-20.51688
2022-07-03 21:17:39,0,-4.306099
2022-07-03 21:17:38,0,-7.693901
2022-07-03 21:17:37,0,0
2022-07-03 21:17:36,0,-11.48532
2022-07-03 21:17:35,0,-20.51468
2022-07-03 21:17:34,0,0
2022-07-03 21:17:33,0,-57.40693
2022-07-03 21:17:32,0,-102.59307
2022-07-03 21:17:31,0,-12.918716
2022-07-03 21:17:30,0,-23.08128
2022-07-03 21:17:29,0,0
2022-07-03 21:17:28,5.740233,-12.915525
2022-07-03 21:17:27,24.60957,-23.08448
2022-07-03 21:17:26,37.1323,-11.482095
2022-07-03 21:17:25,32.00116,-20.5179
2022-07-03 21:17:24,31.99907,0
2022-07-03 21:17:23,34.90201,0
2022-07-03 21:17:22,37.14569,0
2022-07-03 21:17:21,72.12971,-55.9647
2022-07-03 21:17:20,103.81908,-112.94896
2022-07-03 21:17:19,224.283,-23.08634
2022-07-03 21:17:18,375.7213,-5.741579
2022-07-03 21:17:17,31.99923,-24.61141
2022-07-03 21:17:16,31.99785,-25.64701
2022-07-03 21:17:15,201.3397,-12.915709
2022-07-03 21:17:14,334.6609,-23.08429
2022-07-03 21:17:13,142.49033,0
2022-07-03 21:17:12,232.3819,-8.611853
2022-07-03 21:17:11,78.7562,-15.388147
2022-07-03 21:17:10,106.37349,-12.918124
2022-07-03 21:17:09,184.1345,-35.99903
2022-07-03 21:17:08,306.7337,-23.08285
2022-07-03 21:17:07,77.32534,0
2022-07-03 21:17:06,103.8062,0
2022-07-03 21:17:05,242.9543,-11.480606
2022-07-03 21:17:04,409.0449,-20.51939
2022-07-03 21:17:03,166.91221,0
2022-07-03 21:17:02,273.0909,0
2022-07-03 21:17:01,34.86985,-4.306388
2022-07-03 21:17:00,37.12723,-20.6107
2022-07-03 21:16:59,32.00011,-23.08291
2022-07-03 21:16:58,31.99994,0
2022-07-03 21:16:57,32.00035,0
2022-07-03 21:16:56,34.86955,0
2022-07-03 21:16:55,37.13068,-28.70622
2022-07-03 21:16:54,42.04733,-87.1768
2022-07-03 21:16:53,49.95334,-64.11697
2022-07-03 21:16:52,34.8715,0
2022-07-03 21:16:51,37.12769,0
2022-07-03 21:16:50,31.9968,0
2022-07-03 21:16:49,32.00139,-12.915613
2022-07-03 21:16:48,34.87277,-23.08439
2022-07-03 21:16:47,38.56752,-57.42596
2022-07-03 21:16:46,34.56414,-102.57404
2022-07-03 21:16:45,31.99669,-53.10272
2022-07-03 21:16:44,34.8683,-106.37725
2022-07-03 21:16:43,37.13079,-20.52003
2022-07-03 21:16:42,32.00298,0
2022-07-03 21:16:41,32.00067,-28.71104
2022-07-03 21:16:40,34.87128,-51.28896
2022-07-03 21:16:39,37.12658,-12.917565
2022-07-03 21:16:38,31.99961,-23.08243
2022-07-03 21:16:37,32.00083,0
2022-07-03 21:16:36,32.00001,0
2022-07-03 21:16:35,31.99761,0
2022-07-03 21:16:34,32.0015,-12.917067
2022-07-03 21:16:33,32.00095,-23.08293
2022-07-03 21:16:32,31.99964,0
2022-07-03 21:16:31,31.999,0
2022-07-03 21:16:30,34.86856,0
2022-07-03 21:16:29,37.13042,-12.915455
2022-07-03 21:16:28,32.00354,-23.08454
2022-07-03 21:16:27,31.99906,0
2022-07-03 21:16:26,32.00117,0
2022-07-03 21:16:25,31.99774,0
2022-07-03 21:16:24,34.86964,-12.9164
2022-07-03 21:16:23,37.13247,-23.0836
2022-07-03 21:16:22,31.998,0
2022-07-03 21:16:21,32.00049,0
2022-07-03 21:16:20,31.99834,0
2022-07-03 21:16:19,34.86737,-20.08751
2022-07-03 21:16:18,37.13369,-35.91249
2022-07-03 21:16:17,32.00027,0
2022-07-03 21:16:16,32.00033,0
2022-07-03 21:16:15,31.99997,0
