time,free,used
2022-07-03 21:17:50,14493.7,1515.46
2022-07-03 21:17:49,14494.5,1514.68
2022-07-03 21:17:48,14494.6,1514.63
2022-07-03 21:17:47,14493.8,1515.35
2022-07-03 21:17:46,14494.1,1515.13
2022-07-03 21:17:45,14493.4,1515.74
2022-07-03 21:17:44,14493.2,1516
2022-07-03 21:17:43,14493.2,1516
2022-07-03 21:17:42,14056.3,1952.92
2022-07-03 21:17:41,14056.4,1952.79
2022-07-03 21:17:40,14056.6,1952.58
2022-07-03 21:17:39,14056.7,1952.48
2022-07-03 21:17:38,14056.6,1952.59
2022-07-03 21:17:37,14056.8,1952.36
2022-07-03 21:17:36,14057,1952.2
2022-07-03 21:17:35,14057.4,1951.74
2022-07-03 21:17:34,14057.5,1951.67
2022-07-03 21:17:33,14057.8,1951.4
2022-07-03 21:17:32,14057.9,1951.29
2022-07-03 21:17:31,14061.5,1947.67
2022-07-03 21:17:30,14061.6,1947.56
2022-07-03 21:17:29,14061.9,1947.33
2022-07-03 21:17:28,14061.7,1947.47
2022-07-03 21:17:27,14061.9,1947.27
2022-07-03 21:17:26,14062.1,1947.04
2022-07-03 21:17:25,14062.4,1946.78
2022-07-03 21:17:24,14062.8,1946.36
2022-07-03 21:17:23,14062.9,1946.25
2022-07-03 21:17:22,14063,1946.14
2022-07-03 21:17:21,14063.2,1945.99
2022-07-03 21:17:20,14064.1,1945.05
2022-07-03 21:17:19,14064.2,1944.95
2022-07-03 21:17:18,14063.8,1945.34
2022-07-03 21:17:17,14064.3,1944.91
2022-07-03 21:17:16,14064.4,1944.8
2022-07-03 21:17:15,14064.2,1944.98
2022-07-03 21:17:14,14064.9,1944.27
2022-07-03 21:17:13,14064.8,1944.41
2022-07-03 21:17:12,14064.9,1944.24
2022-07-03 21:17:11,14065.5,1943.64
2022-07-03 21:17:10,14066.1,1943.04
2022-07-03 21:17:09,14066.3,1942.9
2022-07-03 21:17:08,14066.4,1942.8
2022-07-03 21:17:07,14066.2,1942.93
2022-07-03 21:17:06,14066.5,1942.68
2022-07-03 21:17:05,14066.3,1942.84
2022-07-03 21:17:04,14066.7,1942.48
2022-07-03 21:17:03,14067.1,1942.06
2022-07-03 21:17:02,14067.2,1942.02
2022-07-03 21:17:01,14067.3,1941.87
2022-07-03 21:17:00,14067.7,1941.47
2022-07-03 21:16:59,14067.3,1941.89
2022-07-03 21:16:58,14067.2,1941.97
2022-07-03 21:16:57,14067.3,1941.9
2022-07-03 21:16:56,14066.8,1942.34
2022-07-03 21:16:55,14067.3,1941.86
2022-07-03 21:16:54,14067.1,1942.08
2022-07-03 21:16:53,14067.6,1941.62
2022-07-03 21:16:52,14067.7,1941.51
2022-07-03 21:16:51,14068.1,1941.06
2022-07-03 21:16:50,14068.4,1940.73
2022-07-03 21:16:49,14068.9,1940.32
2022-07-03 21:16:48,14068.3,1940.86
2022-07-03 21:16:47,14068.6,1940.63
2022-07-03 21:16:46,14068.8,1940.4
2022-07-03 21:16:45,14068.9,1940.31
2022-07-03 21:16:44,14069.2,1939.93
2022-07-03 21:16:43,14069.7,1939.52
2022-07-03 21:16:42,14069.7,1939.53
2022-07-03 21:16:41,14070.3,1938.87
2022-07-03 21:16:40,14070.7,1938.51
2022-07-03 21:16:39,14070.3,1938.86
2022-07-03 21:16:38,14070.7,1938.47
2022-07-03 21:16:37,14070.8,1938.36
2022-07-03 21:16:36,14064.3,1944.84
2022-07-03 21:16:35,14064.7,1944.48
2022-07-03 21:16:34,14064.7,1944.47
2022-07-03 21:16:33,14065.2,1944.03
2022-07-03 21:16:32,14065.3,1943.91
2022-07-03 21:16:31,14065.5,1943.72
2022-07-03 21:16:30,14065.4,1943.77
2022-07-03 21:16:29,14072.1,1937.1
2022-07-03 21:16:28,14071.9,1937.27
2022-07-03 21:16:27,14072.2,1936.98
2022-07-03 21:16:26,14072.8,1936.41
2022-07-03 21:16:25,14072.9,1936.3
2022-07-03 21:16:24,14073,1936.16
2022-07-03 21:16:23,14073,1936.21
2022-07-03 21:16:22,14073.1,1936.04
2022-07-03 21:16:21,14073.3,1935.89
2022-07-03 21:16:20,14073.1,1936.04
2022-07-03 21:16:19,14073.8,1935.37
2022-07-03 21:16:18,14074.2,1934.94
2022-07-03 21:16:17,14074.4,1934.81
2022-07-03 21:16:16,14074.7,1934.46
2022-07-03 21:16:15,14075.1,1934.13
2022-07-03 21:16:14,14075,1934.23
2022-07-03 21:16:13,14075.6,1933.54
2022-07-03 21:16:12,14076.2,1932.94
2022-07-03 21:16:11,14076.1,1933.05
2022-07-03 21:16:10,14076.3,1932.93
2022-07-03 21:16:09,14076.1,1933.07
2022-07-03 21:16:08,14076.5,1932.66
2022-07-03 21:16:07,14075.4,1933.78
2022-07-03 21:16:06,14075.8,1933.4
2022-07-03 21:16:05,14075.7,1933.51
2022-07-03 21:16:04,14075.8,1933.37
2022-07-03 21:16:03,14075.6,1933.55
2022-07-03 21:16:02,14075.6,1933.58
2022-07-03 21:16:01,14076,1933.16
2022-07-03 21:16:00,14075.9,1933.28
2022-07-03 21:15:59,14076,1933.2
2022-07-03 21:15:58,14076.1,1933.05
2022-07-03 21:15:57,14076.6,1932.62
2022-07-03 21:15:56,14076.2,1932.98
2022-07-03 21:15:55,14079,1930.2
2022-07-03 21:15:54,14078.9,1930.24
2022-07-03 21:15:53,14078.7,1930.47
2022-07-03 21:15:52,14079.1,1930.06
2022-07-03 21:15:51,14079.5,1929.68
2022-07-03 21:15:50,14079.7,1929.5
2022-07-03 21:15:49,14079.6,1929.62
2022-07-03 21:15:48,14079.9,1929.27
2022-07-03 21:15:47,14079.8,1929.41
2022-07-03 21:15:46,14080.2,1928.98
2022-07-03 21:15:45,14080.2,1929.03
2022-07-03 21:15:44,14080.4,1928.78
2022-07-03 21:15:43,14080,1929.21
2022-07-03 21:15:42,14080.3,1928.91
2022-07-03 21:15:41,14080.4,1928.75
2022-07-03 21:15:40,14080.5,1928.67
2022-07-03 21:15:39,14080.4,1928.81
2022-07-03 21:15:38,14080.4,1928.8
2022-07-03 21:15:37,14080.6,1928.55
2022-07-03 21:15:36,14082,1927.23
2022-07-03 21:15:35,14082.1,1927.05
2022-07-03 21:15:34,14082.5,1926.7
2022-07-03 21:15:33,14082.7,1926.47
2022-07-03 21:15:32,14082.3,1926.89
2022-07-03 21:15:31,14076.5,1932.7
2022-07-03 21:15:30,14076.9,1932.33
2022-07-03 21:15:29,14143.3,1865.84
2022-07-03 21:15:28,14337.8,1671.41
2022-07-03 21:15:27,14436.3,1572.9
2022-07-03 21:15:26,14490.4,1518.8
2022-07-03 21:15:25,14488.1,1521.07
2022-07-03 21:15:24,14487.6,1521.57
2022-07-03 21:15:23,14489.2,1519.97
