time,in,out
2022-07-04 01:25:38,1383.9868,0
2022-07-04 01:25:37,2876.332,-7.031143
2022-07-04 01:25:36,0,-16.96886
2022-07-04 01:25:35,41.00417,0
2022-07-04 01:25:34,98.99583,0
2022-07-04 01:25:33,0,0
2022-07-04 01:25:32,0,-9.372049
2022-07-04 01:25:31,0,-54.25846
2022-07-04 01:25:30,0,-76.36949
2022-07-04 01:25:29,209.6776,0
2022-07-04 01:25:28,539.1085,-33.95701
2022-07-04 01:25:27,79.21392,-82.04299
2022-07-04 01:25:26,33.96851,-35.13984
2022-07-04 01:25:25,82.03149,-84.86016
2022-07-04 01:25:24,0,0
2022-07-04 01:25:23,0,0
2022-07-04 01:25:22,0,0
2022-07-04 01:25:21,0,-21.10471
2022-07-04 01:25:20,0,-50.89529
2022-07-04 01:25:19,0,0
2022-07-04 01:25:18,0,0
2022-07-04 01:25:17,0,0
2022-07-04 01:25:16,0,-22.25169
2022-07-04 01:25:15,0,-53.74831
2022-07-04 01:25:14,53.92687,0
2022-07-04 01:25:13,130.07313,0
2022-07-04 01:25:12,0,-1.1714737
2022-07-04 01:25:11,0,-2.828526
2022-07-04 01:25:10,0,0
2022-07-04 01:25:09,0,0
2022-07-04 01:25:08,0,-10.539526
2022-07-04 01:25:07,0,-47.72601
2022-07-04 01:25:06,0,-53.73447
2022-07-04 01:25:05,0,-11.847679
2022-07-04 01:25:04,0,-28.15232
2022-07-04 01:25:03,0,0
2022-07-04 01:25:02,5.864009,-17.59203
2022-07-04 01:25:01,10068.763,-42.40797
2022-07-04 01:25:00,63311.22,0
2022-07-04 01:24:59,135165.04,-16.484214
2022-07-04 01:24:58,148590.88,-45.43674
2022-07-04 01:24:57,167682.15,-51.83736
2022-07-04 01:24:56,168646.6,-90.24169
2022-07-04 01:24:55,171543.7,0
2022-07-04 01:24:54,161159.89,0
2022-07-04 01:24:53,170583.5,0
2022-07-04 01:24:52,169299.2,-32.51559
2022-07-04 01:24:51,162862.82,-88.77223
2022-07-04 01:24:50,158442.05,-34.71217
2022-07-04 01:24:49,167995.3,-88.41561
2022-07-04 01:24:48,165814.07,-547.0843
2022-07-04 01:24:47,170228.1,-789.691
2022-07-04 01:24:46,167720.8,-21.65016
2022-07-04 01:24:45,158611.37,-45.15889
2022-07-04 01:24:44,167189.42,-40.30854
2022-07-04 01:24:43,169461.5,-95.69146
2022-07-04 01:24:42,170273.6,0
2022-07-04 01:24:41,171773.5,-24.75171
2022-07-04 01:24:40,167902.7,-59.24829
2022-07-04 01:24:39,169804.8,0
2022-07-04 01:24:38,169513.9,0
2022-07-04 01:24:37,165388.99,-25.90606
2022-07-04 01:24:36,156338.13,-62.09394
2022-07-04 01:24:35,171662.5,-24.66403
2022-07-04 01:24:34,168167.3,-172.3194
2022-07-04 01:24:33,171584.5,-271.0166
2022-07-04 01:24:32,169993.1,-42.40877
2022-07-04 01:24:31,165907.88,-101.59123
2022-07-04 01:24:30,164903.73,0
2022-07-04 01:24:29,173090.7,-40.26325
2022-07-04 01:24:28,173486.7,-95.73675
2022-07-04 01:24:27,168246,0
2022-07-04 01:24:26,171496.3,-21.35039
2022-07-04 01:24:25,172511.9,-50.64961
2022-07-04 01:24:24,157999.74,-30.79784
2022-07-04 01:24:23,170165.6,-73.20216
2022-07-04 01:24:22,169787.2,0
2022-07-04 01:24:21,168557.5,0
2022-07-04 01:24:20,167134.28,0
2022-07-04 01:24:19,162482.34,-31.80341
2022-07-04 01:24:18,163855.2,-82.12467
2022-07-04 01:24:17,173281.7,-14.071915
2022-07-04 01:24:16,170529.4,-22.79018
2022-07-04 01:24:15,161695.29,-53.20982
2022-07-04 01:24:14,163062.22,-31.87273
2022-07-04 01:24:13,149473.52,-76.12727
2022-07-04 01:24:12,159671.09,-5.870507
2022-07-04 01:24:11,163193.54,-14.129493
2022-07-04 01:24:10,174923.6,0
2022-07-04 01:24:09,177069.9,0
2022-07-04 01:24:08,169230,-42.73984
2022-07-04 01:24:07,177981.6,-116.61527
2022-07-04 01:24:06,164536.78,-64.82119
2022-07-04 01:24:05,164317.68,-67.82371
2022-07-04 01:24:04,173308.4,0
2022-07-04 01:24:03,168774.4,-16.497852
2022-07-04 01:24:02,165875.1,-54.84377
2022-07-04 01:24:01,174974.6,-64.93469
2022-07-04 01:24:00,173599.7,-67.72369
2022-07-04 01:23:59,164993.7,0
2022-07-04 01:23:58,170342.2,-16.575667
2022-07-04 01:23:57,171909.1,-53.5418
2022-07-04 01:23:56,157318.24,-62.30592
2022-07-04 01:23:55,172584.9,-67.57661
2022-07-04 01:23:54,170524.9,0
2022-07-04 01:23:53,167509.46,-11.852642
2022-07-04 01:23:52,169511.6,-43.45314
2022-07-04 01:23:51,171899.3,-41.41097
2022-07-04 01:23:50,168136.9,-11.283243
2022-07-04 01:23:49,173852.1,0
2022-07-04 01:23:48,168479.8,-16.517239
2022-07-04 01:23:47,159745.4,-54.79657
2022-07-04 01:23:46,163724.62,-36.6862
2022-07-04 01:23:45,162128.29,-14.240292
2022-07-04 01:23:44,166513.99,-33.75971
2022-07-04 01:23:43,169619.1,-18.84326
2022-07-04 01:23:42,166039.27,-45.15674
2022-07-04 01:23:41,167911.1,-15.386735
2022-07-04 01:23:40,169392.1,-48.44925
2022-07-04 01:23:39,167314.95,-28.16401
2022-07-04 01:23:38,165787.05,-9.383483
2022-07-04 01:23:37,168472.9,-22.61652
2022-07-04 01:23:36,157402.5,0
2022-07-04 01:23:35,172857.6,-42.30441
2022-07-04 01:23:34,164567.35,-106.39867
2022-07-04 01:23:33,161767.97,-43.05898
2022-07-04 01:23:32,170656.3,-76.23794
2022-07-04 01:23:31,157631.79,0
2022-07-04 01:23:30,176878.6,0
2022-07-04 01:23:29,171908.7,-22.50175
2022-07-04 01:23:28,173973.3,-67.64361
2022-07-04 01:23:27,169786.7,-33.85463
2022-07-04 01:23:26,163789.42,0
2022-07-04 01:23:25,149359.67,-21.27543
2022-07-04 01:23:24,171836.7,-50.72457
2022-07-04 01:23:23,172505.1,-4.707978
2022-07-04 01:23:22,167385.5,-42.03143
2022-07-04 01:23:21,169799.5,-73.2606
2022-07-04 01:23:20,163850.95,0
2022-07-04 01:23:19,153406.56,0
2022-07-04 01:23:18,176587.7,0
2022-07-04 01:23:17,166839.98,-38.95683
2022-07-04 01:23:16,171080.6,-93.04317
2022-07-04 01:23:15,181861.3,0
2022-07-04 01:23:14,142154.43,0
2022-07-04 01:23:13,166747.78,0
2022-07-04 01:23:12,170862.7,-14.092134
2022-07-04 01:23:11,169996.1,-33.90787
2022-07-04 01:23:10,168325.6,-29.70049
2022-07-04 01:23:09,171760.2,-70.29951
2022-07-04 01:23:08,167082.37,0
2022-07-04 01:23:07,161175.12,-14.153628
2022-07-04 01:23:06,174391,-33.84637
2022-07-04 01:23:05,174092.9,-50.88049
2022-07-04 01:23:04,155442.41,-121.11951
2022-07-04 01:23:03,156735.56,0
2022-07-04 01:23:02,169803.1,-14.142945
2022-07-04 01:23:01,157558.07,-33.85706
2022-07-04 01:23:00,170808.5,0
