time,in,out
2022-07-04 01:59:13,40.20912,0
2022-07-04 01:59:12,1032.5819,0
2022-07-04 01:59:11,1881.364,0
2022-07-04 01:59:10,89.74656,0
2022-07-04 01:59:09,0,-18.65951
2022-07-04 01:59:08,0,-62.05389
2022-07-04 01:59:07,192.4076,-51.2866
2022-07-04 01:59:06,343.5924,0
2022-07-04 01:59:05,93.29895,0
2022-07-04 01:59:04,166.70105,-7.17769
2022-07-04 01:59:03,811.4039,-12.82231
2022-07-04 01:59:02,1448.5961,-30.16547
2022-07-04 01:59:01,388.9302,-53.83453
2022-07-04 01:59:00,695.0698,0
2022-07-04 01:58:59,168.0436,0
2022-07-04 01:58:58,299.9564,0
2022-07-04 01:58:57,41.63955,-44.51125
2022-07-04 01:58:56,74.36045,-98.16954
2022-07-04 01:58:55,124.98865,-33.31921
2022-07-04 01:58:54,286.1921,0
2022-07-04 01:58:53,234.8158,0
2022-07-04 01:58:52,218.0035,-31.58039
2022-07-04 01:58:51,0,-82.27156
2022-07-04 01:58:50,0,-129.47149
2022-07-04 01:58:49,0,-148.67655
2022-07-04 01:58:48,0,-15.792579
2022-07-04 01:58:47,0,-189.1108
2022-07-04 01:58:46,1.4410513,-687.7088
2022-07-04 01:58:45,2.558949,-712.8317
2022-07-04 01:58:44,0,-21.22346
2022-07-04 01:58:43,0,-33.33254
2022-07-04 01:58:42,0,-2.870627
2022-07-04 01:58:41,0,-5.129373
2022-07-04 01:58:40,41.62476,0
2022-07-04 01:58:39,74.37524,-30.14018
2022-07-04 01:58:38,0,-53.85982
2022-07-04 01:58:37,0,0
2022-07-04 01:58:36,0,-21.55253
2022-07-04 01:58:35,0,-38.44747
2022-07-04 01:58:34,0,-18.67136
2022-07-04 01:58:33,0,-33.32864
2022-07-04 01:58:32,0,0
2022-07-04 01:58:31,0,0
2022-07-04 01:58:30,0,0
2022-07-04 01:58:29,0,0
2022-07-04 01:58:28,93.3038,0
2022-07-04 01:58:27,166.6962,-14.375474
2022-07-04 01:58:26,0,-32.82437
2022-07-04 01:58:25,0,-12.800153
2022-07-04 01:58:24,0,0
2022-07-04 01:58:23,36503.92,0
2022-07-04 01:58:22,109870.71,0
2022-07-04 01:58:21,127189.72,-14.417357
2022-07-04 01:58:20,137370.15,-31.3809
2022-07-04 01:58:19,156744.67,-10.201746
2022-07-04 01:58:18,175288.6,0
2022-07-04 01:58:17,171066.9,0
2022-07-04 01:58:16,165443.56,-24.58818
2022-07-04 01:58:15,172858.6,-43.41182
2022-07-04 01:58:14,170576.6,-14.421837
2022-07-04 01:58:13,168782.3,-40.02213
2022-07-04 01:58:12,171887.9,-25.55603
2022-07-04 01:58:11,166608.42,-152.10682
