time,in,out
2022-07-03 20:25:55,7803.489,-19.12389
2022-07-03 20:25:54,187.4072,-1.0519819
2022-07-03 20:25:53,0,-25.94698
2022-07-03 20:25:52,0,-65.00104
2022-07-03 20:25:51,0,0
2022-07-03 20:25:50,0,-17.66819
2022-07-03 20:25:49,0,-384.2677
2022-07-03 20:25:48,0,-42.06414
2022-07-03 20:25:47,0,0
2022-07-03 20:25:46,0,0
2022-07-03 20:25:45,0,-0.5300366
2022-07-03 20:25:44,0,-13.597258
2022-07-03 20:25:43,0,-45.87271
2022-07-03 20:25:42,0,0
2022-07-03 20:25:41,0,0
2022-07-03 20:25:40,0,0
2022-07-03 20:25:39,0,-4.443238
2022-07-03 20:25:38,0,-95.55676
2022-07-03 20:25:37,0,0
2022-07-03 20:25:36,0,-1.0643959
2022-07-03 20:25:35,0,-22.9356
2022-07-03 20:25:34,0,0
2022-07-03 20:25:33,0,-6.442867
2022-07-03 20:25:32,0,-137.55713
2022-07-03 20:25:31,0,-1.0781253
2022-07-03 20:25:30,0,-22.92187
2022-07-03 20:25:29,0,0
2022-07-03 20:25:28,0,-0.5294015
2022-07-03 20:25:27,0,-11.470598
2022-07-03 20:25:26,0,-1.0623114
2022-07-03 20:25:25,0,-22.93769
2022-07-03 20:25:24,0,0
2022-07-03 20:25:23,0,0
2022-07-03 20:25:22,0,-0.899197
2022-07-03 20:25:21,0,-20.17597
2022-07-03 20:25:20,0,-22.92483
2022-07-03 20:25:19,0,-16.87886
2022-07-03 20:25:18,0,-363.1211
2022-07-03 20:25:17,0,-3.376614
2022-07-03 20:25:16,0,-73.68556
2022-07-03 20:25:15,0,-22.93782
2022-07-03 20:25:14,0,0
2022-07-03 20:25:13,0,0
2022-07-03 20:25:12,0,0
2022-07-03 20:25:11,0,-1.6104072
2022-07-03 20:25:10,0,-34.38959
2022-07-03 20:25:09,0,-0.3542529
2022-07-03 20:25:08,0,-7.645747
2022-07-03 20:25:07,0,0
2022-07-03 20:25:06,0,-2.143501
2022-07-03 20:25:05,0,-45.8565
2022-07-03 20:25:04,0,0
2022-07-03 20:25:03,0,0
2022-07-03 20:25:02,0,0
2022-07-03 20:25:01,0.1759791,-4.927415
2022-07-03 20:25:00,3.824021,-107.07258
2022-07-03 20:24:59,0,-1.060762
2022-07-03 20:24:58,0,-22.93924
2022-07-03 20:24:57,0,0
2022-07-03 20:24:56,0,0
2022-07-03 20:24:55,0,-0.5372189
2022-07-03 20:24:54,0,-12.525291
2022-07-03 20:24:53,0,-22.93749
2022-07-03 20:24:52,0,0
2022-07-03 20:24:51,0,0
2022-07-03 20:24:50,0,-0.8853473
2022-07-03 20:24:49,0,-38.14571
2022-07-03 20:24:48,0,-404.9689
2022-07-03 20:24:47,0,0
2022-07-03 20:24:46,0,0
