time,in,out
2022-06-22 18:17:11,3256.738,-20.08295
2022-06-22 18:17:10,3548.21,-11.952519
2022-06-22 18:17:09,330.8022,-1972.352
2022-06-22 18:17:08,82.1823,-2804.554
2022-06-22 18:17:07,18.06797,-874.9867
2022-06-22 18:17:06,468.1355,-105.89315
2022-06-22 18:17:05,471.8645,-108.10225
2022-06-22 18:17:04,111.58662,-74.04147
2022-06-22 18:17:03,247.9092,-85.91793
2022-06-22 18:17:02,136.50416,-127.92484
2022-06-22 18:17:01,0,-165.92943
2022-06-22 18:17:00,115.57123,-132.19807
2022-06-22 18:16:59,116.42877,-131.80903
2022-06-22 18:16:58,0,-146.13201
2022-06-22 18:16:57,0,-183.7134
2022-06-22 18:16:56,0,-232.1145
2022-06-22 18:16:55,0,-176.1078
2022-06-22 18:16:54,11.955654,-126.07899
2022-06-22 18:16:53,12.044346,-123.91842
2022-06-22 18:16:52,0,-151.96234
2022-06-22 18:16:51,356.5955,-128.12309
2022-06-22 18:16:50,359.4045,-133.86271
2022-06-22 18:16:49,47.81876,-173.9933
2022-06-22 18:16:48,48.18124,-116.22927
2022-06-22 18:16:47,0,-147.658
2022-06-22 18:16:46,0,-216.084
2022-06-22 18:16:45,0,-138.20386
2022-06-22 18:16:44,0,-103.92475
2022-06-22 18:16:43,0,-163.84628
2022-06-22 18:16:42,0,-138.24876
2022-06-22 18:16:41,0,-123.80991
2022-06-22 18:16:40,0,-172.015
2022-06-22 18:16:39,0,-140.1086
2022-06-22 18:16:38,0,-133.91383
2022-06-22 18:16:37,0,-201.8137
2022-06-22 18:16:36,0,-176.2805
2022-06-22 18:16:35,0,-139.86103
2022-06-22 18:16:34,0,-170.0191
2022-06-22 18:16:33,39.85199,-134.1233
2022-06-22 18:16:32,40.14801,-127.91443
2022-06-22 18:16:31,63.76218,-140.04017
2022-06-22 18:16:30,64.23782,-151.91011
2022-06-22 18:16:29,69.73876,-154.0814
2022-06-22 18:16:28,70.26124,-133.99579
2022-06-22 18:16:27,245.0862,-135.99792
2022-06-22 18:16:26,246.9138,-219.6776
2022-06-22 18:16:25,0,-218.3296
2022-06-22 18:16:24,0,-145.94597
2022-06-22 18:16:23,0,-152.02503
2022-06-22 18:16:22,0,-122.08596
2022-06-22 18:16:21,0,-103.98886
2022-06-22 18:16:20,0,-167.7782
2022-06-22 18:16:19,0,-178.1823
2022-06-22 18:16:18,0,-114.05227
2022-06-22 18:16:17,19.92325,-127.88756
2022-06-22 18:16:16,20.07675,-179.9019
2022-06-22 18:16:15,0,-168.1492
2022-06-22 18:16:14,0,-130.00967
2022-06-22 18:16:13,0,-141.94692
2022-06-22 18:16:12,0,-134.0781
2022-06-22 18:16:11,0,-129.92841
2022-06-22 18:16:10,0,-169.9151
2022-06-22 18:16:09,211.1882,-150.16326
2022-06-22 18:16:08,212.8118,-119.95371
2022-06-22 18:16:07,0,-141.95909
2022-06-22 18:16:06,0,-177.907
2022-06-22 18:16:05,127.52112,-158.17747
2022-06-22 18:16:04,128.47888,-157.83598
2022-06-22 18:16:03,0,-170.1244
2022-06-22 18:16:02,0,-102.11922
2022-06-22 18:16:01,0,-185.5435
2022-06-22 18:16:00,0,-246.2406
2022-06-22 18:15:59,0,-134.19821
2022-06-22 18:15:58,0,-141.76921
2022-06-22 18:15:57,0,-158.20057
2022-06-22 18:15:56,3.987282,-189.7517
2022-06-22 18:15:55,7.997508,-752.0685
2022-06-22 18:15:54,11.984726,-702.0527
2022-06-22 18:15:53,10.022921,-112.18383
2022-06-22 18:15:52,7.984193,-105.83278
2022-06-22 18:15:51,15.985376,-311.384
2022-06-22 18:15:50,12.030377,-292.6986
2022-06-22 18:15:49,5.992483,-100.03162
2022-06-22 18:15:48,153.44911,-177.6759
2022-06-22 18:15:47,152.55826,-152.42048
2022-06-22 18:15:46,5.992203,-59.92203
2022-06-22 18:15:45,17.96726,-313.2104
2022-06-22 18:15:44,16.041502,-298.8637
2022-06-22 18:15:43,3.999079,-89.82696
2022-06-22 18:15:42,11.96985,-177.8305
2022-06-22 18:15:41,25.97908,-678.3372
2022-06-22 18:15:40,18.05143,-611.9324
2022-06-22 18:15:39,9.976933,-127.82741
