time,free,used
2022-06-22 18:14:38,14616.2,1392.93
2022-06-22 18:14:39,29195.8,2822.58
2022-06-22 18:14:40,72067.3,7978.68
2022-06-22 18:14:41,72071.4,7974.61
2022-06-22 18:14:42,72081.6,7964.38
2022-06-22 18:14:43,72088.5,7957.42
2022-06-22 18:14:44,72088.6,7957.3
2022-06-22 18:14:45,72098.9,7946.96
2022-06-22 18:14:46,72098.8,7947.08
2022-06-22 18:14:47,72099.5,7946.35
2022-06-22 18:14:48,72100.7,7945.25
2022-06-22 18:14:49,72100.8,7945.14
2022-06-22 18:14:50,72101.8,7944.07
2022-06-22 18:14:51,72102.4,7943.5
2022-06-22 18:14:52,72102.7,7943.16
2022-06-22 18:14:53,72102.1,7943.85
2022-06-22 18:14:54,72101,7945.06
2022-06-22 18:14:55,72100.2,7945.69
2022-06-22 18:14:56,72102.7,7943.21
2022-06-22 18:14:57,72049.1,7996.82
2022-06-22 18:14:58,71957.7,8088.23
2022-06-22 18:14:59,71885.1,8160.89
2022-06-22 18:15:00,71835.1,8210.8
2022-06-22 18:15:01,71714.2,8331.73
2022-06-22 18:15:02,71550.9,8494.97
2022-06-22 18:15:03,71015.8,9030.25
2022-06-22 18:15:04,70860.8,9185.19
2022-06-22 18:15:05,70721,9324.86
2022-06-22 18:15:06,70719.6,9326.16
2022-06-22 18:15:07,70743.7,9302.26
2022-06-22 18:15:08,70755.2,9290.8
2022-06-22 18:15:09,70755.6,9290.3
2022-06-22 18:15:10,70755,9290.96
2022-06-22 18:15:11,70685,9360.97
2022-06-22 18:15:12,70279.6,9766.34
2022-06-22 18:15:13,69823.5,10222.5
2022-06-22 18:15:14,69273.2,10772.6
2022-06-22 18:15:15,69181.5,10864.4
2022-06-22 18:15:16,69170.8,10875.1
2022-06-22 18:15:17,69158.1,10887.7
2022-06-22 18:15:18,69092,10953.9
2022-06-22 18:15:19,69083.4,10962.4
2022-06-22 18:15:20,69062.4,10983.6
2022-06-22 18:15:21,69051.9,10994
2022-06-22 18:15:22,69043.5,11002.4
2022-06-22 18:15:23,69042.9,11003
2022-06-22 18:15:24,69013.6,11032.4
2022-06-22 18:15:25,68998.8,11047
2022-06-22 18:15:26,68992,11053.9
2022-06-22 18:15:27,68975.1,11070.9
2022-06-22 18:15:28,68964.3,11081.6
2022-06-22 18:15:29,68961,11084.8
2022-06-22 18:15:30,68947.2,11098.6
2022-06-22 18:15:31,68937.9,11108
2022-06-22 18:15:32,68934.4,11111.5
2022-06-22 18:15:33,68930,11115.9
2022-06-22 18:15:34,68908.4,11137.6
2022-06-22 18:15:35,68902.8,11143.1
2022-06-22 18:15:36,68890,11156
2022-06-22 18:15:37,68874.3,11171.7
2022-06-22 18:15:38,68856,11189.9
2022-06-22 18:15:39,68853,11192.8
2022-06-22 18:15:40,68839.6,11206.3
2022-06-22 18:15:41,68826.1,11219.9
2022-06-22 18:15:42,68822.2,11223.7
2022-06-22 18:15:43,68810.4,11235.5
2022-06-22 18:15:44,68790.3,11255.6
2022-06-22 18:15:45,68785.9,11260.1
2022-06-22 18:15:46,68782.5,11263.4
2022-06-22 18:15:47,68777.4,11268.5
2022-06-22 18:15:48,68773.2,11272.6
2022-06-22 18:15:49,68761,11284.9
2022-06-22 18:15:50,68747.4,11298.4
2022-06-22 18:15:51,68738.4,11307.5
2022-06-22 18:15:52,68731.4,11314.5
2022-06-22 18:15:53,68715.7,11330.2
2022-06-22 18:15:54,68708.4,11337.6
2022-06-22 18:15:55,68699.8,11346.2
2022-06-22 18:15:56,68681.1,11364.8
2022-06-22 18:15:57,68674.7,11371.1
2022-06-22 18:15:58,68665.2,11380.8
2022-06-22 18:15:59,68650.1,11395.9
2022-06-22 18:16:00,68644.5,11401.4
