time,in,out
2022-06-22 18:30:09,0,0
2022-06-22 18:30:08,30359.11,-6.636958
2022-06-22 18:30:07,124206.24,-39.24213
2022-06-22 18:30:06,196092.6,-90.25743
2022-06-22 18:30:05,196194.5,-101.05794
2022-06-22 18:30:04,196176.6,-60.08938
2022-06-22 18:30:03,196079.8,-50.27581
2022-06-22 18:30:02,196188.7,-70.99829
2022-06-22 18:30:01,196107.5,-37.44207
2022-06-22 18:30:00,196234.7,-9.964594
2022-06-22 18:29:59,196207.8,-30.63534
2022-06-22 18:29:58,196107.5,-43.3228
2022-06-22 18:29:57,196196.7,-41.35819
2022-06-22 18:29:56,196314.9,-40.30351
2022-06-22 18:29:55,196204.4,-30.41557
2022-06-22 18:29:54,196065.6,0
2022-06-22 18:29:53,196177.3,0
2022-06-22 18:29:52,196237,0
2022-06-22 18:29:51,196229.3,0
2022-06-22 18:29:50,196124.5,0
2022-06-22 18:29:49,196070.8,0
2022-06-22 18:29:48,196239.7,0
2022-06-22 18:29:47,196078.1,-4.979106
2022-06-22 18:29:46,196221.4,-7.020894
2022-06-22 18:29:45,196205.2,0
2022-06-22 18:29:44,196196.3,0
2022-06-22 18:29:43,196159.6,0
2022-06-22 18:29:42,196025.1,-58.09628
2022-06-22 18:29:41,196247.3,-81.90372
2022-06-22 18:29:40,196211.4,0
2022-06-22 18:29:39,196218.4,-434.8034
2022-06-22 18:29:38,196705.2,-619.835
2022-06-22 18:29:37,196965.5,-9.361637
2022-06-22 18:29:36,196210.2,-26.56026
2022-06-22 18:29:35,196240.2,-37.43974
2022-06-22 18:29:34,196101.6,0
2022-06-22 18:29:33,196177.4,0
2022-06-22 18:29:32,196245.5,0
2022-06-22 18:29:31,196235.9,0
2022-06-22 18:29:30,196141.3,0
2022-06-22 18:29:29,195937.7,0
2022-06-22 18:29:28,196216.6,0
2022-06-22 18:29:27,196477.5,0
2022-06-22 18:29:26,196428.5,0
2022-06-22 18:29:25,196313.8,0
2022-06-22 18:29:24,196213,0
2022-06-22 18:29:23,196117.9,0
2022-06-22 18:29:22,196422.4,-1.6590417
2022-06-22 18:29:21,195934.5,-2.340958
2022-06-22 18:29:20,196087.8,0
2022-06-22 18:29:19,196189.1,0
2022-06-22 18:29:18,196088.3,0
2022-06-22 18:29:17,196209.7,0
2022-06-22 18:29:16,196252.5,-1.6600472
2022-06-22 18:29:15,196120.9,-2.339953
2022-06-22 18:29:14,196139.2,0
2022-06-22 18:29:13,196226.6,-8.302736
2022-06-22 18:29:12,196235.2,-11.697264
2022-06-22 18:29:11,196078.1,0
2022-06-22 18:29:10,196210.3,0
2022-06-22 18:29:09,196228.8,0
2022-06-22 18:29:08,196186.5,0
2022-06-22 18:29:07,197163.6,-28.21873
2022-06-22 18:29:06,197432.9,-69.65848
2022-06-22 18:29:05,196086.3,-42.1228
2022-06-22 18:29:04,196104,0
2022-06-22 18:29:03,196136.5,0
2022-06-22 18:29:02,196215.6,0
2022-06-22 18:29:01,196271.9,-451.6345
2022-06-22 18:29:00,196315.3,-636.3655
2022-06-22 18:28:59,196414.7,0
2022-06-22 18:28:58,196284.3,0
2022-06-22 18:28:57,196454.3,0
2022-06-22 18:28:56,196325.7,0
2022-06-22 18:28:55,196191.6,0
2022-06-22 18:28:54,196398.8,0
2022-06-22 18:28:53,196094.9,0
2022-06-22 18:28:52,196140.3,0
2022-06-22 18:28:51,196155.8,0
2022-06-22 18:28:50,196249.7,-9.961802
2022-06-22 18:28:49,196337.7,-14.038198
2022-06-22 18:28:48,196155,0
2022-06-22 18:28:47,196137.9,0
2022-06-22 18:28:46,196393.2,0
2022-06-22 18:28:45,196614.2,0
2022-06-22 18:28:44,196255.2,0
2022-06-22 18:28:43,196318.9,0
2022-06-22 18:28:42,196265.2,0
2022-06-22 18:28:41,195959.2,0
2022-06-22 18:28:40,196215.5,-19.92043
2022-06-22 18:28:39,196233.3,-28.07957
2022-06-22 18:28:38,247200.8,0
2022-06-22 18:28:37,258562,0
2022-06-22 18:28:36,101247.95,0
2022-06-22 18:28:35,408.0609,0
2022-06-22 18:28:34,604.1443,0
