time,in,out
2022-06-22 18:30:24,32.5318,-28.8707
2022-06-22 18:30:25,113.657,-87.8614
2022-06-22 18:30:26,114.458,-187.419
2022-06-22 18:30:27,158.775,-414.667
2022-06-22 18:30:28,258.274,-575.734
2022-06-22 18:30:29,289.526,-595.061
2022-06-22 18:30:30,285.656,-587.755
2022-06-22 18:30:31,281.425,-579.535
2022-06-22 18:30:32,289.023,-591.051
2022-06-22 18:30:33,289.317,-593.083
2022-06-22 18:30:34,290.414,-596.546
2022-06-22 18:30:35,296.63,-607.312
2022-06-22 18:30:36,291.128,-598.217
2022-06-22 18:30:37,290.64,-600.731
2022-06-22 18:30:38,288.779,-596.005
2022-06-22 18:30:39,352.745,-693.541
2022-06-22 18:30:40,338.328,-671.799
2022-06-22 18:30:41,286.624,-588.387
2022-06-22 18:30:42,277.013,-570
2022-06-22 18:30:43,283.231,-581.186
2022-06-22 18:30:44,294.848,-604.398
2022-06-22 18:30:45,295.908,-606.257
2022-06-22 18:30:46,286.844,-588.806
2022-06-22 18:30:47,303.845,-622.717
2022-06-22 18:30:48,291.992,-621.419
2022-06-22 18:30:49,282.833,-596.637
2022-06-22 18:30:50,281.18,-575.059
2022-06-22 18:30:51,277.249,-567.856
2022-06-22 18:30:52,290.561,-595.481
2022-06-22 18:30:53,292.563,-599.765
2022-06-22 18:30:54,292.568,-600.209
2022-06-22 18:30:55,285.368,-584.967
2022-06-22 18:30:56,279.92,-574.011
2022-06-22 18:30:57,287.44,-608.983
2022-06-22 18:30:58,287.392,-606.588
2022-06-22 18:30:59,289.003,-591.284
2022-06-22 18:31:00,290.537,-593.317
2022-06-22 18:31:01,288.336,-589.01
2022-06-22 18:31:02,295.818,-605.896
2022-06-22 18:31:03,289.576,-594.518
2022-06-22 18:31:04,287.814,-590.644
2022-06-22 18:31:05,289.492,-593.089
2022-06-22 18:31:06,279.227,-574.025
2022-06-22 18:31:07,290.814,-599.807
2022-06-22 18:31:08,283.729,-582.991
2022-06-22 18:31:09,281.88,-578.449
2022-06-22 18:31:10,291.015,-596.771
2022-06-22 18:31:11,286.646,-588.204
2022-06-22 18:31:12,282.938,-581.579
2022-06-22 18:31:13,294.405,-603.413
2022-06-22 18:31:14,284.823,-581.881
2022-06-22 18:31:15,288.006,-591.661
2022-06-22 18:31:16,295.693,-607.571
2022-06-22 18:31:17,294.494,-604.309
2022-06-22 18:31:18,285.958,-587.442
2022-06-22 18:31:19,277.918,-570.228
2022-06-22 18:31:20,276.032,-567.875
2022-06-22 18:31:21,284.196,-584.792
2022-06-22 18:31:22,287.343,-588.554
2022-06-22 18:31:23,279.841,-573.38
2022-06-22 18:31:24,280.674,-573.974
2022-06-22 18:31:25,279.58,-572.129
2022-06-22 18:31:26,280.083,-575.902
2022-06-22 18:31:27,286.998,-589.872
2022-06-22 18:31:28,281.211,-576.817
2022-06-22 18:31:29,287.006,-588.413
2022-06-22 18:31:30,289.236,-591.243
2022-06-22 18:31:31,280.623,-573.195
2022-06-22 18:31:32,276.875,-565.558
2022-06-22 18:31:33,282.927,-578.594
2022-06-22 18:31:34,284.782,-582.691
2022-06-22 18:31:35,280.126,-573.808
2022-06-22 18:31:36,272.48,-559.405
2022-06-22 18:31:37,266.273,-571.037
2022-06-22 18:31:38,198.39,-587.382
2022-06-22 18:31:39,163.977,-584.752
2022-06-22 18:31:40,186.266,-578.448
2022-06-22 18:31:41,194.752,-567.582
2022-06-22 18:31:42,208.851,-586.117
2022-06-22 18:31:43,224.245,-592.843
2022-06-22 18:31:44,222.841,-567.854
2022-06-22 18:31:45,230.498,-578.122
2022-06-22 18:31:46,254.413,-594.943
2022-06-22 18:31:47,263.158,-593.903
2022-06-22 18:31:48,256.035,-580.223
2022-06-22 18:31:49,248.296,-561.305
2022-06-22 18:31:50,248.693,-560.656
2022-06-22 18:31:51,257.464,-584.053
2022-06-22 18:31:52,273.794,-599.254
2022-06-22 18:31:53,286.862,-596.443
2022-06-22 18:31:54,291.412,-596.87
2022-06-22 18:31:55,288.26,-590.178
2022-06-22 18:31:56,364.607,-598.22
2022-06-22 18:31:57,199.154,-293.725
2022-06-22 18:31:58,13.1148,-21.3189
2022-06-22 18:31:59,0,0
