time,free,used
2022-06-22 18:31:59,15581.5,427.629
2022-06-22 18:31:58,15581.5,427.629
2022-06-22 18:31:57,15581.7,427.496
2022-06-22 18:31:56,15587.7,421.465
2022-06-22 18:31:55,15586.3,422.828
2022-06-22 18:31:54,15586.6,422.594
2022-06-22 18:31:53,15586.7,422.43
2022-06-22 18:31:52,15586.7,422.426
2022-06-22 18:31:51,15586.8,422.328
2022-06-22 18:31:50,15586.9,422.258
2022-06-22 18:31:49,15587.2,422.016
2022-06-22 18:31:48,15586.2,422.965
2022-06-22 18:31:47,15586.5,422.684
2022-06-22 18:31:46,15585.3,423.922
2022-06-22 18:31:45,15584.3,424.898
2022-06-22 18:31:44,15585.8,423.387
2022-06-22 18:31:43,15587.1,422.125
2022-06-22 18:31:42,15587.8,421.406
2022-06-22 18:31:41,15587.6,421.57
2022-06-22 18:31:40,15586.4,422.754
2022-06-22 18:31:39,15587.5,421.644
2022-06-22 18:31:38,15587.9,421.305
2022-06-22 18:31:37,15588,421.18
2022-06-22 18:31:36,15586.6,422.566
2022-06-22 18:31:35,15587,422.191
2022-06-22 18:31:34,15587,422.141
2022-06-22 18:31:33,15586.8,422.398
2022-06-22 18:31:32,15587.9,421.305
2022-06-22 18:31:31,15588.3,420.836
2022-06-22 18:31:30,15587.7,421.488
2022-06-22 18:31:29,15586.2,422.937
2022-06-22 18:31:28,15586.4,422.734
2022-06-22 18:31:27,15587.4,421.805
2022-06-22 18:31:26,15586.6,422.543
2022-06-22 18:31:25,15587.7,421.519
2022-06-22 18:31:24,15588.2,421.012
2022-06-22 18:31:23,15587.4,421.762
2022-06-22 18:31:22,15587.6,421.582
2022-06-22 18:31:21,15587.6,421.625
2022-06-22 18:31:20,15587.4,421.754
2022-06-22 18:31:19,15586.3,422.848
2022-06-22 18:31:18,15586.4,422.73
2022-06-22 18:31:17,15586.7,422.492
2022-06-22 18:31:16,15587.8,421.379
2022-06-22 18:31:15,15587.5,421.687
2022-06-22 18:31:14,15587.5,421.676
2022-06-22 18:31:13,15586.7,422.488
2022-06-22 18:31:12,15588.4,420.805
2022-06-22 18:31:11,15588.3,420.887
2022-06-22 18:31:10,15588.1,421.043
2022-06-22 18:31:09,15586.7,422.488
2022-06-22 18:31:08,15587,422.176
2022-06-22 18:31:07,15586.9,422.246
2022-06-22 18:31:06,15587.6,421.531
2022-06-22 18:31:05,15587.9,421.27
2022-06-22 18:31:04,15586.8,422.34
2022-06-22 18:31:03,15586.8,422.383
2022-06-22 18:31:02,15588.3,420.922
2022-06-22 18:31:01,15587.6,421.566
2022-06-22 18:31:00,15587,422.195
2022-06-22 18:30:59,15588,421.223
2022-06-22 18:30:58,15587.2,421.953
2022-06-22 18:30:57,15587.8,421.332
2022-06-22 18:30:56,15586.1,423.047
2022-06-22 18:30:55,15586.9,422.227
2022-06-22 18:30:54,15588.2,420.93
2022-06-22 18:30:53,15588,421.219
2022-06-22 18:30:52,15587.1,422.082
2022-06-22 18:30:51,15586.9,422.227
2022-06-22 18:30:50,15588.3,420.883
2022-06-22 18:30:49,15588,421.207
2022-06-22 18:30:48,15586.9,422.27
2022-06-22 18:30:47,15587,422.152
2022-06-22 18:30:46,15588.1,421.059
2022-06-22 18:30:45,15588.2,420.949
2022-06-22 18:30:44,15588.6,420.527
2022-06-22 18:30:43,15588.3,420.922
2022-06-22 18:30:42,15587.1,422.051
2022-06-22 18:30:41,15587,422.203
2022-06-22 18:30:40,15587.3,421.828
2022-06-22 18:30:39,15587.2,422.008
2022-06-22 18:30:38,15588.8,420.379
2022-06-22 18:30:37,15588.5,420.633
2022-06-22 18:30:36,15586.6,422.527
2022-06-22 18:30:35,15587.2,421.977
2022-06-22 18:30:34,15588.8,420.348
2022-06-22 18:30:33,15588.6,420.578
2022-06-22 18:30:32,15587.6,421.566
2022-06-22 18:30:31,15588.8,420.383
2022-06-22 18:30:30,15588.1,421.031
2022-06-22 18:30:29,15587.4,421.754
2022-06-22 18:30:28,15579.4,429.77
2022-06-22 18:30:27,15578.6,430.613
2022-06-22 18:30:26,15579.4,429.824
2022-06-22 18:30:25,15569,440.195
2022-06-22 18:30:24,15581.9,427.305
