time,in,out
2022-07-09 02:55:59,2735.592,-33.47427
2022-07-09 02:55:58,3791.871,-51.54375
2022-07-09 02:55:57,762.8556,-1019.29
2022-07-09 02:55:56,25.68204,-1438.4559
2022-07-09 02:55:55,0,-531.7221
2022-07-09 02:55:54,0,-460.6818
2022-07-09 02:55:53,0,-582.3364
2022-07-09 02:55:52,0,-1419.8718
2022-07-09 02:55:51,239.8825,-1475.9785
2022-07-09 02:55:50,276.1175,-316.5049
2022-07-09 02:55:49,0,-52.35503
2022-07-09 02:55:48,0,-57.78554
2022-07-09 02:55:47,0,0
2022-07-09 02:55:46,0,0
2022-07-09 02:55:45,0,-16.738019
2022-07-09 02:55:44,0,-21.12171
2022-07-09 02:55:43,0,-2.140272
2022-07-09 02:55:42,0,0
2022-07-09 02:55:41,0,0
2022-07-09 02:55:40,0,0
2022-07-09 02:55:39,0,-7.440252
2022-07-09 02:55:38,18.60097,-8.559748
2022-07-09 02:55:37,21.39903,0
2022-07-09 02:55:36,0,0
2022-07-09 02:55:35,0,0
2022-07-09 02:55:34,137.64626,-7.440338
2022-07-09 02:55:33,158.35374,-8.559662
2022-07-09 02:55:32,0,0
2022-07-09 02:55:31,0,0
2022-07-09 02:55:30,0,0
2022-07-09 02:55:29,0,0
2022-07-09 02:55:28,26.04064,-20.4605
2022-07-09 02:55:27,29.95936,-23.5395
2022-07-09 02:55:26,0,0
2022-07-09 02:55:25,0,0
2022-07-09 02:55:24,145.08771,0
2022-07-09 02:55:23,166.91229,-40.91912
2022-07-09 02:55:22,0,-54.52031
2022-07-09 02:55:21,0,-8.56057
2022-07-09 02:55:20,0,0
2022-07-09 02:55:19,0,0
2022-07-09 02:55:18,0,0
2022-07-09 02:55:17,0,0
2022-07-09 02:55:16,20.45926,-7.439731
2022-07-09 02:55:15,23.54074,-8.560269
2022-07-09 02:55:14,0,0
2022-07-09 02:55:13,0,0
2022-07-09 02:55:12,0,0
2022-07-09 02:55:11,0,0
2022-07-09 02:55:10,0,0
2022-07-09 02:55:09,0,-9.299938
2022-07-09 02:55:08,0,-10.700062
2022-07-09 02:55:07,0,0
2022-07-09 02:55:06,0,0
2022-07-09 02:55:05,0,0
2022-07-09 02:55:04,0,0
2022-07-09 02:55:03,0,-7.43998
2022-07-09 02:55:02,0,-8.56002
2022-07-09 02:55:01,0,0
2022-07-09 02:55:00,0,0
2022-07-09 02:54:59,0,0
2022-07-09 02:54:58,0,0
2022-07-09 02:54:57,0,-14.879905
2022-07-09 02:54:56,0,-17.12009
2022-07-09 02:54:55,0,0
2022-07-09 02:54:54,0,0
2022-07-09 02:54:53,0,0
2022-07-09 02:54:52,0,-27.90088
2022-07-09 02:54:51,0,-39.53892
2022-07-09 02:54:50,0,-8.560198
2022-07-09 02:54:49,0,0
2022-07-09 02:54:48,0,0
2022-07-09 02:54:47,0,-13.018869
2022-07-09 02:54:46,0,-14.981131
2022-07-09 02:54:45,0,-7.440262
2022-07-09 02:54:44,0,-8.559738
2022-07-09 02:54:43,0,0
2022-07-09 02:54:42,0,0
2022-07-09 02:54:41,130.20696,0
2022-07-09 02:54:40,149.79304,0
2022-07-09 02:54:39,0,-9.300364
2022-07-09 02:54:38,0,-10.699636
2022-07-09 02:54:37,0,0
2022-07-09 02:54:36,0,0
2022-07-09 02:54:35,0,0
2022-07-09 02:54:34,0,0
2022-07-09 02:54:33,0,-7.440695
2022-07-09 02:54:32,414.7516,-8.559305
2022-07-09 02:54:31,477.2484,0
2022-07-09 02:54:30,0,0
2022-07-09 02:54:29,0,0
2022-07-09 02:54:28,0,0
2022-07-09 02:54:27,0,-16.741359
2022-07-09 02:54:26,0,-19.25864
2022-07-09 02:54:25,0,0
2022-07-09 02:54:24,0,0
2022-07-09 02:54:23,0,0
2022-07-09 02:54:22,172.9917,0
2022-07-09 02:54:21,199.0083,-107.89137
2022-07-09 02:54:20,0,-124.10863
2022-07-09 02:54:19,0,0
2022-07-09 02:54:18,0,0
2022-07-09 02:54:17,0,0
2022-07-09 02:54:16,0,-39.06457
2022-07-09 02:54:15,0,-44.93543
2022-07-09 02:54:14,46.50169,0
2022-07-09 02:54:13,53.49831,0
2022-07-09 02:54:12,0,0
2022-07-09 02:54:11,0,0
2022-07-09 02:54:10,0,0
2022-07-09 02:54:09,0,-9.300426
2022-07-09 02:54:08,0,-10.699574
2022-07-09 02:54:07,0,0
2022-07-09 02:54:06,0,0
2022-07-09 02:54:05,0,0
2022-07-09 02:54:04,0,0
2022-07-09 02:54:03,199.0238,-9.300178
2022-07-09 02:54:02,228.9762,-10.699822
2022-07-09 02:54:01,0,0
2022-07-09 02:54:00,0,0
2022-07-09 02:53:59,297.6137,0
2022-07-09 02:53:58,342.3863,0
2022-07-09 02:53:57,0,-5.579546
2022-07-09 02:53:56,0,-6.420454
2022-07-09 02:53:55,0,0
2022-07-09 02:53:54,0,0
2022-07-09 02:53:53,0,0
2022-07-09 02:53:52,0,-20.46051
2022-07-09 02:53:51,0,-47.71811
2022-07-09 02:53:50,0,-27.82138
2022-07-09 02:53:49,167.41195,0
2022-07-09 02:53:48,192.5881,0
2022-07-09 02:53:47,0,-40.9208
2022-07-09 02:53:46,0,-47.0792
2022-07-09 02:53:45,83.70397,-7.440353
2022-07-09 02:53:44,96.29603,-8.559647
2022-07-09 02:53:43,150.67577,0
2022-07-09 02:53:42,173.3242,0
2022-07-09 02:53:41,0,-16.740157
2022-07-09 02:53:40,0,-19.25984
2022-07-09 02:53:39,0,-7.439809
2022-07-09 02:53:38,0,-8.560191
2022-07-09 02:53:37,0,0
2022-07-09 02:53:36,0,0
2022-07-09 02:53:35,0,0
2022-07-09 02:53:34,0,0
2022-07-09 02:53:33,0,-7.440076
2022-07-09 02:53:32,0,-8.559924
2022-07-09 02:53:31,0,0
2022-07-09 02:53:30,0,0
2022-07-09 02:53:29,0,0
2022-07-09 02:53:28,0,0
2022-07-09 02:53:27,0,0
2022-07-09 02:53:26,13.020476,-7.440272
2022-07-09 02:53:25,14.979524,-8.559728
2022-07-09 02:53:24,0,0
2022-07-09 02:53:23,0,0
2022-07-09 02:53:22,0,0
2022-07-09 02:53:21,0,0
2022-07-09 02:53:20,0,-39.05661
2022-07-09 02:53:19,0,-44.94339
2022-07-09 02:53:18,0,0
2022-07-09 02:53:17,0,0
2022-07-09 02:53:16,208.334,0
2022-07-09 02:53:15,239.666,-7.439635
2022-07-09 02:53:14,53.93554,-8.560365
2022-07-09 02:53:13,62.06446,0
2022-07-09 02:53:12,0,0
2022-07-09 02:53:11,0,0
2022-07-09 02:53:10,0,-14.880595
2022-07-09 02:53:09,0,-17.1194
2022-07-09 02:53:08,0,0
2022-07-09 02:53:07,0,0
2022-07-09 02:53:06,0,0
2022-07-09 02:53:05,0,-22.31931
2022-07-09 02:53:04,0,-25.68069
2022-07-09 02:53:03,0,-7.44008
2022-07-09 02:53:02,0,-8.55992
2022-07-09 02:53:01,0,0
2022-07-09 02:53:00,0,0
2022-07-09 02:52:59,0,0
2022-07-09 02:52:58,0,0
2022-07-09 02:52:57,0,-7.43963
2022-07-09 02:52:56,0,-8.56037
2022-07-09 02:52:55,0,0
2022-07-09 02:52:54,0,0
2022-07-09 02:52:53,0,0
2022-07-09 02:52:52,0,0
2022-07-09 02:52:51,0,-14.877633
2022-07-09 02:52:50,0,-17.12237
2022-07-09 02:52:49,0,-24.17807
2022-07-09 02:52:48,0,-27.82193
2022-07-09 02:52:47,446.3647,0
2022-07-09 02:52:46,513.6353,0
2022-07-09 02:52:45,27.89661,-7.439095
2022-07-09 02:52:44,32.10339,-8.560905
2022-07-09 02:52:43,0,0
2022-07-09 02:52:42,0,0
2022-07-09 02:52:41,169.252,0
2022-07-09 02:52:40,194.748,0
2022-07-09 02:52:39,117.20033,-7.441291
2022-07-09 02:52:38,134.79967,-8.558709
2022-07-09 02:52:37,13.020102,0
2022-07-09 02:52:36,14.979898,0
2022-07-09 02:52:35,63.23729,0
2022-07-09 02:52:34,72.76271,0
2022-07-09 02:52:33,0,0
2022-07-09 02:52:32,0,0
2022-07-09 02:52:31,182.297,0
2022-07-09 02:52:30,209.703,-18.6009
2022-07-09 02:52:29,174.8231,-34.41784
2022-07-09 02:52:28,201.1769,-14.981259
2022-07-09 02:52:27,115.31314,-7.439557
2022-07-09 02:52:26,132.68686,-8.560443
2022-07-09 02:52:25,0,0
2022-07-09 02:52:24,714.1462,0
2022-07-09 02:52:23,821.8538,0
2022-07-09 02:52:22,0,0
2022-07-09 02:52:21,0,-14.878948
2022-07-09 02:52:20,76.25912,-17.12105
2022-07-09 02:52:19,87.74088,-29.76021
2022-07-09 02:52:18,0,-34.23979
2022-07-09 02:52:17,0,0
2022-07-09 02:52:16,9.299438,0
2022-07-09 02:52:15,10.700562,-5.579767
2022-07-09 02:52:14,0,-6.420233
2022-07-09 02:52:13,0,-70.68198
2022-07-09 02:52:12,195.3028,-81.31802
2022-07-09 02:52:11,224.6972,0
2022-07-09 02:52:10,0,0
2022-07-09 02:52:09,0,-9.300085
2022-07-09 02:52:08,146.93806,-10.699915
2022-07-09 02:52:07,169.0619,0
2022-07-09 02:52:06,334.7893,0
2022-07-09 02:52:05,385.2107,0
2022-07-09 02:52:04,0,0
2022-07-09 02:52:03,0,-9.299695
2022-07-09 02:52:02,156.2663,-10.700305
2022-07-09 02:52:01,179.7337,0
2022-07-09 02:52:00,398.0319,0
