time,in,out
2022-07-09 01:36:23,0,0
2022-07-09 01:36:24,540.395,0
2022-07-09 01:36:25,12250.1,-49.0995
2022-07-09 01:36:26,17924.7,-267.701
2022-07-09 01:36:27,13263.3,-177.669
2022-07-09 01:36:28,3790.49,-25.5308
2022-07-09 01:36:29,5000.9,-38.2996
2022-07-09 01:36:30,3678.57,-21.7004
2022-07-09 01:36:31,4387.94,-40.5765
2022-07-09 01:36:32,3661.43,-19.4235
2022-07-09 01:36:33,5614.68,-89.3
2022-07-09 01:36:34,3598.13,-46.7
2022-07-09 01:36:35,5631.68,0
2022-07-09 01:36:36,5367.72,-40.8496
2022-07-09 01:36:37,6298.52,-30.8056
2022-07-09 01:36:38,3601.27,-4.34476
2022-07-09 01:36:39,5439.64,-10.5064
2022-07-09 01:36:40,5164.54,-5.4936
2022-07-09 01:36:41,7042.88,0
2022-07-09 01:36:42,16162.5,-73038.8
2022-07-09 01:36:43,31954.1,-34233.5
2022-07-09 01:36:44,20820.7,-324.223
2022-07-09 01:36:45,15571.9,-284.665
2022-07-09 01:36:46,11696.3,-273.118
2022-07-09 01:36:47,10586.3,-118.959
2022-07-09 01:36:48,9401.61,-124.782
2022-07-09 01:36:49,7074.22,-388.817
2022-07-09 01:36:50,45968.6,-522.736
2022-07-09 01:36:51,73507.3,-186.439
2022-07-09 01:36:52,77892,-1845.12
2022-07-09 01:36:53,41000.8,-1469.45
2022-07-09 01:36:54,16820.1,-1233.42
2022-07-09 01:36:55,23751,-1426.28
2022-07-09 01:36:56,24269.7,-695.206
2022-07-09 01:36:57,23277.2,-148.316
2022-07-09 01:36:58,15534,-14.2128
2022-07-09 01:36:59,22682.7,-142.224
2022-07-09 01:37:00,21460.9,-222.578
2022-07-09 01:37:01,16098,-286.378
2022-07-09 01:37:02,57033.1,-476.309
2022-07-09 01:37:03,158059,-184.511
2022-07-09 01:37:04,266970,-36.6604
2022-07-09 01:37:05,291897,-60.0102
2022-07-09 01:37:06,242603,-44.0966
2022-07-09 01:37:07,250643,-249.364
2022-07-09 01:37:08,435571,-133.869
2022-07-09 01:37:09,740451,-180.468
2022-07-09 01:37:10,869400,-223.552
2022-07-09 01:37:11,881522,-3046.97
2022-07-09 01:37:12,728315,-1439.07
2022-07-09 01:37:13,668734,-46894.2
2022-07-09 01:37:14,665950,-25335.5
2022-07-09 01:37:15,652583,-16193
2022-07-09 01:37:16,648048,-19151
2022-07-09 01:37:17,630979,-25464.1
2022-07-09 01:37:18,434155,-13058.2
2022-07-09 01:37:19,181121,-1617.03
2022-07-09 01:37:20,95151.4,-437.684
2022-07-09 01:37:21,90667.5,-207.257
