time,free,used,cached,buffers
2022-07-09 04:16:05,25748.53,5636.328,709.707,17.67188
2022-07-09 04:16:04,25758.34,5633.375,702.8555,17.66797
2022-07-09 04:16:03,25303.78,6087.773,703.0156,17.66797
2022-07-09 04:16:02,25324.5,6069.074,700.9961,17.66016
2022-07-09 04:16:01,25324.66,6068.922,700.9883,17.66016
2022-07-09 04:16:00,25329.03,6064.559,700.9922,17.65234
2022-07-09 04:15:59,25329.59,6064.012,700.9922,17.64453
2022-07-09 04:15:58,25328.32,6065.281,700.9922,17.64453
2022-07-09 04:15:57,25335.24,6058.359,700.9922,17.64453
2022-07-09 04:15:56,25337.02,6056.574,700.9922,17.64453
2022-07-09 04:15:55,25344.68,6051.555,698.3945,17.60156
2022-07-09 04:15:54,25344.38,6051.871,698.3867,17.60156
2022-07-09 04:15:53,25344.65,6051.602,698.3789,17.60156
2022-07-09 04:15:52,25344.68,6051.57,698.3867,17.59375
2022-07-09 04:15:51,25344.65,6051.602,698.3867,17.59375
2022-07-09 04:15:50,25344.68,6051.57,698.3867,17.59375
2022-07-09 04:15:49,25344.71,6051.539,698.3867,17.59375
2022-07-09 04:15:48,25344.58,6051.68,698.3828,17.59375
2022-07-09 04:15:47,25345.01,6051.25,698.3828,17.59375
2022-07-09 04:15:46,25344.75,6051.512,698.3828,17.58594
2022-07-09 04:15:45,25344.79,6051.48,698.3828,17.58594
2022-07-09 04:15:44,25344.75,6051.52,698.3828,17.58594
2022-07-09 04:15:43,25344.44,6051.828,698.3828,17.58594
2022-07-09 04:15:42,25344.67,6051.598,698.3828,17.58594
2022-07-09 04:15:41,25344.48,6051.781,698.3828,17.58594
2022-07-09 04:15:40,25344.24,6052.035,698.3828,17.57812
2022-07-09 04:15:39,25344.73,6051.543,698.3828,17.57812
2022-07-09 04:15:38,25344.48,6051.789,698.3828,17.57812
2022-07-09 04:15:37,25344.52,6051.754,698.3867,17.57812
2022-07-09 04:15:36,25344.73,6051.539,698.3867,17.57812
2022-07-09 04:15:35,25344.48,6051.785,698.3867,17.57812
2022-07-09 04:15:34,25344.76,6051.516,698.3867,17.57031
2022-07-09 04:15:33,25344.73,6051.547,698.3867,17.57031
2022-07-09 04:15:32,25344.48,6051.793,698.3867,17.57031
2022-07-09 04:15:31,25344.64,6051.641,698.3867,17.57031
2022-07-09 04:15:30,25345.01,6051.27,698.3867,17.57031
2022-07-09 04:15:29,25344.7,6051.586,698.3789,17.57031
2022-07-09 04:15:28,25344.97,6051.316,698.3867,17.5625
2022-07-09 04:15:27,25344.8,6051.484,698.3867,17.5625
2022-07-09 04:15:26,25344.73,6051.559,698.3828,17.5625
2022-07-09 04:15:25,25344.98,6051.312,698.3828,17.5625
2022-07-09 04:15:24,25344.79,6051.496,698.3828,17.5625
2022-07-09 04:15:23,25344.76,6051.527,698.3828,17.5625
2022-07-09 04:15:22,25345.01,6051.289,698.3828,17.55469
2022-07-09 04:15:21,25344.76,6051.535,698.3828,17.55469
2022-07-09 04:15:20,25344.76,6051.535,698.3828,17.55469
2022-07-09 04:15:19,25344.45,6051.844,698.3828,17.55469
2022-07-09 04:15:18,25344.45,6051.844,698.3828,17.55469
2022-07-09 04:15:17,25344.53,6051.762,698.3867,17.55469
2022-07-09 04:15:16,25344.5,6051.801,698.3867,17.54688
2022-07-09 04:15:15,25344.24,6052.062,698.3867,17.54688
2022-07-09 04:15:14,25344.24,6052.062,698.3867,17.54688
2022-07-09 04:15:13,25344.02,6052.277,698.3867,17.54688
2022-07-09 04:15:12,25343.99,6052.309,698.3867,17.54688
2022-07-09 04:15:11,25343.96,6052.34,698.3867,17.54688
2022-07-09 04:15:10,25343.99,6052.316,698.3789,17.54688
2022-07-09 04:15:09,25343.99,6052.316,698.3867,17.53906
2022-07-09 04:15:08,25344.21,6052.102,698.3867,17.53906
2022-07-09 04:15:07,25343.93,6052.379,698.3867,17.53906
2022-07-09 04:15:06,25343.94,6052.375,698.3828,17.53906
2022-07-09 04:15:05,25343.91,6052.398,698.3828,17.53906
2022-07-09 04:15:04,25344.01,6052.305,698.3828,17.53906
2022-07-09 04:15:03,25344.22,6052.098,698.3828,17.53125
2022-07-09 04:15:02,25344.25,6052.066,698.3828,17.53125
2022-07-09 04:15:01,25343.95,6052.375,698.3828,17.53125
