time,in,out
2022-07-06 18:27:55,76708.71,-17.23133
2022-07-06 18:27:54,185920.1,-67.61569
2022-07-06 18:27:53,196295.6,-66.06881
2022-07-06 18:27:52,196169.9,-19.42645
2022-07-06 18:27:51,196270,-13.657719
2022-07-06 18:27:50,195969.4,-17.20255
2022-07-06 18:27:49,196126.7,-27.97119
2022-07-06 18:27:48,196126.1,-15.425459
2022-07-06 18:27:47,196144.1,-18.289
2022-07-06 18:27:46,196182.6,-19.46252
2022-07-06 18:27:45,196508.8,-24.00138
2022-07-06 18:27:44,196241.9,-13.647898
2022-07-06 18:27:43,195731.9,-10.32544
2022-07-06 18:27:42,196202.4,-22.28631
2022-07-06 18:27:41,196394.5,-13.115151
2022-07-06 18:27:40,196170.6,-5.718077
2022-07-06 18:27:39,196050.5,-18.34552
2022-07-06 18:27:38,196213.6,-33.75185
2022-07-06 18:27:37,196151.2,-56.59012
2022-07-06 18:27:36,196218,-82.30005
2022-07-06 18:27:35,196104.4,-71.44988
2022-07-06 18:27:34,196309.9,-61.85472
2022-07-06 18:27:33,196210.9,-55.35202
2022-07-06 18:27:32,196096.3,-124.86106
2022-07-06 18:27:31,196261.3,-133.77642
2022-07-06 18:27:30,195907.4,-2.273385
2022-07-06 18:27:29,196286.7,-3.442781
2022-07-06 18:27:28,196235,-6.281445
2022-07-06 18:27:27,195904.3,-4.000594
2022-07-06 18:27:26,196420.4,-40.28966
2022-07-06 18:27:25,196627.6,-51.70738
2022-07-06 18:27:24,196112.6,-2.278142
2022-07-06 18:27:23,196151.9,0
2022-07-06 18:27:22,196321.5,0
2022-07-06 18:27:21,196020.1,-1.719707
2022-07-06 18:27:20,196143.2,-2.280293
2022-07-06 18:27:19,196173.2,0
2022-07-06 18:27:18,196100.1,0
2022-07-06 18:27:17,196237.2,-5.16802
2022-07-06 18:27:16,196415.1,-22.35806
2022-07-06 18:27:15,196202.5,-23.9242
2022-07-06 18:27:14,195985.6,-6.283783
2022-07-06 18:27:13,196303,-4.00491
2022-07-06 18:27:12,196196.3,-2.26103
2022-07-06 18:27:11,196160.5,-5.226982
2022-07-06 18:27:10,196007.5,-15.495047
2022-07-06 18:27:09,195994.1,-35.69858
2022-07-06 18:27:08,196469.9,-31.57939
2022-07-06 18:27:07,196266,0
2022-07-06 18:27:06,196030.6,-1.731851
2022-07-06 18:27:05,196068.6,-4.00014
2022-07-06 18:27:04,196353.4,-29.98033
2022-07-06 18:27:03,196215.9,-62.32826
2022-07-06 18:27:02,195925.9,-80.83719
2022-07-06 18:27:01,196226.3,-94.10197
2022-07-06 18:27:00,196250.5,-84.96912
2022-07-06 18:26:59,196048.8,-92.44109
2022-07-06 18:26:58,196190.3,-87.70347
2022-07-06 18:26:57,196067,-98.3922
2022-07-06 18:26:56,196164.1,-89.49917
2022-07-06 18:26:55,196062.4,-40.94454
2022-07-06 18:26:54,196345.6,-12.535072
2022-07-06 18:26:53,196396,-6.273226
2022-07-06 18:26:52,196295.7,-2.26237
2022-07-06 18:26:51,196092.5,-5.220128
2022-07-06 18:26:50,195985.8,-8.511765
2022-07-06 18:26:49,196128.1,-2.268107
2022-07-06 18:26:48,196088.8,-8.696063
2022-07-06 18:26:47,196197.3,-11.303937
2022-07-06 18:26:46,196170.8,-1.732574
2022-07-06 18:26:45,196161.5,-9.212498
2022-07-06 18:26:44,196262,-24.6914
2022-07-06 18:26:43,196002.9,-53.28165
2022-07-06 18:26:42,196222.4,-46.54757
2022-07-06 18:26:41,196592.5,-18.43629
2022-07-06 18:26:40,196303.2,-51.22591
2022-07-06 18:26:39,195831.3,-88.2178
2022-07-06 18:26:38,196136.4,-95.20155
2022-07-06 18:26:37,195995.5,-109.81898
2022-07-06 18:26:36,196066.4,-142.24646
2022-07-06 18:26:35,196171.4,-86.32969
2022-07-06 18:26:34,196349.6,-12.531461
2022-07-06 18:26:33,196179.2,-18.38229
2022-07-06 18:26:32,196072.6,-21.60806
2022-07-06 18:26:31,196239.4,-7.999558
2022-07-06 18:26:30,196125.9,-8.001218
2022-07-06 18:26:29,196205.9,-6.267495
2022-07-06 18:26:28,196144.8,-14.396872
2022-07-06 18:26:27,196058.4,-15.870663
2022-07-06 18:26:26,196225.6,-3.464751
2022-07-06 18:26:25,196131.1,-4.535249
2022-07-06 18:26:24,196118.3,-1.73945
2022-07-06 18:26:23,196280,-3.997852
2022-07-06 18:26:22,196276.8,-4.001417
2022-07-06 18:26:21,196056.7,-10.924793
2022-07-06 18:26:20,196537,-20.03017
2022-07-06 18:26:19,196191.2,-14.787674
2022-07-06 18:26:18,195775.3,-7.982395
2022-07-06 18:26:17,196155.5,-6.268637
2022-07-06 18:26:16,196071.4,-7.465374
2022-07-06 18:26:15,196227.9,-13.731511
2022-07-06 18:26:14,196182.7,-9.070724
2022-07-06 18:26:13,196085.3,-6.935477
2022-07-06 18:26:12,196161.7,-9.064523
2022-07-06 18:26:11,196406.8,0
2022-07-06 18:26:10,196202.2,0
2022-07-06 18:26:09,195989.2,-1.733354
2022-07-06 18:26:08,196205.4,-4.000663
2022-07-06 18:26:07,196291.3,-3.998067
2022-07-06 18:26:06,196040.5,-5.734347
2022-07-06 18:26:05,196153.8,-4.533568
2022-07-06 18:26:04,196284.8,0
2022-07-06 18:26:03,196177.9,-6.941551
2022-07-06 18:26:02,196246.2,-9.058449
2022-07-06 18:26:01,196022.5,-15.60597
2022-07-06 18:26:00,196109.2,-20.39403
2022-07-06 18:25:59,196238.4,0
2022-07-06 18:25:58,195986.2,0
2022-07-06 18:25:57,196140.5,0
2022-07-06 18:25:56,197037.1,0
2022-07-06 18:25:55,196342.9,-1.758404
2022-07-06 18:25:54,195251.5,-2.241596
2022-07-06 18:25:53,196167,0
2022-07-06 18:25:52,196266,0
2022-07-06 18:25:51,196230.1,0
2022-07-06 18:25:50,196057.7,-1.73335
2022-07-06 18:25:49,195991.4,-2.26665
2022-07-06 18:25:48,196252.5,-1.732631
2022-07-06 18:25:47,196125.4,-2.267369
2022-07-06 18:25:46,196124.8,0
2022-07-06 18:25:45,196268.2,-5.20228
2022-07-06 18:25:44,196494.5,-6.79772
2022-07-06 18:25:43,196370.4,-6.97039
2022-07-06 18:25:42,195794.8,-10.766063
2022-07-06 18:25:41,196074,-2.263547
2022-07-06 18:25:40,196297.4,-1.73489
2022-07-06 18:25:39,196083.7,-3.999748
2022-07-06 18:25:38,196109.6,-10.939947
2022-07-06 18:25:37,196055.5,-125.62626
2022-07-06 18:25:36,196316.4,-149.69915
2022-07-06 18:25:35,196374.9,0
2022-07-06 18:25:34,195993.5,0
2022-07-06 18:25:33,196148.4,0
2022-07-06 18:25:32,196714.3,-31.23505
