time,free,used
2022-06-23 13:26:02,27658.5,4453.75
2022-06-23 13:26:01,27661.7,4450.57
2022-06-23 13:26:00,27258.8,4853.46
2022-06-23 13:25:59,27267.3,4844.95
2022-06-23 13:25:58,27272.6,4839.66
2022-06-23 13:25:57,27272.4,4839.81
2022-06-23 13:25:56,27272.3,4839.93
2022-06-23 13:25:55,27280.7,4831.5
2022-06-23 13:25:54,27280.4,4831.8
2022-06-23 13:25:53,27280.6,4831.69
2022-06-23 13:25:52,27280.2,4832.02
2022-06-23 13:25:51,27280.3,4831.9
2022-06-23 13:25:50,27280.3,4831.98
2022-06-23 13:25:49,27280.1,4832.16
2022-06-23 13:25:48,27276.3,4835.98
2022-06-23 13:25:47,27276.4,4835.81
2022-06-23 13:25:46,27276.2,4835.99
2022-06-23 13:25:45,27275.9,4836.28
2022-06-23 13:25:44,27291.3,4820.91
2022-06-23 13:25:43,27291.5,4820.79
2022-06-23 13:25:42,27291.5,4820.79
2022-06-23 13:25:41,27291.9,4820.3
2022-06-23 13:25:40,27292.2,4820.02
2022-06-23 13:25:39,27292.2,4820.02
2022-06-23 13:25:38,27292.3,4819.96
2022-06-23 13:25:37,27292.2,4820.04
2022-06-23 13:25:36,27293.2,4819.01
2022-06-23 13:25:35,27293,4819.27
2022-06-23 13:25:34,27293.5,4818.77
2022-06-23 13:25:33,27293.2,4818.99
2022-06-23 13:25:32,27293.3,4818.97
2022-06-23 13:25:31,27293.2,4819
2022-06-23 13:25:30,27293,4819.29
2022-06-23 13:25:29,27293.3,4818.95
2022-06-23 13:25:28,27293.4,4818.83
2022-06-23 13:25:27,27293.5,4818.77
2022-06-23 13:25:26,27293.3,4818.97
2022-06-23 13:25:25,27293.5,4818.78
2022-06-23 13:25:24,27293.1,4819.1
2022-06-23 13:25:23,27293.2,4819.04
2022-06-23 13:25:22,27292.9,4819.28
2022-06-23 13:25:21,27293,4819.28
2022-06-23 13:25:20,27293.2,4819.05
2022-06-23 13:25:19,27293.4,4818.83
2022-06-23 13:25:18,27293.7,4818.56
2022-06-23 13:25:17,27293.7,4818.53
2022-06-23 13:25:16,27293.4,4818.81
2022-06-23 13:25:15,27293.1,4819.09
2022-06-23 13:25:14,27293.2,4819.06
2022-06-23 13:25:13,27293.4,4818.84
2022-06-23 13:25:12,27292.9,4819.38
2022-06-23 13:25:11,27292.9,4819.31
2022-06-23 13:25:10,27292.9,4819.34
2022-06-23 13:25:09,27293,4819.25
2022-06-23 13:25:08,27292.9,4819.31
2022-06-23 13:25:07,27292.8,4819.39
2022-06-23 13:25:06,27292.9,4819.31
2022-06-23 13:25:05,27293.2,4819.07
2022-06-23 13:25:04,27292.9,4819.32
2022-06-23 13:25:03,27292.7,4819.57
2022-06-23 13:25:02,27292.4,4819.79
2022-06-23 13:25:01,27292.5,4819.78
2022-06-23 13:25:00,27292.2,4820.04
2022-06-23 13:24:59,27292.5,4819.75
2022-06-23 13:24:58,27292,4820.23
2022-06-23 13:24:57,27292.4,4819.86
2022-06-23 13:24:56,27292.1,4820.09
2022-06-23 13:24:55,27292.1,4820.11
2022-06-23 13:24:54,27292.1,4820.09
2022-06-23 13:24:53,27292.4,4819.81
2022-06-23 13:24:52,27292.3,4819.91
2022-06-23 13:24:51,27292.1,4820.16
2022-06-23 13:24:50,27292.1,4820.15
2022-06-23 13:24:49,27291.9,4820.36
2022-06-23 13:24:48,27291.1,4821.14
2022-06-23 13:24:47,27291.1,4821.17
2022-06-23 13:24:46,27290.9,4821.35
2022-06-23 13:24:45,27290.9,4821.31
2022-06-23 13:24:44,27291.4,4820.85
2022-06-23 13:24:43,27291.6,4820.67
2022-06-23 13:24:42,27291.3,4820.89
2022-06-23 13:24:41,27291.5,4820.7
2022-06-23 13:24:40,27291.9,4820.36
2022-06-23 13:24:39,27292,4820.2
2022-06-23 13:24:38,27291.8,4820.39
2022-06-23 13:24:37,27291.8,4820.45
2022-06-23 13:24:36,27291.6,4820.63
2022-06-23 13:24:35,27291.8,4820.42
2022-06-23 13:24:34,27291.5,4820.71
2022-06-23 13:24:33,27291.5,4820.73
2022-06-23 13:24:32,27291.5,4820.7
2022-06-23 13:24:31,27291,4821.23
2022-06-23 13:24:30,27290.8,4821.39
2022-06-23 13:24:29,27291.2,4821.02
2022-06-23 13:24:28,27291.4,4820.8
2022-06-23 13:24:27,27291.5,4820.78
2022-06-23 13:24:26,27291.2,4821
2022-06-23 13:24:25,27291.4,4820.82
2022-06-23 13:24:24,27290.5,4821.73
2022-06-23 13:24:23,27290.4,4821.86
2022-06-23 13:24:22,27290.4,4821.79
2022-06-23 13:24:21,27290.1,4822.11
2022-06-23 13:24:20,27290.3,4821.98
2022-06-23 13:24:19,27290.7,4821.55
2022-06-23 13:24:18,27290.7,4821.52
2022-06-23 13:24:17,27290.5,4821.77
2022-06-23 13:24:16,27290.2,4822.07
2022-06-23 13:24:15,27290.4,4821.84
2022-06-23 13:24:14,27290.7,4821.55
2022-06-23 13:24:13,27290.4,4821.86
2022-06-23 13:24:12,27290.4,4821.82
2022-06-23 13:24:11,27290.6,4821.62
2022-06-23 13:24:10,27291.1,4821.09
2022-06-23 13:24:09,27279.3,4832.92
2022-06-23 13:24:08,27279.6,4832.67
2022-06-23 13:24:07,27279.2,4833.04
2022-06-23 13:24:06,27279.8,4832.46
2022-06-23 13:24:05,27279.3,4832.93
2022-06-23 13:24:04,27279.3,4832.96
2022-06-23 13:24:03,27279.5,4832.71
2022-06-23 13:24:02,27279.2,4833
2022-06-23 13:24:01,27279.8,4832.45
2022-06-23 13:24:00,27280,4832.27
2022-06-23 13:23:59,27267.7,4844.57
2022-06-23 13:23:58,27268,4844.25
2022-06-23 13:23:57,27268.5,4843.78
2022-06-23 13:23:56,27292.6,4819.63
2022-06-23 13:23:55,27292.3,4819.94
2022-06-23 13:23:54,27292.3,4819.94
2022-06-23 13:23:53,27292.2,4819.99
2022-06-23 13:23:52,27292.8,4819.47
2022-06-23 13:23:51,27292.5,4819.72
2022-06-23 13:23:50,27292.3,4819.91
2022-06-23 13:23:49,27292.4,4819.88
2022-06-23 13:23:48,27292.1,4820.13
2022-06-23 13:23:47,27292.3,4819.93
2022-06-23 13:23:46,27292.5,4819.72
2022-06-23 13:23:45,27292.3,4819.93
2022-06-23 13:23:44,27292.1,4820.16
2022-06-23 13:23:43,27292.5,4819.72
2022-06-23 13:23:42,27292.5,4819.7
2022-06-23 13:23:41,27292.3,4819.89
2022-06-23 13:23:40,27292.1,4820.11
2022-06-23 13:23:39,27292.6,4819.68
2022-06-23 13:23:38,27292.4,4819.87
2022-06-23 13:23:37,27292.5,4819.77
2022-06-23 13:23:36,27291.5,4820.76
2022-06-23 13:23:35,27291.5,4820.77
2022-06-23 13:23:34,27291.7,4820.53
2022-06-23 13:23:33,27291.5,4820.74
2022-06-23 13:23:32,27291.4,4820.78
2022-06-23 13:23:31,27291.4,4820.82
2022-06-23 13:23:30,27291.1,4821.1
2022-06-23 13:23:29,27291.4,4820.79
2022-06-23 13:23:28,27291.4,4820.83
2022-06-23 13:23:27,27291.4,4820.86
2022-06-23 13:23:26,27291.2,4821.05
