time,in,out
2022-06-23 13:43:18,11.055319,-14.97507
2022-06-23 13:43:17,21.04832,-29.06895
2022-06-23 13:43:16,5.712851,-12.305988
2022-06-23 13:43:15,3.015861,-7.399365
2022-06-23 13:43:14,1.863934,-7.03555
2022-06-23 13:43:13,733.6923,-46.8712
2022-06-23 13:43:12,302456.4,-302152.8
2022-06-23 13:43:11,1046084.5,-1047938.9
2022-06-23 13:43:10,1403153.5,-1403793.1
2022-06-23 13:43:09,1403005.5,-1403143.9
2022-06-23 13:43:08,1407581.8,-1406598.7
2022-06-23 13:43:07,1390716.2,-1390689
2022-06-23 13:43:06,1399705.4,-1399098.5
2022-06-23 13:43:05,1406627.2,-1405012.3
2022-06-23 13:43:04,1417727.8,-1416309.5
2022-06-23 13:43:03,1410794.1,-1410032.9
2022-06-23 13:43:02,1423865.3,-1423730.9
2022-06-23 13:43:01,1423403.1,-1423384
2022-06-23 13:43:00,1403783.1,-1403209.2
2022-06-23 13:42:59,1387946.6,-1387073.9
2022-06-23 13:42:58,1387325,-1388322.5
2022-06-23 13:42:57,1426012.1,-1427319.8
2022-06-23 13:42:56,1410041.8,-1408628
2022-06-23 13:42:55,1429382.2,-1427057.7
2022-06-23 13:42:54,1434617.8,-1433897.1
2022-06-23 13:42:53,1363089.8,-1362941.9
2022-06-23 13:42:52,1382076.1,-1384064.8
2022-06-23 13:42:51,1415288.3,-1415711.1
2022-06-23 13:42:50,1417731.3,-1418196.8
2022-06-23 13:42:49,1424414.7,-1423648.4
2022-06-23 13:42:48,1393301.1,-1390251.8
2022-06-23 13:42:47,1416139.2,-1411145
2022-06-23 13:42:46,1430278.7,-1429194.4
2022-06-23 13:42:45,1409196.3,-1408018.9
2022-06-23 13:42:44,1376925.2,-1375438.7
2022-06-23 13:42:43,1394527.9,-1393336.7
2022-06-23 13:42:42,1303261.2,-1302912.3
2022-06-23 13:42:41,1338476.8,-1338711.3
2022-06-23 13:42:40,1410060.6,-1410630.3
2022-06-23 13:42:39,1399987.5,-1398374.3
