time,free,used,cached,buffers
2022-06-23 10:59:26,187.8477,340.0781,15477.953,3.296875
2022-06-23 10:59:25,189.1523,339.668,15477.059,3.296875
2022-06-23 10:59:24,186.5469,335.4922,15483.84,3.296875
2022-06-23 10:59:23,179.3438,333.7812,15492.754,3.296875
2022-06-23 10:59:22,195.0547,334.7344,15476.09,3.296875
2022-06-23 10:59:21,185.3711,334.4844,15486.023,3.296875
2022-06-23 10:59:20,174.8359,335.1133,15495.93,3.296875
2022-06-23 10:59:19,191.8125,335.1367,15478.93,3.296875
2022-06-23 10:59:18,181.7969,334.1211,15489.961,3.296875
2022-06-23 10:59:17,198.6797,334.4844,15472.715,3.296875
2022-06-23 10:59:16,188.4336,335.2773,15482.168,3.296875
2022-06-23 10:59:15,178.9141,334.8242,15492.141,3.296875
2022-06-23 10:59:14,196.0391,334.3672,15475.473,3.296875
2022-06-23 10:59:13,187.2383,333.3203,15485.32,3.296875
2022-06-23 10:59:12,186.9805,334.8359,15484.062,3.296875
2022-06-23 10:59:11,178.0352,334.3633,15493.48,3.296875
2022-06-23 10:59:10,175.5195,334.6875,15495.672,3.296875
2022-06-23 10:59:09,191.4922,335.3242,15479.062,3.296875
2022-06-23 10:59:08,182.5625,334.832,15488.484,3.296875
2022-06-23 10:59:07,198.4727,334.9609,15472.445,3.296875
2022-06-23 10:59:06,188.8633,334.6953,15482.32,3.296875
2022-06-23 10:59:05,180.1953,333.5,15492.184,3.296875
2022-06-23 10:59:04,195.6133,334.1211,15476.145,3.296875
2022-06-23 10:59:03,184.9609,333.6953,15487.223,3.296875
2022-06-23 10:59:02,201.5664,335.0781,15469.242,3.289062
2022-06-23 10:59:01,192.7461,334.4883,15478.652,3.289062
2022-06-23 10:59:00,183.4805,333.7812,15488.625,3.289062
2022-06-23 10:58:59,140.15234,332.9727,15532.762,3.289062
2022-06-23 10:58:58,140.51953,333.0625,15532.305,3.289062
2022-06-23 10:58:57,142.5625,334.875,15528.449,3.289062
2022-06-23 10:58:56,144.50391,333.6367,15527.746,3.289062
2022-06-23 10:58:55,150.42969,332.6289,15522.828,3.289062
2022-06-23 10:58:54,146.03125,333.6406,15526.215,3.289062
2022-06-23 10:58:53,145.21484,334.9766,15525.695,3.289062
2022-06-23 10:58:52,150.99609,333.7031,15521.188,3.289062
2022-06-23 10:58:51,148.02734,333.7227,15524.137,3.289062
2022-06-23 10:58:50,148.04297,334.0664,15523.777,3.289062
2022-06-23 10:58:49,149.91016,332.6484,15523.328,3.289062
2022-06-23 10:58:48,150.34766,332.8242,15522.715,3.289062
2022-06-23 10:58:47,149.82422,334.2461,15521.816,3.289062
2022-06-23 10:58:46,157.05078,334.9375,15513.898,3.289062
2022-06-23 10:58:45,154.80859,334.2578,15516.82,3.289062
2022-06-23 10:58:44,180.5703,331.9648,15493.352,3.289062
2022-06-23 10:58:43,194.1797,334.6172,15477.09,3.289062
2022-06-23 10:58:42,198.9297,334.1875,15472.77,3.289062
2022-06-23 10:58:41,189.1328,333.5547,15483.199,3.289062
2022-06-23 10:58:40,179.0898,333.6719,15493.125,3.289062
2022-06-23 10:58:39,194.793,333.7617,15477.332,3.289062
