time,free,used
2022-06-23 20:06:14,31588.7,523.504
2022-06-23 20:06:13,31589.4,522.836
2022-06-23 20:06:12,31588,524.215
2022-06-23 20:06:11,31584,528.195
2022-06-23 20:06:10,31583.8,528.422
2022-06-23 20:06:09,31583.8,528.449
2022-06-23 20:06:08,31584.2,528.019
2022-06-23 20:06:07,31584.3,527.941
2022-06-23 20:06:06,31584.3,527.902
2022-06-23 20:06:05,31584.5,527.777
2022-06-23 20:06:04,31584.7,527.555
2022-06-23 20:06:03,31584.7,527.531
2022-06-23 20:06:02,31584.9,527.371
2022-06-23 20:06:01,31584.7,527.562
2022-06-23 20:06:00,31585,527.273
2022-06-23 20:05:59,31584.6,527.594
2022-06-23 20:05:58,31584.7,527.527
2022-06-23 20:05:57,31584.1,528.102
2022-06-23 20:05:56,31584.4,527.836
2022-06-23 20:05:55,31584.2,528.078
2022-06-23 20:05:54,31584.2,528.086
2022-06-23 20:05:53,31584.6,527.684
2022-06-23 20:05:52,31584.3,527.906
2022-06-23 20:05:51,31584.1,528.152
2022-06-23 20:05:50,31584.1,528.086
2022-06-23 20:05:49,31585.1,527.172
2022-06-23 20:05:48,31585.2,527.066
2022-06-23 20:05:47,31585.2,527.019
2022-06-23 20:05:46,31585.3,526.93
2022-06-23 20:05:45,31585.3,526.934
2022-06-23 20:05:44,31585.2,527.066
2022-06-23 20:05:43,31585.3,526.992
2022-06-23 20:05:42,31585.5,526.754
2022-06-23 20:05:41,31585.2,527.039
2022-06-23 20:05:40,31584.9,527.324
2022-06-23 20:05:39,31585.2,527.043
2022-06-23 20:05:38,31585.2,527.074
2022-06-23 20:05:37,31584.9,527.355
2022-06-23 20:05:36,31585,527.266
2022-06-23 20:05:35,31585.6,526.629
2022-06-23 20:05:34,31585.3,526.934
2022-06-23 20:05:33,31585.6,526.629
2022-06-23 20:05:32,31585.1,527.106
2022-06-23 20:05:31,31585.2,527.027
2022-06-23 20:05:30,31585.1,527.133
2022-06-23 20:05:29,31585.1,527.176
2022-06-23 20:05:28,31585.3,526.969
2022-06-23 20:05:27,31585.9,526.391
2022-06-23 20:05:26,31585.5,526.687
2022-06-23 20:05:25,31585.8,526.477
2022-06-23 20:05:24,31585.7,526.566
2022-06-23 20:05:23,31585.5,526.711
2022-06-23 20:05:22,31585.2,527.027
2022-06-23 20:05:21,31585.2,527.031
2022-06-23 20:05:20,31584.7,527.492
2022-06-23 20:05:19,31584.7,527.555
2022-06-23 20:05:18,31585.5,526.785
2022-06-23 20:05:17,31585.1,527.098
2022-06-23 20:05:16,31584.9,527.352
2022-06-23 20:05:15,31584.9,527.32
2022-06-23 20:05:14,31585.4,526.863
2022-06-23 20:05:13,31585.1,527.141
2022-06-23 20:05:12,31585.8,526.477
2022-06-23 20:05:11,31585.5,526.785
2022-06-23 20:05:10,31585.5,526.781
2022-06-23 20:05:09,31585.6,526.644
2022-06-23 20:05:08,31584.9,527.324
2022-06-23 20:05:07,31584.6,527.602
2022-06-23 20:05:06,31584.7,527.527
2022-06-23 20:05:05,31584.5,527.785
2022-06-23 20:05:04,31584.4,527.832
2022-06-23 20:05:03,31584.1,528.129
2022-06-23 20:05:02,31584.5,527.727
2022-06-23 20:05:01,31584.4,527.855
2022-06-23 20:05:00,31584.3,527.945
2022-06-23 20:04:59,31584.9,527.387
2022-06-23 20:04:58,31584.8,527.414
2022-06-23 20:04:57,31584.4,527.863
2022-06-23 20:04:56,31584.3,527.891
2022-06-23 20:04:55,31584.2,528.059
2022-06-23 20:04:54,31584.2,528.07
2022-06-23 20:04:53,31584.5,527.762
2022-06-23 20:04:52,31584.6,527.594
2022-06-23 20:04:51,31584.7,527.566
2022-06-23 20:04:50,31585.2,527.051
2022-06-23 20:04:49,31585.1,527.172
2022-06-23 20:04:48,31585,527.195
2022-06-23 20:04:47,31585,527.258
2022-06-23 20:04:46,31584.7,527.519
2022-06-23 20:04:45,31584.6,527.676
2022-06-23 20:04:44,31585.1,527.152
2022-06-23 20:04:43,31585.3,526.984
2022-06-23 20:04:42,31585.3,526.914
