time,free,used,cached,buffers
2022-07-16 17:09:15,1009.3906,2571.664,12390.84,37.29297
2022-07-16 17:09:14,1009.207,2571.988,12390.844,37.14844
2022-07-16 17:09:13,224.543,3360.543,12387.289,36.8125
2022-07-16 17:09:12,224.5508,3360.52,12387.312,36.80469
2022-07-16 17:09:11,224.3047,3360.773,12387.312,36.79688
2022-07-16 17:09:10,224.2422,3360.836,12387.312,36.79688
2022-07-16 17:09:09,224.4883,3360.59,12387.312,36.79688
2022-07-16 17:09:08,224.5273,3360.551,12387.312,36.79688
2022-07-16 17:09:07,224.2734,3360.805,12387.312,36.79688
2022-07-16 17:09:06,224.1797,3360.898,12387.312,36.79688
2022-07-16 17:09:05,224.4258,3360.652,12387.312,36.79688
2022-07-16 17:09:04,224.3438,3360.734,12387.312,36.79688
2022-07-16 17:09:03,224.3359,3360.75,12387.305,36.79688
2022-07-16 17:09:02,224.582,3360.531,12387.289,36.78516
2022-07-16 17:09:01,224.5195,3360.594,12387.289,36.78516
2022-07-16 17:09:00,224.5273,3360.586,12387.289,36.78516
2022-07-16 17:08:59,224.3359,3360.777,12387.289,36.78516
2022-07-16 17:08:58,224.0898,3361.023,12387.289,36.78516
2022-07-16 17:08:57,224.5898,3360.523,12387.289,36.78516
2022-07-16 17:08:56,224.582,3360.547,12387.289,36.76953
2022-07-16 17:08:55,224.5586,3360.57,12387.289,36.76953
2022-07-16 17:08:54,224.5508,3360.578,12387.289,36.76953
2022-07-16 17:08:53,224.3047,3360.824,12387.289,36.76953
2022-07-16 17:08:52,223.9961,3361.109,12387.312,36.76953
2022-07-16 17:08:51,223.9961,3361.109,12387.312,36.76953
2022-07-16 17:08:50,223.7812,3361.324,12387.312,36.76953
2022-07-16 17:08:49,223.957,3361.148,12387.312,36.76953
2022-07-16 17:08:48,223.7734,3361.332,12387.312,36.76953
2022-07-16 17:08:47,223.7891,3361.316,12387.312,36.76953
2022-07-16 17:08:46,223.75,3361.355,12387.312,36.76953
2022-07-16 17:08:45,223.9648,3361.141,12387.312,36.76953
2022-07-16 17:08:44,223.9648,3361.363,12387.09,36.76953
2022-07-16 17:08:43,223.7109,3361.625,12387.082,36.76953
2022-07-16 17:08:42,223.8125,3361.555,12387.066,36.75391
2022-07-16 17:08:41,223.7109,3361.699,12387.023,36.75391
2022-07-16 17:08:40,222.9883,3362.422,12387.023,36.75391
2022-07-16 17:08:39,223.1953,3362.215,12387.023,36.75391
2022-07-16 17:08:38,222.6953,3362.715,12387.023,36.75391
2022-07-16 17:08:37,221.8086,3363.617,12387.008,36.75391
2022-07-16 17:08:36,221.8125,3363.625,12386.996,36.75391
2022-07-16 17:08:35,220.9766,3364.461,12386.996,36.75391
2022-07-16 17:08:34,220.6758,3364.762,12386.996,36.75391
2022-07-16 17:08:33,219.8086,3365.629,12386.996,36.75391
2022-07-16 17:08:32,218.668,3366.77,12386.996,36.75391
2022-07-16 17:08:31,216.7773,3368.637,12387.02,36.75391
2022-07-16 17:08:30,216.7266,3368.695,12387.02,36.74609
2022-07-16 17:08:29,216.8555,3368.566,12387.02,36.74609
2022-07-16 17:08:28,216.1172,3369.305,12387.02,36.74609
2022-07-16 17:08:27,216.2734,3369.156,12387.02,36.73828
2022-07-16 17:08:26,215.5039,3369.926,12387.02,36.73828
2022-07-16 17:08:25,225.0703,3360.375,12387.012,36.73047
2022-07-16 17:08:24,240.7812,3344.664,12387.012,36.73047
2022-07-16 17:08:23,240.7539,3344.691,12387.012,36.73047
2022-07-16 17:08:22,240.6055,3344.84,12387.012,36.73047
2022-07-16 17:08:21,240.0781,3345.398,12386.988,36.72266
2022-07-16 17:08:20,239.3984,3346.09,12386.977,36.72266
2022-07-16 17:08:19,240.3594,3345.129,12386.977,36.72266
2022-07-16 17:08:18,239.9922,3345.496,12386.977,36.72266
2022-07-16 17:08:17,239.25,3346.246,12386.977,36.71484
