time,free,used
2022-04-26 17:10:19,71180.6,8865.35
2022-04-26 17:10:20,71181.3,8864.57
2022-04-26 17:10:21,71187.1,8858.7
2022-04-26 17:10:22,71199.5,8846.41
2022-04-26 17:10:23,71211.2,8834.66
2022-04-26 17:10:24,71207.2,8838.66
2022-04-26 17:10:25,71207.4,8838.55
2022-04-26 17:10:26,71207.4,8838.6
2022-04-26 17:10:27,71208.7,8837.25
2022-04-26 17:10:28,71209.2,8836.59
2022-04-26 17:10:29,71209.7,8836.27
2022-04-26 17:10:30,71209.7,8836.17
2022-04-26 17:10:31,71209.9,8835.98
2022-04-26 17:10:32,71210.7,8835.41
2022-04-26 17:10:33,71209.7,8836.3
2022-04-26 17:10:34,71158.1,8887.75
2022-04-26 17:10:35,71076.3,8969.66
2022-04-26 17:10:36,70997.3,9048.6
2022-04-26 17:10:37,70899.5,9146.32
2022-04-26 17:10:38,70857.2,9188.75
2022-04-26 17:10:39,70855.2,9190.87
2022-04-26 17:10:40,70798.2,9247.76
2022-04-26 17:10:41,70317.6,9728.29
2022-04-26 17:10:42,69690,10355.9
2022-04-26 17:10:43,69223.9,10822
2022-04-26 17:10:44,68737.5,11308.4
2022-04-26 17:10:45,68205.5,11840.4
2022-04-26 17:10:46,67974.5,12071.4
2022-04-26 17:10:47,68241.5,11804.4
2022-04-26 17:10:48,68214,11832
2022-04-26 17:10:49,68726.7,11319.2
2022-04-26 17:10:50,69024.4,11021.5
2022-04-26 17:10:51,69959.8,10086.2
2022-04-26 17:10:52,70226.6,9819.36
2022-04-26 17:10:53,70845.5,9200.42
2022-04-26 17:10:54,70849.4,9196.57
2022-04-26 17:10:55,70846.2,9199.65
2022-04-26 17:10:56,70775.4,9270.54
2022-04-26 17:10:57,70690.5,9355.39
2022-04-26 17:10:58,70538.6,9507.29
2022-04-26 17:10:59,70812.3,9233.72
2022-04-26 17:11:00,70792,9253.98
2022-04-26 17:11:01,70798.7,9247.13
2022-04-26 17:11:02,70754.2,9291.7
2022-04-26 17:11:03,70648.2,9397.69
2022-04-26 17:11:04,70527.7,9518.21
2022-04-26 17:11:05,70792.1,9253.78
2022-04-26 17:11:06,70799.8,9246.12
2022-04-26 17:11:07,70800.2,9245.87
2022-04-26 17:11:08,70799.7,9246.21
2022-04-26 17:11:09,56378,7658.72
