time,free,used
2022-04-26 17:05:25,14333.5,1675.71
2022-04-26 17:05:24,14333.5,1675.71
2022-04-26 17:05:23,13822.9,2186.29
2022-04-26 17:05:22,13823.3,2185.85
2022-04-26 17:05:21,13823.6,2185.54
2022-04-26 17:05:20,13824.6,2184.61
2022-04-26 17:05:19,13825.5,2183.68
2022-04-26 17:05:18,13829.1,2180.09
2022-04-26 17:05:17,13954.9,2054.28
2022-04-26 17:05:16,13993.5,2015.71
2022-04-26 17:05:15,14097.5,1911.7
2022-04-26 17:05:14,14130,1879.16
2022-04-26 17:05:13,14130,1879.2
2022-04-26 17:05:12,14130,1879.19
2022-04-26 17:05:11,14130,1879.19
2022-04-26 17:05:10,14121.1,1888.05
2022-04-26 17:05:09,14121.3,1887.84
2022-04-26 17:05:08,14124,1885.19
2022-04-26 17:05:07,14171.9,1837.29
2022-04-26 17:05:06,14228.1,1781.06
2022-04-26 17:05:05,14331.1,1678.13
2022-04-26 17:05:04,14332.9,1676.24
2022-04-26 17:05:03,14333.5,1675.67
2022-04-26 17:05:02,14333.9,1675.24
2022-04-26 17:05:01,14334.2,1675
2022-04-26 17:05:00,14333.9,1675.27
2022-04-26 17:04:59,14333.7,1675.52
2022-04-26 17:04:58,14333.7,1675.52
2022-04-26 17:04:57,14334,1675.21
2022-04-26 17:04:56,14334,1675.21
2022-04-26 17:04:55,14333.7,1675.46
2022-04-26 17:04:54,14333.7,1675.46
2022-04-26 17:04:53,14333.7,1675.46
2022-04-26 17:04:52,14333.4,1675.77
2022-04-26 17:04:51,14333.7,1675.46
2022-04-26 17:04:50,14333.5,1675.71
2022-04-26 17:04:49,14333.2,1675.96
2022-04-26 17:04:48,14333.2,1675.96
2022-04-26 17:04:47,14333.2,1675.93
2022-04-26 17:04:46,14332.9,1676.32
2022-04-26 17:04:45,14325.3,1683.89
2022-04-26 17:04:44,14325.2,1683.96
