time,in,out
2022-07-02 23:35:02,303.848,-29356.4
2022-07-02 23:35:03,270.91,-10940.8
2022-07-02 23:35:04,9212.74,-201.387
2022-07-02 23:35:05,8668.21,-81.9971
2022-07-02 23:35:06,3795.82,-158.432
2022-07-02 23:35:07,569.407,-81970.5
2022-07-02 23:35:08,562.745,-134692
2022-07-02 23:35:09,553.661,-38621.7
2022-07-02 23:35:10,297.404,-86.8484
2022-07-02 23:35:11,353.068,-588.592
2022-07-02 23:35:12,581.401,-230.8
2022-07-02 23:35:13,678.878,-390.281
2022-07-02 23:35:14,321.266,-197.922
2022-07-02 23:35:15,128.938,0
2022-07-02 23:35:16,448.107,-46.5202
2022-07-02 23:35:17,379.565,-116.467
2022-07-02 23:35:18,191.225,-224.164
2022-07-02 23:35:19,136.619,-149.655
2022-07-02 23:35:20,581.655,-95.6196
2022-07-02 23:35:21,1447.35,-198435
2022-07-02 23:35:22,1347.47,-97133.3
2022-07-02 23:35:23,449.93,-206.421
2022-07-02 23:35:24,10512.3,-38.1525
2022-07-02 23:35:25,7931.84,-143.533
2022-07-02 23:35:26,4671.07,-1838.65
2022-07-02 23:35:27,3829.99,-1061.68
2022-07-02 23:35:28,1555.7,-1112.38
2022-07-02 23:35:29,35078.9,-617.946
2022-07-02 23:35:30,32202.1,-1834.95
2022-07-02 23:35:31,16374.3,-1210.4
2022-07-02 23:35:32,10584.2,-93982.7
2022-07-02 23:35:33,8184.05,-39281.2
2022-07-02 23:35:34,2268.28,-482.529
2022-07-02 23:35:35,423.111,-182.484
2022-07-02 23:35:36,2001.67,-78.4795
2022-07-02 23:35:37,1357.49,-187162
2022-07-02 23:35:38,159.635,-100101
2022-07-02 23:35:39,2013.54,-9338.17
2022-07-02 23:35:40,34999.1,-14.4667
2022-07-02 23:35:41,193385,-47.0989
2022-07-02 23:35:42,625148,-54.1425
2022-07-02 23:35:43,793349,-260.764
2022-07-02 23:35:44,749981,-367.808
2022-07-02 23:35:45,649555,-165.629
2022-07-02 23:35:46,746778,-37.3167
2022-07-02 23:35:47,808759,-215.722
2022-07-02 23:35:48,734745,-137.373
2022-07-02 23:35:49,777113,-29.5172
2022-07-02 23:35:50,826011,-173.747
2022-07-02 23:35:51,778116,-230.972
2022-07-02 23:35:52,750785,-96702.5
2022-07-02 23:35:53,817838,-36053.8
2022-07-02 23:35:54,830838,-253.185
2022-07-02 23:35:55,760427,-21056.6
2022-07-02 23:35:56,809332,-11806.6
2022-07-02 23:35:57,833586,-53004.3
2022-07-02 23:35:58,747766,-198210
2022-07-02 23:35:59,758684,-242009
2022-07-02 23:36:00,820473,-135892
2022-07-02 23:36:01,751057,-172323
2022-07-02 23:36:02,772649,-104744
2022-07-02 23:36:03,794201,-184768
2022-07-02 23:36:04,812179,-90623.3
2022-07-02 23:36:05,772844,-2302.88
2022-07-02 23:36:06,784018,-140.752
2022-07-02 23:36:07,819383,-113.201
2022-07-02 23:36:08,776865,-274.612
2022-07-02 23:36:09,803680,-167.612
2022-07-02 23:36:10,833176,-224.875
2022-07-02 23:36:11,817183,-153.291
2022-07-02 23:36:12,795355,-188.073
2022-07-02 23:36:13,822129,-285.164
2022-07-02 23:36:14,801099,-470.046
2022-07-02 23:36:15,815442,-280.632
2022-07-02 23:36:16,836186,-53.7411
2022-07-02 23:36:17,838406,-130.961
2022-07-02 23:36:18,815542,-98.9707
2022-07-02 23:36:19,830013,-256.952
2022-07-02 23:36:20,821114,-185.653
2022-07-02 23:36:21,797098,-39.4626
2022-07-02 23:36:22,800312,-140.91
2022-07-02 23:36:23,817586,-202.909
2022-07-02 23:36:24,800435,-479.188
2022-07-02 23:36:25,818691,-370.83
2022-07-02 23:36:26,821614,-117.404
2022-07-02 23:36:27,827880,-213.182
2022-07-02 23:36:28,817655,-99.5772
2022-07-02 23:36:29,812622,-333.36
2022-07-02 23:36:30,815508,-209.031
2022-07-02 23:36:31,824022,-119.686
2022-07-02 23:36:32,811579,-868.837
2022-07-02 23:36:33,822196,-461.086
2022-07-02 23:36:34,817097,-273.911
2022-07-02 23:36:35,809260,-322.302
2022-07-02 23:36:36,824927,-115.786
2022-07-02 23:36:37,822045,-155.975
2022-07-02 23:36:38,812691,-137.489
2022-07-02 23:36:39,823840,-189.368
2022-07-02 23:36:40,832427,-218.952
2022-07-02 23:36:41,831447,-92.9391
2022-07-02 23:36:42,837546,-100.133
2022-07-02 23:36:43,803440,-95.5289
2022-07-02 23:36:44,820670,-183.47
2022-07-02 23:36:45,824467,-228.16
2022-07-02 23:36:46,824542,-142.895
2022-07-02 23:36:47,788721,-23.0891
2022-07-02 23:36:48,811394,-84.0751
2022-07-02 23:36:49,823482,-160.698
2022-07-02 23:36:50,821723,-151.759
2022-07-02 23:36:51,817896,-123.871
2022-07-02 23:36:52,818976,-83.3838
2022-07-02 23:36:53,818974,-108.067
2022-07-02 23:36:54,809375,-166.512
2022-07-02 23:36:55,821871,-267.155
2022-07-02 23:36:56,814415,-225.414
2022-07-02 23:36:57,837733,-69.0644
2022-07-02 23:36:58,816853,-153.623
2022-07-02 23:36:59,835755,-202.54
2022-07-02 23:37:00,808196,-184.052
2022-07-02 23:37:01,800604,-153.258
2022-07-02 23:37:02,846281,-157.974
2022-07-02 23:37:03,843702,-296.978
2022-07-02 23:37:04,825739,-698.339
2022-07-02 23:37:05,826439,-523.634
2022-07-02 23:37:06,841706,-220.973
2022-07-02 23:37:07,822777,-52.6295
2022-07-02 23:37:08,824655,-743.794
2022-07-02 23:37:09,834972,-449.079
2022-07-02 23:37:10,831787,-156.866
2022-07-02 23:37:11,805481,-240.844
2022-07-02 23:37:12,802783,-117.854
2022-07-02 23:37:13,818596,-145.966
2022-07-02 23:37:14,815046,-84.3409
2022-07-02 23:37:15,817368,-211.538
2022-07-02 23:37:16,836731,-163.456
2022-07-02 23:37:17,834547,-84.3683
2022-07-02 23:37:18,822337,-145.851
2022-07-02 23:37:19,847254,-91.7747
2022-07-02 23:37:20,817530,-180.312
2022-07-02 23:37:21,787330,-131.927
2022-07-02 23:37:22,831981,-36.029
2022-07-02 23:37:23,818646,-125.756
2022-07-02 23:37:24,793531,-66.2442
2022-07-02 23:37:25,834171,-397.337
2022-07-02 23:37:26,820110,-260.837
2022-07-02 23:37:27,825501,-45.826
2022-07-02 23:37:28,838519,-10.2387
2022-07-02 23:37:29,837662,-232.475
2022-07-02 23:37:30,834823,-338.972
2022-07-02 23:37:31,825734,-135.279
2022-07-02 23:37:32,836745,-59.3808
2022-07-02 23:37:33,844866,-19.6544
2022-07-02 23:37:34,817676,-86.1991
2022-07-02 23:37:35,840239,-348.853
2022-07-02 23:37:36,843034,-804.924
2022-07-02 23:37:37,825066,-347.564
2022-07-02 23:37:38,847068,-172.142
2022-07-02 23:37:39,842717,-235.973
2022-07-02 23:37:40,805919,-269.95
2022-07-02 23:37:41,836153,-200.005
2022-07-02 23:37:42,837852,-1060.25
2022-07-02 23:37:43,828111,-562.141
2022-07-02 23:37:44,826935,-82.477
2022-07-02 23:37:45,843915,-202.591
2022-07-02 23:37:46,825946,-120.634
2022-07-02 23:37:47,835573,-297.887
2022-07-02 23:37:48,838592,-127.686
2022-07-02 23:37:49,832319,-43.5186
2022-07-02 23:37:50,830666,-33.9643
2022-07-02 23:37:51,839990,-201.998
2022-07-02 23:37:52,818683,-211.987
2022-07-02 23:37:53,835196,-94.6979
2022-07-02 23:37:54,820806,-50.586
2022-07-02 23:37:55,825667,-54.3644
2022-07-02 23:37:56,853026,-137.782
2022-07-02 23:37:57,831873,-193.461
2022-07-02 23:37:58,838779,-153.939
2022-07-02 23:37:59,854444,-49.3478
2022-07-02 23:38:00,845890,-17.771
2022-07-02 23:38:01,837720,-232.671
2022-07-02 23:38:02,831896,-218.194
2022-07-02 23:38:03,843503,-155.999
2022-07-02 23:38:04,815591,-59.2358
2022-07-02 23:38:05,813174,-35.446
2022-07-02 23:38:06,855412,-389.027
2022-07-02 23:38:07,857727,-289.538
2022-07-02 23:38:08,838717,-98.3925
2022-07-02 23:38:09,839078,-81.5988
2022-07-02 23:38:10,842522,-78.3441
2022-07-02 23:38:11,824738,-100.678
2022-07-02 23:38:12,841877,-209.98
2022-07-02 23:38:13,849973,-645.196
2022-07-02 23:38:14,819160,-375.065
2022-07-02 23:38:15,832523,-61.1483
2022-07-02 23:38:16,842112,-235.914
2022-07-02 23:38:17,813824,-185.902
2022-07-02 23:38:18,823969,-291.176
2022-07-02 23:38:19,835118,-167.215
2022-07-02 23:38:20,839114,-145.987
2022-07-02 23:38:21,821844,-168.834
2022-07-02 23:38:22,802093,-136.989
2022-07-02 23:38:23,853211,-158.981
2022-07-02 23:38:24,805941,-201.985
2022-07-02 23:38:25,820355,-92.6771
2022-07-02 23:38:26,850691,-124.976
2022-07-02 23:38:27,831600,-206.78
2022-07-02 23:38:28,825989,-154.36
2022-07-02 23:38:29,835234,-185.213
2022-07-02 23:38:30,855786,-125.89
2022-07-02 23:38:31,808530,-111.381
2022-07-02 23:38:32,814335,-164.117
2022-07-02 23:38:33,842112,-214.912
2022-07-02 23:38:34,822513,-182.559
2022-07-02 23:38:35,840888,-67.7228
2022-07-02 23:38:36,849402,-53.6249
2022-07-02 23:38:37,851315,-202.412
2022-07-02 23:38:38,827995,-235.14
2022-07-02 23:38:39,842663,-228.955
2022-07-02 23:38:40,844116,-115.641
2022-07-02 23:38:41,850165,-27.4518
2022-07-02 23:38:42,845380,-142.319
2022-07-02 23:38:43,840952,-203.965
2022-07-02 23:38:44,836384,-149.309
2022-07-02 23:38:45,837157,-99.467
2022-07-02 23:38:46,842584,-82.5667
2022-07-02 23:38:47,839090,-197.255
2022-07-02 23:38:48,842611,-287.396
2022-07-02 23:38:49,846042,-726.514
2022-07-02 23:38:50,823846,-386.15
2022-07-02 23:38:51,850250,-82.8962
2022-07-02 23:38:52,839450,-208.431
2022-07-02 23:38:53,835889,-460.849
2022-07-02 23:38:54,854208,-360.094
2022-07-02 23:38:55,843159,-97.5503
2022-07-02 23:38:56,839905,-92.0407
2022-07-02 23:38:57,847724,-67.4174
2022-07-02 23:38:58,847157,-210.035
2022-07-02 23:38:59,845742,-340.422
2022-07-02 23:39:00,842579,-125.325
2022-07-02 23:39:01,829314,-102.291
2022-07-02 23:39:02,826385,-127.508
2022-07-02 23:39:03,832629,-103.862
2022-07-02 23:39:04,813176,-308.025
2022-07-02 23:39:05,829881,-702.406
2022-07-02 23:39:06,840878,-355.472
2022-07-02 23:39:07,852807,-199.443
2022-07-02 23:39:08,830231,-245.426
2022-07-02 23:39:09,827342,-119.348
2022-07-02 23:39:10,853263,-97.6683
2022-07-02 23:39:11,822038,-127.693
2022-07-02 23:39:12,818148,-98.0768
2022-07-02 23:39:13,867306,-56.9187
2022-07-02 23:39:14,833307,-139.383
2022-07-02 23:39:15,817906,-120.719
2022-07-02 23:39:16,851270,-23.7603
2022-07-02 23:39:17,846365,-127.879
2022-07-02 23:39:18,847883,-188.696
2022-07-02 23:39:19,853926,-147.825
2022-07-02 23:39:20,829983,-485.196
2022-07-02 23:39:21,851785,-238.405
2022-07-02 23:39:22,859367,-74.1061
2022-07-02 23:39:23,831249,-235.463
2022-07-02 23:39:24,842931,-243.942
2022-07-02 23:39:25,843753,-117.523
2022-07-02 23:39:26,836792,-80.8988
2022-07-02 23:39:27,850098,-36.067
2022-07-02 23:39:28,841124,-280.183
2022-07-02 23:39:29,819111,-239.619
2022-07-02 23:39:30,847292,-101.068
2022-07-02 23:39:31,843917,-88.0769
2022-07-02 23:39:32,834538,-110.646
2022-07-02 23:39:33,816438,-124.553
2022-07-02 23:39:34,850239,-147.174
