time,in,out
2022-07-02 23:44:17,1.76073,-5.73267
2022-07-02 23:44:18,1.92737,-6.58769
2022-07-02 23:44:19,63.2557,-43.0881
2022-07-02 23:44:20,25.0416,-44.749
2022-07-02 23:44:21,71.6219,-35.2378
2022-07-02 23:44:22,30.6059,-21.6494
2022-07-02 23:44:23,5.81269,-23.6908
2022-07-02 23:44:24,5.15522,-20.2273
2022-07-02 23:44:25,4.67149,-17.6794
2022-07-02 23:44:26,9.24066,-27.2603
2022-07-02 23:44:27,6.71986,-21.8524
2022-07-02 23:44:28,4.67213,-17.6821
2022-07-02 23:44:29,5.81269,-23.6908
2022-07-02 23:44:30,5.15512,-20.227
2022-07-02 23:44:31,4.67209,-17.6819
2022-07-02 23:44:32,5.81255,-23.69
2022-07-02 23:44:33,5.15539,-20.2281
2022-07-02 23:44:34,1.70178e+06,-2885.9
2022-07-02 23:44:35,733332,-1250.95
2022-07-02 23:44:36,731510,-729938
2022-07-02 23:44:37,1.24356e+06,-1.3286e+06
2022-07-02 23:44:38,465996,-379551
2022-07-02 23:44:39,10.9915,-28.4384
2022-07-02 23:44:40,438.325,-53.4936
2022-07-02 23:44:41,1.65427e+06,-1.65804e+06
2022-07-02 23:44:42,4.02271e+06,-4.17567e+06
2022-07-02 23:44:43,3.04805e+06,-2.84851e+06
2022-07-02 23:44:44,912270,-936941
2022-07-02 23:44:45,117111,-132531
2022-07-02 23:44:46,270.168,-169.994
2022-07-02 23:44:47,54.0411,-57.1557
2022-07-02 23:44:48,8.94246,-30.6678
2022-07-02 23:44:49,6.46315,-26.1389
2022-07-02 23:44:50,27.5605,-31.6799
2022-07-02 23:44:51,20.1277,-28.6157
2022-07-02 23:44:52,3918.06,-933.3
2022-07-02 23:44:53,2870.46,-859.883
2022-07-02 23:44:54,61545.5,-60798.5
2022-07-02 23:44:55,2.84666e+06,-2.84649e+06
2022-07-02 23:44:56,5.66143e+06,-5.66147e+06
2022-07-02 23:44:57,6.49718e+06,-6.4972e+06
2022-07-02 23:44:58,5.4643e+06,-5.4635e+06
2022-07-02 23:44:59,5.53558e+06,-5.53534e+06
2022-07-02 23:45:00,6297453,-6.2975e+06
2022-07-02 23:45:01,6.47905e+06,-6.47905e+06
2022-07-02 23:45:02,5.78438e+06,-5.78377e+06
2022-07-02 23:45:03,6.30924e+06,-6.30942e+06
2022-07-02 23:45:04,6.67749e+06,-6.67721e+06
2022-07-02 23:45:05,6.06769e+06,-6.06686e+06
