time,received,sent
2022-07-03 00:02:02,1.3738226,-5.368283
2022-07-03 00:02:01,9.494292,-8.823938
2022-07-03 00:02:00,19.02566,-17.41706
2022-07-03 00:01:59,6.012319,-9.872229
2022-07-03 00:01:58,1.6775341,-4.695289
2022-07-03 00:01:57,4.004679,-8.228694
2022-07-03 00:01:56,126.23598,-9.760496
2022-07-03 00:01:55,229.3557,-1332.6769
2022-07-03 00:01:54,16.81996,-2385.638
2022-07-03 00:01:53,42763.65,-580.691
2022-07-03 00:01:52,198105.7,-1073.3513
2022-07-03 00:01:51,341646.7,-205685
2022-07-03 00:01:50,343806.2,-550852.8
2022-07-03 00:01:49,340213.1,-327804.2
2022-07-03 00:01:48,339766.5,-113.54499
2022-07-03 00:01:47,336852.7,-721.4723
2022-07-03 00:01:46,344594.1,-1587.9319
2022-07-03 00:01:45,353991.7,-823.1276
2022-07-03 00:01:44,361371,-144.64631
2022-07-03 00:01:43,368276.8,-507.8421
2022-07-03 00:01:42,360413.2,-812.1112
2022-07-03 00:01:41,374362.5,-898.9206
2022-07-03 00:01:40,240235.6,-1462.7492
2022-07-03 00:01:39,12.471495,-3210.293
2022-07-03 00:01:38,64171.39,-7441.925
2022-07-03 00:01:37,271228.4,-3379.524
2022-07-03 00:01:36,479523.6,-695.9621
2022-07-03 00:01:35,557781.1,-478.0658
2022-07-03 00:01:34,556851.9,-705.518
2022-07-03 00:01:33,545596.8,-183.9725
2022-07-03 00:01:32,536246.5,-623.0434
2022-07-03 00:01:31,552056.7,-980.6835
2022-07-03 00:01:30,568755.7,-562.15
2022-07-03 00:01:29,483509.9,-2902.001
2022-07-03 00:01:28,350735.7,-3933.275
2022-07-03 00:01:27,432674.9,-304.6927
2022-07-03 00:01:26,518822.3,-1562.3138
2022-07-03 00:01:25,523406.4,-2628.615
2022-07-03 00:01:24,500366.1,-783.2468
2022-07-03 00:01:23,457543.9,-2181.788
2022-07-03 00:01:22,443605.7,-2267.234
2022-07-03 00:01:21,455674.3,-786.7088
2022-07-03 00:01:20,542140.4,-1736.453
2022-07-03 00:01:19,677591.7,-2783.645
2022-07-03 00:01:18,716870.4,-606.3638
2022-07-03 00:01:17,826353.5,-1235.977
2022-07-03 00:01:16,1129389,-971.0686
2022-07-03 00:01:15,842743.1,-838.5576
2022-07-03 00:01:14,20283.15,-21006.5
2022-07-03 00:01:13,320306.1,-320581.3
2022-07-03 00:01:12,959744.6,-958692.6
2022-07-03 00:01:11,1298657.8,-1297310.7
2022-07-03 00:01:10,1397252.9,-1398081.8
2022-07-03 00:01:09,1423179.8,-1425735.3
2022-07-03 00:01:08,1349508.7,-1349001.7
2022-07-03 00:01:07,1300451.8,-1300339.8
2022-07-03 00:01:06,1384183.9,-1383812.7
2022-07-03 00:01:05,1376091.7,-1374576
2022-07-03 00:01:04,1363728.8,-1362237.3
2022-07-03 00:01:03,1380970.4,-1380619.4
2022-07-03 00:01:02,1378493.8,-1377382.5
2022-07-03 00:01:01,1353243,-1352003.8
2022-07-03 00:01:00,1340548.5,-1339475.3
2022-07-03 00:00:59,1387106.2,-1385837.7
2022-07-03 00:00:58,1380754.2,-1379711.7
2022-07-03 00:00:57,1390649,-1391432.6
2022-07-03 00:00:56,1391313.5,-1392291.3
2022-07-03 00:00:55,1356351.9,-1355707.2
2022-07-03 00:00:54,1360587.6,-1360159.6
2022-07-03 00:00:53,1368765,-1367292.6
2022-07-03 00:00:52,1398898.4,-1397744.9
2022-07-03 00:00:51,1383048,-1381331.9
2022-07-03 00:00:50,1373910.4,-1372967.3
2022-07-03 00:00:49,1385153.9,-1384464.1
2022-07-03 00:00:48,1397830.6,-1399497.4
2022-07-03 00:00:47,1387969,-1388286.2
2022-07-03 00:00:46,1359635.3,-1360873
2022-07-03 00:00:45,1345265,-1346315.3
2022-07-03 00:00:44,1373715.5,-1374096.1
2022-07-03 00:00:43,1374581.3,-1374460.4
2022-07-03 00:00:42,1344308.3,-1342800
2022-07-03 00:00:41,1369569.4,-1368615.1
2022-07-03 00:00:40,1390446,-1389484.2
2022-07-03 00:00:39,1348334.7,-1347798.7
2022-07-03 00:00:38,1395873.9,-1395870.5
2022-07-03 00:00:37,1368948.8,-1368846.3
2022-07-03 00:00:36,1336523.8,-1336264.8
2022-07-03 00:00:35,1353474.8,-1353371.6
2022-07-03 00:00:34,1370129.8,-1369536.4
2022-07-03 00:00:33,1367868.1,-1366649.7
2022-07-03 00:00:32,1388120.8,-1388368.1
2022-07-03 00:00:31,1371819.2,-1371963.9
2022-07-03 00:00:30,1338901.7,-1338449.9
2022-07-03 00:00:29,1357231.8,-1358730.3
2022-07-03 00:00:28,1283934.5,-1285385
2022-07-03 00:00:27,1235030.3,-1235547.9
2022-07-03 00:00:26,1352535.6,-1351576.1
2022-07-03 00:00:25,1325231.7,-1323549.4
2022-07-03 00:00:24,1315988.8,-1315490.8
2022-07-03 00:00:23,1345389.6,-1344836.5
2022-07-03 00:00:22,1317554.3,-1318101.6
2022-07-03 00:00:21,1319680.2,-1319416.6
2022-07-03 00:00:20,1400519.7,-1400355.2
2022-07-03 00:00:19,1365277.4,-1365775.6
2022-07-03 00:00:18,1394435.7,-1394166.9
2022-07-03 00:00:17,1408966.9,-1408481.5
2022-07-03 00:00:16,1382070.1,-1383102.6
2022-07-03 00:00:15,1361221.8,-1360442.7
2022-07-03 00:00:14,1372244,-1370568.1
2022-07-03 00:00:13,1394643.6,-1394431.6
