time,guest_nice,guest,steal,softirq,irq,user,system,nice,iowait
2022-07-03 00:55:47,0,0,0,0.375,0,0.25,0.375,0,0
2022-07-03 00:55:46,0,0,0,0.1248439,0,0.1248439,0.3745318,0,0.1248439
2022-07-03 00:55:45,0,0,0,0,0,0.1254705,0.5018821,0,0
2022-07-03 00:55:44,0,0,0,0,0,0.2496879,0.7490637,0,0
2022-07-03 00:55:43,0,0,0.125,0.125,0,0.125,0.5,0,0
2022-07-03 00:55:42,0,0,0,0,0,0.2512563,0.5025126,0,0
2022-07-03 00:55:41,0,0,0,0.125,0,0.375,0.375,0,0
2022-07-03 00:55:40,0,0,0.1254705,0,0,0.1254705,0.250941,0,0
2022-07-03 00:55:39,0,0,0,0,0,0.2496879,0.6242197,0,0
2022-07-03 00:55:38,0,0,0,0.1251564,0,0.2503129,0.3754693,0,0
2022-07-03 00:55:37,0,0,0.1254705,0,0,0.250941,0.5018821,0,0
2022-07-03 00:55:36,0,0,0,0,0,0.1256281,0.3768844,0,0
2022-07-03 00:55:35,0,0,0.125,0.125,0,0.125,0.375,0,0
2022-07-03 00:55:34,0,0,0,0,0,0.1253133,0.5012531,0,0
2022-07-03 00:55:33,0,0,0.3773585,0,0,0.1257862,0.754717,0,0
2022-07-03 00:55:32,0,0,0.2512563,0,0,0.1256281,0.5025126,0,0
2022-07-03 00:55:31,0,0,0,0,0,0.250941,0.3764115,0,0
2022-07-03 00:55:30,0,0,0.1254705,0,0,0.250941,0.5018821,0,0
2022-07-03 00:55:29,0,0,0,0.1254705,0,0,0.5018821,0,0
2022-07-03 00:55:28,0,0,0.1248439,0,0,0.2496879,0.6242197,0,0
2022-07-03 00:55:27,0,0,0,0,0,0.1259446,0.3778338,0,0
2022-07-03 00:55:26,0,0,0.125,0,0,0.375,0.375,0,0
2022-07-03 00:55:25,0,0,0,0,0,0.250941,0.250941,0,0
2022-07-03 00:55:24,0,0,0,0,0,0.2515723,0.3773585,0,0
2022-07-03 00:55:23,0,0,0.1253133,0,0,0.1253133,0.3759398,0,0
2022-07-03 00:55:22,0,0,0,0.1251564,0,0.1251564,0.5006258,0,0
2022-07-03 00:55:21,0,0,0.1257862,0,0,0.2515723,0.2515723,0,0
2022-07-03 00:55:20,0,0,0,0,0,0.1257862,0.2515723,0,0
2022-07-03 00:55:19,0,0,0,0,0,0.125,0.625,0,0
2022-07-03 00:55:18,0,0,0.1251564,0,0,0.5006258,0.3754693,0,0
2022-07-03 00:55:17,0,0,0,0,0,0.2506266,0.5012531,0,0
2022-07-03 00:55:16,0,0,0.1248439,0,0,0.2496879,0.4993758,0,0
2022-07-03 00:55:15,0,0,0,0.1254705,0,0.250941,0.5018821,0,0
2022-07-03 00:55:14,0,0,0.125,0,0,0.125,0.625,0,0.375
2022-07-03 00:55:13,0,0,0,0,0,0.1254705,0.3764115,0,0
2022-07-03 00:55:12,0,0,0.1256281,0,0,0.1256281,0.5025126,0,0
2022-07-03 00:55:11,0,0,0,0,0,0.1254705,0.3764115,0,0
2022-07-03 00:55:10,0,0,0.125,0,0,0.25,0.5,0,0
2022-07-03 00:55:09,0,0,0,0,0,0,0.3783102,0,0
2022-07-03 00:55:08,0,0,0.1251564,0,0,0.2503129,0.3754693,0,0
2022-07-03 00:55:07,0,0,0,0,0,0,0.1264223,0,0
2022-07-03 00:55:06,0,0,0.1248439,0,0,0.1248439,0.7490637,0,0
2022-07-03 00:55:05,0,0,0,0,0,0.1257862,0.2515723,0,0
2022-07-03 00:55:04,0,0,0,0,0,0.250941,0.6273526,0,0
2022-07-03 00:55:03,0,0,0.1253133,0.1253133,0,0.2506266,0.2506266,0,0.1253133
2022-07-03 00:55:02,0,0,0,0,0,0.5018821,0.3764115,0,0
2022-07-03 00:55:01,0,0,0.1257862,0,0,0.1257862,0.1257862,0,0
2022-07-03 00:55:00,0,0,0,0,0,0.2512563,0.5025126,0,0
2022-07-03 00:54:59,0,0,0,0,0,0.2503129,0.3754693,0,0
2022-07-03 00:54:58,0,0,0.1254705,0,0,0.1254705,0.5018821,0,0
2022-07-03 00:54:57,0,0,0,0,0,0.1253133,0.5012531,0,0
2022-07-03 00:54:56,0,0,0,0,0,0.1259446,0.2518892,0,0
2022-07-03 00:54:55,0,0,0,0.1253133,0,0.2506266,0.2506266,0,0
2022-07-03 00:54:54,0,0,0.125,0,0,0.125,0.5,0,0
2022-07-03 00:54:53,0,0,0,0,0,0.3773585,0.2515723,0,0
2022-07-03 00:54:52,0,0,0.125,0.125,0,0.25,0.375,0,0
2022-07-03 00:54:51,0,0,0,0.1257862,0,0.3773585,0.3773585,0,0
2022-07-03 00:54:50,0,0,0.1253133,0,0,0.2506266,0.3759398,0,0
2022-07-03 00:54:49,0,0,0,0.1253133,0,0.1253133,0.3759398,0,0
2022-07-03 00:54:48,0,0,0,0,0,0.3764115,0.3764115,0,0
