time,in,out
2022-06-22 14:45:50,72.56312,-101.89225
2022-06-22 14:45:49,18.69733,-173.0231
2022-06-22 14:45:48,61.94328,-599.9747
2022-06-22 14:45:47,34.13591,-319.6624
2022-06-22 14:45:46,0.7839868,-2.735954
2022-06-22 14:45:45,1.0927231,-3.902505
2022-06-22 14:45:44,8.621147,-13.505923
2022-06-22 14:45:43,85119.15,-85119.32
2022-06-22 14:45:42,243492.6,-243486.3
2022-06-22 14:45:41,1.3590963,-5.765608
2022-06-22 14:45:40,4.409346,-783.3644
2022-06-22 14:45:39,860.1466,-2310.302
2022-06-22 14:45:38,2430.844,-213.4773
2022-06-22 14:45:37,2.620977,-199.4163
2022-06-22 14:45:36,6.459288,-566.9736
2022-06-22 14:45:35,39.14545,-56909.87
2022-06-22 14:45:34,110.67423,-164554.13
2022-06-22 14:45:33,12.919588,-4807.026
2022-06-22 14:45:32,7.228449,-613.9371
2022-06-22 14:45:31,0.8254289,-2.736035
2022-06-22 14:45:30,1.1035501,-3.794635
2022-06-22 14:45:29,71575.23,-286.4275
2022-06-22 14:45:28,396506,-1854.267
2022-06-22 14:45:27,828595.6,-3378.977
2022-06-22 14:45:26,824084.6,-1114.6301
2022-06-22 14:45:25,64881.85,-119.02761
2022-06-22 14:45:24,111449.05,-111449.35
2022-06-22 14:45:23,602121.5,-601856.7
2022-06-22 14:45:22,977782.1,-977223.6
2022-06-22 14:45:21,703163.5,-703083.9
2022-06-22 14:45:20,1046379.1,-1044110.6
2022-06-22 14:45:19,1599084.2,-1599234
2022-06-22 14:45:18,1639850.9,-1639255.5
2022-06-22 14:45:17,1515813.3,-1511504.1
2022-06-22 14:45:16,1712480,-1707194
2022-06-22 14:45:15,1929178,-1929169
2022-06-22 14:45:14,1798946,-1798898
2022-06-22 14:45:13,1700838,-1700989
2022-06-22 14:45:12,1153310.2,-1153725.4
2022-06-22 14:45:11,553331.6,-551969.3
2022-06-22 14:45:10,335747.8,-331768.1
2022-06-22 14:45:09,331124.8,-330996.7
2022-06-22 14:45:08,219122.7,-219091.6
2022-06-22 14:45:07,175337,-175286.4
2022-06-22 14:45:06,200648.4,-200594.1
2022-06-22 14:45:05,214138.6,-214046.6
2022-06-22 14:45:04,234863.8,-234832.4
2022-06-22 14:45:03,180171.7,-180169.4
2022-06-22 14:45:02,252264.8,-252272.5
2022-06-22 14:45:01,271400.9,-271416.2
2022-06-22 14:45:00,163392.94,-163403.57
2022-06-22 14:44:59,167419.34,-167818.7
2022-06-22 14:44:58,20936.07,-22424.16
2022-06-22 14:44:57,6704.098,-7661.315
2022-06-22 14:44:56,309466.8,-308157.1
2022-06-22 14:44:55,1257274.9,-1254394.2
2022-06-22 14:44:54,1685356,-1685007
2022-06-22 14:44:53,1730147,-1731327
2022-06-22 14:44:52,1491658.2,-1492046.3
2022-06-22 14:44:51,1762793,-1760378
2022-06-22 14:44:50,2133547,-2131987
2022-06-22 14:44:49,2182805,-2181832
2022-06-22 14:44:48,1807502,-1807523
2022-06-22 14:44:47,980227.1,-980265.7
2022-06-22 14:44:46,489435.5,-489452.9
2022-06-22 14:44:45,263418.3,-263362.7
2022-06-22 14:44:44,206464.9,-206355.1
2022-06-22 14:44:43,135105.6,-134785.38
2022-06-22 14:44:42,161299.75,-160594.07
2022-06-22 14:44:41,214228.9,-214197
2022-06-22 14:44:40,231515.4,-231420.7
2022-06-22 14:44:39,203512.9,-203513.9
2022-06-22 14:44:38,139392.15,-139403.07
2022-06-22 14:44:37,154877.16,-154886.29
2022-06-22 14:44:36,19752.17,-20007.27
2022-06-22 14:44:35,369.6674,-1227.0296
2022-06-22 14:44:34,1030.6751,-1845.104
2022-06-22 14:44:33,147.94344,-1356.1037
2022-06-22 14:44:32,14584.502,-17774.94
2022-06-22 14:44:31,326143.9,-329578.3
2022-06-22 14:44:30,1234469.4,-1226143.2
2022-06-22 14:44:29,1606794.7,-1607010.5
2022-06-22 14:44:28,1602319.9,-1604331.2
2022-06-22 14:44:27,1607994.9,-1612194.5
2022-06-22 14:44:26,1666608.9,-1664866.3
2022-06-22 14:44:25,1985713,-1979714
2022-06-22 14:44:24,2408285,-2408296
2022-06-22 14:44:23,2056117,-2056135
2022-06-22 14:44:22,1348596,-1348482
2022-06-22 14:44:21,641179.8,-640784.5
2022-06-22 14:44:20,186177.7,-186148.5
2022-06-22 14:44:19,146466.5,-146399.14
2022-06-22 14:44:18,134705.19,-134872.96
2022-06-22 14:44:17,143543.62,-144189.25
2022-06-22 14:44:16,179802.5,-180059.2
2022-06-22 14:44:15,162391.16,-163171.69
2022-06-22 14:44:14,21428.11,-21390.17
2022-06-22 14:44:13,364.1225,-776.0983
2022-06-22 14:44:12,1038.3739,-2193.505
2022-06-22 14:44:11,45.94356,-61.69752
2022-06-22 14:44:10,182.1229,-184.0618
2022-06-22 14:44:09,284.0264,-284.0021
2022-06-22 14:44:08,1.6377811,-13.212018
2022-06-22 14:44:07,52.85076,-21.8204
2022-06-22 14:44:06,12903.964,-13165.97
2022-06-22 14:44:05,424623.6,-424809.4
2022-06-22 14:44:04,1522406.2,-1519978.1
2022-06-22 14:44:03,1605704.3,-1605715.2
2022-06-22 14:44:02,1602444.5,-1602640.8
2022-06-22 14:44:01,1606964.6,-1607699.1
2022-06-22 14:44:00,1611943.8,-1612695.9
2022-06-22 14:43:59,1730487,-1730458
2022-06-22 14:43:58,2218610,-2217235
2022-06-22 14:43:57,2370836,-2371233
2022-06-22 14:43:56,1804991,-1804994
2022-06-22 14:43:55,977969.4,-978009.3
2022-06-22 14:43:54,197974.5,-198149.5
2022-06-22 14:43:53,1804.763,-2175.726
2022-06-22 14:43:52,5765.122,-5615.617
2022-06-22 14:43:51,2394.789,-2341.306
2022-06-22 14:43:50,1175.3815,-1142.8979
2022-06-22 14:43:49,895.2738,-849.6167
2022-06-22 14:43:48,1979.981,-1942.381
2022-06-22 14:43:47,1095.3111,-1019.0673
2022-06-22 14:43:46,1.000695,-10.981011
2022-06-22 14:43:45,3.637487,-14.515943
2022-06-22 14:43:44,21.93555,-38.62916
2022-06-22 14:43:43,43.2414,-65.21676
2022-06-22 14:43:42,2.494357,-18.14087
2022-06-22 14:43:41,3.713831,-28.89936
2022-06-22 14:43:40,12507.677,-12516.995
2022-06-22 14:43:39,108270.88,-107451.01
2022-06-22 14:43:38,210923,-208561.4
2022-06-22 14:43:37,0.9994951,-2.843871
2022-06-22 14:43:36,1.709305,-4.210916
2022-06-22 14:43:35,85045.78,-85036.58
2022-06-22 14:43:34,243315.3,-243285.3
2022-06-22 14:43:33,48.14334,-71.11109
2022-06-22 14:43:32,1.3591707,-5.765883
2022-06-22 14:43:31,134.33706,-136.73399
2022-06-22 14:43:30,383.3756,-387.4594
2022-06-22 14:43:29,1.3592372,-5.766272
2022-06-22 14:43:28,0.7840605,-2.736211
2022-06-22 14:43:27,0.9848707,-3.794254
2022-06-22 14:43:26,1.3590927,-5.765619
2022-06-22 14:43:25,0.7838893,-2.735614
2022-06-22 14:43:24,1.2582316,-8.755495
2022-06-22 14:43:23,2.141911,-19.973
2022-06-22 14:43:22,0.7839888,-2.735961
2022-06-22 14:43:21,0.9847822,-3.793852
2022-06-22 14:43:20,1.3591251,-5.765824
2022-06-22 14:43:19,0.784055,-2.736192
2022-06-22 14:43:18,1.1299752,-3.794663
2022-06-22 14:43:17,1.774032,-5.765362
2022-06-22 14:43:16,0.7839915,-2.73597
2022-06-22 14:43:15,4.041738,-5.442866
2022-06-22 14:43:14,18.73661,-18.72215
