time,free,used,cached,buffers
2022-06-22 14:55:09,26981.27,4458.594,669.6094,2.761719
2022-06-22 14:55:08,26986.86,4458.457,664.2852,2.636719
2022-06-22 14:55:07,26985.51,4459.465,664.6328,2.628906
2022-06-22 14:55:06,26248.02,5196.965,664.7656,2.488281
2022-06-22 14:55:05,26247.98,5197.031,664.7383,2.488281
2022-06-22 14:55:04,26247.97,5197.059,664.7266,2.480469
2022-06-22 14:55:03,26247.72,5197.312,664.7266,2.472656
2022-06-22 14:55:02,26247.8,5197.234,664.7266,2.472656
2022-06-22 14:55:01,26247.53,5197.516,664.7148,2.472656
2022-06-22 14:55:00,26247.32,5197.73,664.7148,2.472656
2022-06-22 14:54:59,26244.54,5200.531,664.6992,2.464844
2022-06-22 14:54:58,26244.54,5200.543,664.6953,2.457031
2022-06-22 14:54:57,26244.71,5200.391,664.6719,2.457031
2022-06-22 14:54:56,26244.77,5200.504,664.5117,2.449219
2022-06-22 14:54:55,26272.96,5186.438,650.5781,2.257812
2022-06-22 14:54:54,26273.91,5186.492,649.5898,2.246094
2022-06-22 14:54:53,26274.1,5186.312,649.5859,2.238281
2022-06-22 14:54:52,26274.4,5186.051,649.5547,2.230469
2022-06-22 14:54:51,26274.59,5185.875,649.5391,2.230469
2022-06-22 14:54:50,26274.64,5185.828,649.5312,2.230469
2022-06-22 14:54:49,26274.84,5185.668,649.5,2.230469
2022-06-22 14:54:48,26274.86,5185.66,649.4922,2.222656
2022-06-22 14:54:47,26275.02,5185.523,649.4766,2.214844
2022-06-22 14:54:46,26275.07,5185.508,649.4375,2.214844
2022-06-22 14:54:45,26275.62,5184.965,649.4336,2.214844
2022-06-22 14:54:44,26276.12,5184.508,649.3906,2.214844
2022-06-22 14:54:43,26291.19,5169.488,649.3516,2.207031
2022-06-22 14:54:42,26291.86,5168.836,649.3438,2.199219
2022-06-22 14:54:41,26292.57,5168.133,649.332,2.199219
2022-06-22 14:54:40,26293.39,5167.344,649.2969,2.199219
2022-06-22 14:54:39,26293.4,5167.348,649.2852,2.199219
2022-06-22 14:54:38,26293.89,5166.879,649.2695,2.191406
2022-06-22 14:54:37,26293.86,5166.938,649.2422,2.191406
2022-06-22 14:54:36,26293.83,5167.02,649.207,2.175781
2022-06-22 14:54:35,26293.66,5167.195,649.1992,2.175781
2022-06-22 14:54:34,26294.43,5166.461,649.1719,2.175781
2022-06-22 14:54:33,26294.63,5166.254,649.1797,2.167969
2022-06-22 14:54:32,26294.59,5166.297,649.1758,2.167969
2022-06-22 14:54:31,26295.05,5165.898,649.1523,2.128906
2022-06-22 14:54:30,26287.22,5173.777,649.1094,2.128906
2022-06-22 14:54:29,26287.73,5173.27,649.1094,2.128906
2022-06-22 14:54:28,26288,5173.02,649.0898,2.121094
2022-06-22 14:54:27,26290.46,5170.586,649.0625,2.121094
2022-06-22 14:54:26,26292.39,5168.676,649.043,2.121094
2022-06-22 14:54:25,26292.9,5168.18,649.0391,2.113281
2022-06-22 14:54:24,26293.09,5168.027,649.0078,2.113281
2022-06-22 14:54:23,26293.34,5167.789,648.9922,2.113281
2022-06-22 14:54:22,26303.62,5157.559,648.9492,2.105469
2022-06-22 14:54:21,26303.96,5157.254,648.9141,2.105469
2022-06-22 14:54:20,26304.41,5156.816,648.8984,2.105469
2022-06-22 14:54:19,26304.68,5156.562,648.8984,2.097656
2022-06-22 14:54:18,26305.01,5156.258,648.8711,2.097656
2022-06-22 14:54:17,26305.93,5155.367,648.8398,2.097656
2022-06-22 14:54:16,26305.9,5155.406,648.8398,2.089844
2022-06-22 14:54:15,26299.29,5162.031,648.8281,2.089844
2022-06-22 14:54:14,26309.87,5151.492,648.7852,2.089844
2022-06-22 14:54:13,26310.19,5151.176,648.7773,2.089844
2022-06-22 14:54:12,26310.36,5150.965,648.8281,2.082031
2022-06-22 14:54:11,26312.82,5148.551,648.7812,2.082031
2022-06-22 14:54:10,26313.81,5147.57,648.7695,2.082031
2022-06-22 14:54:09,26313.78,5147.602,648.7695,2.082031
2022-06-22 14:54:08,26314.08,5147.309,648.7695,2.074219
2022-06-22 14:54:07,26314.29,5147.117,648.7539,2.074219
2022-06-22 14:54:06,26314.72,5146.695,648.7461,2.074219
2022-06-22 14:54:05,26300.85,5160.566,648.7539,2.066406
2022-06-22 14:54:04,26317.57,5144.352,648.2656,2.050781
2022-06-22 14:54:03,26374.18,5090.445,645.5625,2.050781
2022-06-22 14:54:02,26418.71,5046.043,645.4375,2.042969
2022-06-22 14:54:01,26463.04,5004.562,642.5898,2.042969
2022-06-22 14:54:00,26510.29,4958.684,641.3594,1.902344
2022-06-22 14:53:59,26572.26,4898.543,639.7188,1.714844
2022-06-22 14:53:58,26646.1,4824.711,639.7148,1.707031
2022-06-22 14:53:57,26647,4823.824,639.7148,1.699219
2022-06-22 14:53:56,26648.02,4822.816,639.6992,1.699219
2022-06-22 14:53:55,26648.82,4822.016,639.6992,1.699219
2022-06-22 14:53:54,26648.85,4821.988,639.6953,1.699219
2022-06-22 14:53:53,26654.82,4816.062,639.6523,1.699219
2022-06-22 14:53:52,26670.39,4800.66,639.4961,1.691406
2022-06-22 14:53:51,26670.85,4800.625,639.4922,1.2695312
2022-06-22 14:53:50,26671.43,4800.184,639.3516,1.2695312
2022-06-22 14:53:49,26672.06,4799.562,639.3516,1.2578125
2022-06-22 14:53:48,26656.09,4795.973,658.9219,1.25
2022-06-22 14:53:47,26435.98,4745.191,929.8125,1.25
2022-06-22 14:53:46,26435.96,4745.219,929.8047,1.2460938
2022-06-22 14:53:45,26435.94,4745.246,929.8047,1.2421875
2022-06-22 14:53:44,26435.75,4745.469,929.7734,1.2421875
2022-06-22 14:53:43,26435.85,4745.375,929.7891,1.21875
2022-06-22 14:53:42,26466.86,4746.719,897.4453,1.2109375
2022-06-22 14:53:41,26568.25,4746.734,796.043,1.2109375
2022-06-22 14:53:40,26670.92,4750.535,689.5664,1.2109375
2022-06-22 14:53:39,26788.37,4754.785,567.8672,1.2109375
2022-06-22 14:53:38,26968.39,4741.652,400.9844,1.203125
2022-06-22 14:53:37,27056.12,4670.254,384.6602,1.1992188
2022-06-22 14:53:36,27193.88,4550.688,366.4688,1.1953125
2022-06-22 14:53:35,26801.68,4461.695,837.7227,11.136719
2022-06-22 14:53:34,26811.68,4451.922,837.4961,11.136719
