time,in,out
2022-06-22 22:02:03,120.29969,-26.36676
2022-06-22 22:02:02,436.5035,-219.4124
2022-06-22 22:02:01,589.1331,-287.9832
2022-06-22 22:02:00,562.5061,-274.2976
2022-06-22 22:01:59,561.3438,-272.8643
2022-06-22 22:01:58,598.7784,-292.102
2022-06-22 22:01:57,599.2231,-292.9669
2022-06-22 22:01:56,586.023,-287.0555
2022-06-22 22:01:55,592.995,-288.7031
2022-06-22 22:01:54,597.2367,-292.2804
2022-06-22 22:01:53,573.1716,-279.9749
2022-06-22 22:01:52,608.8553,-298.0044
2022-06-22 22:01:51,605.9333,-295.0044
2022-06-22 22:01:50,577.2651,-281.1672
2022-06-22 22:01:49,599.4659,-291.083
2022-06-22 22:01:48,598.0558,-291.9635
2022-06-22 22:01:47,564.8009,-274.4809
2022-06-22 22:01:46,556.8728,-271.2347
2022-06-22 22:01:45,601.6069,-293.9463
2022-06-22 22:01:44,623.9087,-304.4709
2022-06-22 22:01:43,625.3282,-304.6089
2022-06-22 22:01:42,604.4214,-295.7171
2022-06-22 22:01:41,578.9625,-281.2837
2022-06-22 22:01:40,592.3639,-287.4646
2022-06-22 22:01:39,571.791,-277.6773
2022-06-22 22:01:38,560.1853,-273.3297
2022-06-22 22:01:37,599.1065,-290.5022
2022-06-22 22:01:36,587.0399,-285.3304
2022-06-22 22:01:35,597.4339,-292.0239
2022-06-22 22:01:34,599.795,-293.0404
2022-06-22 22:01:33,573.9843,-279.91
2022-06-22 22:01:32,604.2294,-294.8809
2022-06-22 22:01:31,585.7909,-286.2852
2022-06-22 22:01:30,625.3733,-305.6876
2022-06-22 22:01:29,601.3551,-293.884
2022-06-22 22:01:28,596.6675,-291.3231
2022-06-22 22:01:27,637.2169,-312.1713
2022-06-22 22:01:26,608.8205,-296.4767
2022-06-22 22:01:25,619.5243,-301.9033
2022-06-22 22:01:24,596.6747,-290.7762
2022-06-22 22:01:23,597.5193,-291.576
2022-06-22 22:01:22,617.0074,-299.0124
2022-06-22 22:01:21,604.6974,-295.9372
2022-06-22 22:01:20,593.8397,-288.7068
2022-06-22 22:01:19,563.5841,-253.6844
2022-06-22 22:01:18,258.7265,-86.19504
2022-06-22 22:01:17,200.7302,-239.64
2022-06-22 22:01:16,38.21263,-45.15828
2022-06-22 22:01:15,38.78069,-45.75527
