time,in,out
2022-07-21 08:05:53,1026.8338,-1963.631
2022-07-21 08:05:52,1472.7947,-3062.27
2022-07-21 08:05:51,2083.948,-397.4072
2022-07-21 08:05:50,2022.585,-4.691979
2022-07-21 08:05:49,2045.227,0
2022-07-21 08:05:48,2308.733,0
2022-07-21 08:05:47,2421.203,-269.5963
2022-07-21 08:05:46,2091.35,-389.0199
2022-07-21 08:05:45,2221.737,-9.383819
2022-07-21 08:05:44,2221.35,0
2022-07-21 08:05:43,2065.462,0
2022-07-21 08:05:42,2129.588,-301.0042
2022-07-21 08:05:41,2338.556,-438.5761
2022-07-21 08:05:40,2440,-16.41969
2022-07-21 08:05:39,1859.063,0
2022-07-21 08:05:38,1914.858,0
2022-07-21 08:05:37,2162.064,-368.9097
2022-07-21 08:05:36,2683.591,-523.0903
2022-07-21 08:05:35,2902.278,0
2022-07-21 08:05:34,2310.514,0
2022-07-21 08:05:33,2406.694,0
2022-07-21 08:05:32,2193.696,-289.4522
2022-07-21 08:05:31,2694.074,-410.5478
2022-07-21 08:05:30,2777.959,0
2022-07-21 08:05:29,2031.968,0
2022-07-21 08:05:28,2045.213,0
2022-07-21 08:05:27,2030.984,-264.6355
2022-07-21 08:05:26,1891.382,-375.3645
2022-07-21 08:05:25,1965.037,0
2022-07-21 08:05:24,1837.573,0
2022-07-21 08:05:23,1979.95,0
2022-07-21 08:05:22,2170.61,-284.4609
2022-07-21 08:05:21,1800.217,-410.1548
2022-07-21 08:05:20,2158.488,-17.65533
2022-07-21 08:05:19,1793.319,-11.728949
2022-07-21 08:05:18,2108.2,0
2022-07-21 08:05:17,1609.9348,0
2022-07-21 08:05:16,1524.9187,0
2022-07-21 08:05:15,899.8126,-67.81676
2022-07-21 08:05:14,1276.1874,-96.18324
2022-07-21 08:05:13,846.6751,0
2022-07-21 08:05:12,1201.3249,0
2022-07-21 08:05:11,846.9525,0
2022-07-21 08:05:10,1201.0475,-9.924571
2022-07-21 08:05:09,846.8089,-14.075429
2022-07-21 08:05:08,1224.3462,0
2022-07-21 08:05:07,879.7073,0
2022-07-21 08:05:06,1260.6879,0
2022-07-21 08:05:05,931.2887,0
2022-07-21 08:05:04,1201.161,0
2022-07-21 08:05:03,846.8958,0
2022-07-21 08:05:02,1201.1042,0
2022-07-21 08:05:01,846.7928,0
2022-07-21 08:05:00,1201.2072,0
2022-07-21 08:04:59,899.6965,0
2022-07-21 08:04:58,1276.3035,0
2022-07-21 08:04:57,840.3429,0
2022-07-21 08:04:56,1252.8705,0
2022-07-21 08:04:55,887.3344,0
2022-07-21 08:04:54,1186.7224,0
2022-07-21 08:04:53,873.2887,0
2022-07-21 08:04:52,1181.7484,0
2022-07-21 08:04:51,813.3603,0
2022-07-21 08:04:50,1159.5807,0
2022-07-21 08:04:49,888.3154,-3.307804
2022-07-21 08:04:48,1159.683,-12.962756
2022-07-21 08:04:47,946.3001,-11.72944
2022-07-21 08:04:46,1241.7075,0
2022-07-21 08:04:45,1038.8978,-18.19461
2022-07-21 08:04:44,1373.0809,-25.80539
2022-07-21 08:04:43,942.988,-31.42721
2022-07-21 08:04:42,1342.8548,-44.57279
2022-07-21 08:04:41,932.6526,0
2022-07-21 08:04:40,1194.7644,0
2022-07-21 08:04:39,1045.1924,-9.922965
2022-07-21 08:04:38,1115.4267,-14.077035
2022-07-21 08:04:37,932.7391,0
2022-07-21 08:04:36,1115.2678,0
2022-07-21 08:04:35,932.658,0
2022-07-21 08:04:34,1115.2947,0
2022-07-21 08:04:33,1137.6998,0
2022-07-21 08:04:32,1406.3136,0
2022-07-21 08:04:31,947.5231,0
2022-07-21 08:04:30,1136.4739,0
2022-07-21 08:04:29,826.7645,0
2022-07-21 08:04:28,1071.1074,0
2022-07-21 08:04:27,1029.8845,0
2022-07-21 08:04:26,1146.1304,0
2022-07-21 08:04:25,976.9183,0
2022-07-21 08:04:24,1071.0576,-4.961876
2022-07-21 08:04:23,977.0023,-7.038124
2022-07-21 08:04:22,1588.7532,0
2022-07-21 08:04:21,1711.158,0
2022-07-21 08:04:20,1071.0249,0
2022-07-21 08:04:19,1441.7144,0
2022-07-21 08:04:18,1730.377,-16.541176
2022-07-21 08:04:17,1039.7848,-23.45882
2022-07-21 08:04:16,1160.2065,0
2022-07-21 08:04:15,1233.3065,0
2022-07-21 08:04:14,1434.6704,-6.615792
2022-07-21 08:04:13,976.8906,-9.384208
2022-07-21 08:04:12,1071.1113,-4.961874
2022-07-21 08:04:11,1029.9814,-7.038126
2022-07-21 08:04:10,1146.0794,0
2022-07-21 08:04:09,976.8449,-9.923146
2022-07-21 08:04:08,1084.3362,-14.076854
2022-07-21 08:04:07,995.7546,0
2022-07-21 08:04:06,1071.0237,-6.616264
2022-07-21 08:04:05,976.8888,-9.383736
2022-07-21 08:04:04,1071.0944,0
2022-07-21 08:04:03,1029.8962,0
2022-07-21 08:04:02,1146.0889,0
2022-07-21 08:04:01,1443.35,0
2022-07-21 08:04:00,1838.451,0
2022-07-21 08:03:59,1047.7413,-6.615582
2022-07-21 08:03:58,1064.3637,-9.384418
2022-07-21 08:03:57,1140.3835,0
2022-07-21 08:03:56,1096.3799,0
2022-07-21 08:03:55,880.4094,0
2022-07-21 08:03:54,1223.5818,0
2022-07-21 08:03:53,1300.44,-8.269874
2022-07-21 08:03:52,1026.7773,-11.730126
2022-07-21 08:03:51,1021.2259,0
2022-07-21 08:03:50,1026.7438,0
2022-07-21 08:03:49,1021.2365,0
2022-07-21 08:03:48,1026.8059,0
2022-07-21 08:03:47,1079.1184,-23.15653
2022-07-21 08:03:46,1108.8958,-32.84347
2022-07-21 08:03:45,1021.2285,0
2022-07-21 08:03:44,1173.9942,0
2022-07-21 08:03:43,1229.9896,-6.616145
2022-07-21 08:03:42,1144.1902,-17.65382
2022-07-21 08:03:41,1187.8327,-11.730036
2022-07-21 08:03:40,1026.6894,0
2022-07-21 08:03:39,1029.4902,0
2022-07-21 08:03:38,1038.5588,-9.924069
2022-07-21 08:03:37,1021.213,-14.075931
2022-07-21 08:03:36,1026.7905,-6.616101
2022-07-21 08:03:35,1021.1923,-9.383899
2022-07-21 08:03:34,1026.771,0
2022-07-21 08:03:33,1103.9785,0
2022-07-21 08:03:32,1144.0362,0
2022-07-21 08:03:31,915.3724,-8.269509
2022-07-21 08:03:30,1154.4348,-11.730491
2022-07-21 08:03:29,985.4005,0
2022-07-21 08:03:28,1058.4266,-4.961375
2022-07-21 08:03:27,1501.5734,-7.038625
2022-07-21 08:03:26,1419.0627,0
2022-07-21 08:03:25,2012.937,-9.924275
2022-07-21 08:03:24,846.9146,-14.075725
2022-07-21 08:03:23,1479.0175,0
2022-07-21 08:03:22,1293.849,0
2022-07-21 08:03:21,1484.6113,0
2022-07-21 08:03:20,1142.2656,0
2022-07-21 08:03:19,1201.3421,-8.268384
2022-07-21 08:03:18,846.6999,-11.731616
2022-07-21 08:03:17,1201.3001,0
2022-07-21 08:03:16,1442.1837,0
2022-07-21 08:03:15,2045.816,0
2022-07-21 08:03:14,871.6085,0
2022-07-21 08:03:13,1236.3915,-14.887073
2022-07-21 08:03:12,846.8413,-21.11293
2022-07-21 08:03:11,1204.4665,-13.231103
2022-07-21 08:03:10,851.5146,-18.7689
2022-07-21 08:03:09,1311.9718,0
2022-07-21 08:03:08,1003.9713,-9.923032
2022-07-21 08:03:07,1249.2023,-24.00133
2022-07-21 08:03:06,971.0637,-14.075635
2022-07-21 08:03:05,1284.2761,0
2022-07-21 08:03:04,854.8259,0
2022-07-21 08:03:03,1209.1749,0
2022-07-21 08:03:02,848.2639,-9.92438
2022-07-21 08:03:01,1203.0441,-14.07562
2022-07-21 08:03:00,813.2403,0
2022-07-21 08:02:59,1189.7581,0
2022-07-21 08:02:58,894.1051,0
2022-07-21 08:02:57,1217.9019,-13.232476
2022-07-21 08:02:56,821.2827,-18.76752
2022-07-21 08:02:55,1174.2512,0
2022-07-21 08:02:54,905.6705,0
2022-07-21 08:02:53,1381.0949,0
2022-07-21 08:02:52,1195.7233,-82.70401
2022-07-21 08:02:51,1182.7612,-123.9125
2022-07-21 08:02:50,977.5107,-9.383489
2022-07-21 08:02:49,1242.6142,0
2022-07-21 08:02:48,787.1631,0
2022-07-21 08:02:47,1118.7152,0
2022-07-21 08:02:46,940.657,0
